,,Fall 2025,Fall 2025
,,Student Count,Student Count (%)
Oxnard Total,,"7,754",0.47%
,0.1 - 2.9,168,2.17%
,12.0 -14.9,"1,314",16.95%
,15 +,623,8.03%
,3.0 - 5.9,"2,649",34.16%
,6.0 - 8.9,"1,525",19.67%
,9.0 - 11.9,"1,152",14.86%
,Non-Credit,323,4.17%
Palo Verde Total,,"5,236",0.31%
,0.1 - 2.9,"2,193",41.88%
,12.0 -14.9,400,7.64%
,15 +,286,5.46%
,3.0 - 5.9,859,16.41%
,6.0 - 8.9,804,15.36%
,9.0 - 11.9,571,10.91%
,Non-Credit,123,2.35%
Palomar Total,,"21,274",1.28%
,0 Units,8,0.04%
,0.1 - 2.9,724,3.40%
,12.0 -14.9,"4,049",19.03%
,15 +,"2,136",10.04%
,3.0 - 5.9,"6,516",30.63%
,6.0 - 8.9,"3,677",17.28%
,9.0 - 11.9,"2,636",12.39%
,Non-Credit,"1,528",7.18%
Pasadena Total,,"28,508",1.71%
,0.1 - 2.9,637,2.23%
,12.0 -14.9,"5,809",20.38%
,15 +,"3,446",12.09%
,3.0 - 5.9,"6,683",23.44%
,6.0 - 8.9,"4,647",16.30%
,9.0 - 11.9,"4,248",14.90%
,Non-Credit,"3,038",10.66%
Porterville Total,,"5,560",0.33%
,0.1 - 2.9,254,4.57%
,12.0 -14.9,"1,132",20.36%
,15 +,501,9.01%
,3.0 - 5.9,"1,743",31.35%
,6.0 - 8.9,978,17.59%
,9.0 - 11.9,830,14.93%
,Non-Credit,122,2.19%
Redwoods Total,,"5,759",0.35%
,0.1 - 2.9,284,4.93%
,12.0 -14.9,"1,179",20.47%
,15 +,472,8.20%
,3.0 - 5.9,"1,487",25.82%
,6.0 - 8.9,998,17.33%
,9.0 - 11.9,958,16.63%
,Non-Credit,381,6.62%
Reedley College Total,,"10,664",0.64%
,0.1 - 2.9,187,1.75%
,12.0 -14.9,"1,419",13.31%
,15 +,851,7.98%
,3.0 - 5.9,"4,869",45.66%
,6.0 - 8.9,"1,657",15.54%
,9.0 - 11.9,"1,200",11.25%
,Non-Credit,481,4.51%
Rio Hondo Total,,"17,670",1.06%
,0.1 - 2.9,"3,408",19.29%
,12.0 -14.9,"2,836",16.05%
,15 +,"1,219",6.90%
,3.0 - 5.9,"3,551",20.10%
,6.0 - 8.9,"2,649",14.99%
,9.0 - 11.9,"2,124",12.02%
,Non-Credit,"1,883",10.66%
Riverside Total,,"23,238",1.39%
,0.1 - 2.9,638,2.75%
,12.0 -14.9,"4,207",18.10%
,15 +,"1,455",6.26%
,3.0 - 5.9,"7,335",31.56%
,6.0 - 8.9,"4,911",21.13%
,9.0 - 11.9,"4,055",17.45%
,Non-Credit,637,2.74%
Sacramento City Total,,"21,477",1.29%
,0.1 - 2.9,991,4.61%
,12.0 -14.9,"3,150",14.67%
,15 +,"1,580",7.36%
,3.0 - 5.9,"8,523",39.68%
,6.0 - 8.9,"4,254",19.81%
,9.0 - 11.9,"2,912",13.56%
,Non-Credit,67,0.31%
Saddleback Total,,"28,376",1.70%
,0.1 - 2.9,680,2.40%
,12.0 -14.9,"3,648",12.86%
,15 +,"2,363",8.33%
,3.0 - 5.9,"7,945",28.00%
,6.0 - 8.9,"3,652",12.87%
,9.0 - 11.9,"2,540",8.95%
,Non-Credit,"7,548",26.60%
San Bernardino Total,,"16,207",0.97%
,0.1 - 2.9,185,1.14%
,12.0 -14.9,"2,595",16.01%
,15 +,"1,425",8.79%
,3.0 - 5.9,"5,170",31.90%
,6.0 - 8.9,"3,906",24.10%
,9.0 - 11.9,"2,546",15.71%
,Non-Credit,380,2.34%
San Diego City Total,,"14,183",0.85%
,0.1 - 2.9,522,3.68%
,12.0 -14.9,"1,616",11.39%
,15 +,511,3.60%
,3.0 - 5.9,"6,884",48.54%
,6.0 - 8.9,"2,939",20.72%
,9.0 - 11.9,"1,711",12.06%
San Diego College of Continuing Ed Total,,"14,653",0.88%
,Non-Credit,"14,653",100.00%
San Diego Mesa Total,,"21,164",1.27%
,0.1 - 2.9,596,2.82%
,12.0 -14.9,"3,157",14.92%
,15 +,"1,344",6.35%
,3.0 - 5.9,"8,735",41.27%
,6.0 - 8.9,"4,443",20.99%
,9.0 - 11.9,"2,889",13.65%
San Diego Miramar Total,,"14,837",0.89%
,0.1 - 2.9,"1,512",10.19%
,12.0 -14.9,"1,560",10.51%
,15 +,718,4.84%
,3.0 - 5.9,"6,577",44.33%
,6.0 - 8.9,"2,944",19.84%
,9.0 - 11.9,"1,526",10.29%
San Francisco Total,,"29,241",1.76%
,0.1 - 2.9,"1,276",4.36%
,12.0 -14.9,"3,221",11.02%
,15 +,"2,224",7.61%
,3.0 - 5.9,"6,183",21.14%
,6.0 - 8.9,"3,798",12.99%
,9.0 - 11.9,"2,534",8.67%
,Non-Credit,"10,005",34.22%
San Joaquin Delta Total,,"23,223",1.39%
,0.1 - 2.9,403,1.74%
,12.0 -14.9,"3,274",14.10%
,15 +,"6,672",28.73%
,3.0 - 5.9,"4,737",20.40%
