sector_id,soc,title
health,31-2022,Physical Therapist Aides
health,31-9011,Massage Therapists
health,31-9091,Dental Assistants
health,31-9092,Medical Assistants
health,31-9093,Medical Equipment Preparers
health,31-9094,Medical Transcriptionists
health,31-9099,"Healthcare Support Workers, All Other"
health,43-6013,Medical Secretaries and Administrative Assistants
health,51-9081,Dental Laboratory Technicians
ict,15-1231,Computer Network Support Specialists
ict,15-1232,Computer User Support Specialists
ict,15-1241,Computer Network Architects
ict,15-1244,Network and Computer Systems Administrators
ict,15-1254,Web Developers
ict,15-1255,Web and Digital Interface Designers
ict,27-4011,Audio and Video Technicians
ict,27-4012,Broadcast Technicians
ict,27-4014,Sound Engineering Technicians
ict,27-4021,Photographers
ict,43-9021,Data Entry Keyers
ict,43-9022,Word Processors and Typists
ict,43-9031,Desktop Publishers
ict,49-2097,Audiovisual Equipment Installers and Repairers
ict,49-9052,Telecommunications Line Installers and Repairers
ict,49-9061,Camera and Photographic Equipment Repairers
public_safety,19-4092,Forensic Science Technicians
public_safety,29-2042,Emergency Medical Technicians
public_safety,29-2043,Paramedics
public_safety,33-1011,First-Line Supervisors of Correctional Officers
public_safety,33-1012,First-Line Supervisors of Police and Detectives
public_safety,33-1021,First-Line Supervisors of Firefighting and Prevention Workers
public_safety,33-1091,First-Line Supervisors of Security Workers
public_safety,33-1099,"First-Line Supervisors of Protective Service Workers, All Other"
public_safety,33-2011,Firefighters
public_safety,33-2021,Fire Inspectors and Investigators
public_safety,33-2022,Forest Fire Inspectors and Prevention Specialists
public_safety,33-3011,Bailiffs
public_safety,33-3012,Correctional Officers and Jailers
public_safety,33-3021,Detectives and Criminal Investigators
public_safety,33-3031,Fish and Game Wardens
public_safety,33-3051,Police and Sheriff's Patrol Officers
public_safety,33-3052,Transit and Railroad Police
public_safety,33-9031,Gambling Surveillance Officers and Gambling Investigators
public_safety,33-9032,Security Guards
public_safety,33-9093,Transportation Security Screeners
public_safety,43-5031,Public Safety Telecommunicators
retail,11-9051,Food Service Managers
retail,11-9071,Gambling Managers
retail,11-9081,Lodging Managers
retail,35-1011,Chefs and Head Cooks
retail,35-1012,First-Line Supervisors of Food Preparation and Serving Workers
retail,35-2013,"Cooks, Private Household"
retail,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers
retail,39-1013,First-Line Supervisors of Gambling Services Workers
retail,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
retail,39-1022,First-Line Supervisors of Personal Service Workers
retail,39-7018,Tour and Travel Guides
retail,41-1011,First-Line Supervisors of Retail Sales Workers
retail,41-3041,Travel Agents
retail,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
retail,53-2031,Flight Attendants
unassigned,11-9131,Postmasters and Mail Superintendents
unassigned,23-2011,Paralegals and Legal Assistants
unassigned,23-2099,"Legal Support Workers, All Other"
unassigned,27-2011,Actors
unassigned,27-2032,Choreographers
unassigned,27-3092,Court Reporters and Simultaneous Captioners
unassigned,33-9021,Private Detectives and Investigators
unassigned,43-4031,"Court, Municipal, and License Clerks"
