soc,sector_id,coe_skill_level,title
45-2011,agwet,Middle Skill,Agricultural Inspectors
45-2021,agwet,Below Middle Skill,Animal Breeders
45-2041,agwet,Below Middle Skill,"Graders and Sorters, Agricultural Products"
45-2091,agwet,Below Middle Skill,Agricultural Equipment Operators
45-2092,agwet,Below Middle Skill,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
45-2093,agwet,Below Middle Skill,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
45-2099,agwet,Below Middle Skill,"Agricultural Workers, All Other"
45-3031,agwet,Below Middle Skill,Fishing and Hunting Workers
45-4011,agwet,Middle Skill,Forest and Conservation Workers
45-4021,agwet,Below Middle Skill,Fallers
45-4022,agwet,Below Middle Skill,Logging Equipment Operators
45-4023,agwet,Below Middle Skill,Log Graders and Scalers
45-4029,agwet,Below Middle Skill,"Logging Workers, All Other"
47-4041,agwet,Middle Skill,Hazardous Materials Removal Workers
49-3041,agwet,Middle Skill,Farm Equipment Mechanics and Service Technicians
53-7081,agwet,Below Middle Skill,Refuse and Recyclable Material Collectors
11-3071,atl,Middle Skill,"Transportation, Storage, and Distribution Managers"
13-1081,atl,Middle Skill,Logisticians
17-3021,atl,Middle Skill,Aerospace Engineering and Operations Technologists and Technicians
43-5011,atl,Middle Skill,Cargo and Freight Agents
43-5021,atl,Below Middle Skill,Couriers and Messengers
43-5032,atl,Below Middle Skill,"Dispatchers, Except Police, Fire, and Ambulance"
43-5061,atl,Middle Skill,"Production, Planning, and Expediting Clerks"
43-5071,atl,Below Middle Skill,"Shipping, Receiving, and Inventory Clerks"
49-1011,atl,Middle Skill,"First-Line Supervisors of Mechanics, Installers, and Repairers"
49-2091,atl,Middle Skill,Avionics Technicians
49-2093,atl,Middle Skill,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
49-2096,atl,Middle Skill,"Electronic Equipment Installers and Repairers, Motor Vehicles"
49-3011,atl,Middle Skill,Aircraft Mechanics and Service Technicians
49-3021,atl,Middle Skill,Automotive Body and Related Repairers
49-3022,atl,Below Middle Skill,Automotive Glass Installers and Repairers
49-3023,atl,Middle Skill,Automotive Service Technicians and Mechanics
49-3031,atl,Middle Skill,Bus and Truck Mechanics and Diesel Engine Specialists
49-3042,atl,Middle Skill,"Mobile Heavy Equipment Mechanics, Except Engines"
49-3043,atl,Middle Skill,Rail Car Repairers
49-3051,atl,Middle Skill,Motorboat Mechanics and Service Technicians
49-3052,atl,Middle Skill,Motorcycle Mechanics
49-3053,atl,Middle Skill,Outdoor Power Equipment and Other Small Engine Mechanics
49-3091,atl,Below Middle Skill,Bicycle Repairers
49-3092,atl,Middle Skill,Recreational Vehicle Service Technicians
49-3093,atl,Below Middle Skill,Tire Repairers and Changers
49-9097,atl,Below Middle Skill,Signal and Track Switch Repairers
51-2011,atl,Middle Skill,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-6093,atl,Below Middle Skill,Upholsterers
53-1041,atl,Middle Skill,Aircraft Cargo Handling Supervisors
53-1047,atl,Middle Skill,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors"
53-2011,atl,Above Middle Skill,"Airline Pilots, Copilots, and Flight Engineers"
53-2012,atl,Middle Skill,Commercial Pilots
53-2021,atl,Middle Skill,Air Traffic Controllers
53-2022,atl,Middle Skill,Airfield Operations Specialists
53-3031,atl,Below Middle Skill,Driver/Sales Workers
53-3032,atl,Middle Skill,Heavy and Tractor-Trailer Truck Drivers
53-3033,atl,Below Middle Skill,Light Truck Drivers
53-3051,atl,Below Middle Skill,"Bus Drivers, School"
53-3052,atl,Middle Skill,"Bus Drivers, Transit and Intercity"
53-3053,atl,Below Middle Skill,Shuttle Drivers and Chauffeurs
53-3054,atl,Below Middle Skill,Taxi Drivers
53-3099,atl,Below Middle Skill,"Motor Vehicle Operators, All Other"
53-4011,atl,Middle Skill,Locomotive Engineers
53-4013,atl,Middle Skill,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
53-4022,atl,Middle Skill,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
53-4031,atl,Middle Skill,Railroad Conductors and Yardmasters
53-4041,atl,Middle Skill,Subway and Streetcar Operators
53-4099,atl,Middle Skill,"Rail Transportation Workers, All Other"
53-5011,atl,Below Middle Skill,Sailors and Marine Oilers
53-5021,atl,Middle Skill,"Captains, Mates, and Pilots of Water Vessels"
53-5022,atl,Middle Skill,Motorboat Operators
53-5031,atl,Middle Skill,Ship Engineers
53-6011,atl,Below Middle Skill,Bridge and Lock Tenders
53-6021,atl,Below Middle Skill,Parking Attendants
53-6031,atl,Below Middle Skill,Automotive and Watercraft Service Attendants
53-6032,atl,Below Middle Skill,Aircraft Service Attendants
53-6041,atl,Below Middle Skill,Traffic Technicians
53-6051,atl,Middle Skill,Transportation Inspectors
53-6061,atl,Below Middle Skill,Passenger Attendants
53-6099,atl,Below Middle Skill,"Transportation Workers, All Other"
53-7021,atl,Middle Skill,Crane and Tower Operators
53-7051,atl,Below Middle Skill,Industrial Truck and Tractor Operators
53-7061,atl,Below Middle Skill,Cleaners of Vehicles and Equipment
53-7062,atl,Below Middle Skill,"Laborers and Freight, Stock, and Material Movers, Hand"
53-7065,atl,Below Middle Skill,Stockers and Order Fillers
