District,College,Course ID,Control Number,Course Title,Sections Count,TOP Code,Credit Status,Transfer Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,General Education Status,Support Status,Term
Antelope CCD,Antelope Valley,INT 203     ,CCC000142724,Interpreting II                                                     ,1,Sign Language Interpreting-085010                                                    ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,SOC 105     ,CCC000143254,Mex Am in Contemporary Society                                      ,1,Sociology-220800                                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,SOC 115     ,CCC000144084,Modern Relationships & Family                                       ,2,Sociology-220800                                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,ANTH 103    ,CCC000154975,Archaeology & World Prehistory                                      ,2,Anthropology-220200                                                                  ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,COMM 107    ,CCC000155063,Intro to Interpersonal Comm                                         ,1,Speech Communication-150600                                                          ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",C,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,FTV 103     ,CCC000156268,Introduction to Television                                          ,1,Radio and Television-060400                                                          ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,PSY 232     ,CCC000158356,Theories of Personality                                             ,1,"Psychology, General-200100                                                           ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,DFST 101    ,CCC000161806,American Sign Language I                                            ,8,Sign Language-085000                                                                 ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,COMM 112    ,CCC000161969,Oral Interpretation                                                 ,1,Speech Communication-150600                                                          ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",C,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,PSY 234     ,CCC000162975,Abnormal Psychology                                                 ,4,"Psychology, General-200100                                                           ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,CFE 109     ,CCC000163749,Supvn Admin Childhood Prog I                                        ,1,Child Development/Early Care and Education-130500                                    ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,MOA 101     ,CCC000165882,Beginning Medical Terminology                                       ,2,Medical Assisting-120800                                                             ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,ENGL 257    ,CCC000167193,Ethnic Studies:Native-American                                      ,10,Comparative Literature-150300                                                        ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,HIST 113    ,CCC000170127,Women in American History                                           ,2,History-220500                                                                       ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,AJ 208      ,CCC000171882,Intro to Forensic Science                                           ,2,Administration of Justice-210500                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,CA 175      ,CCC000177955,Administering Windows Server                                        ,2,Computer Networking-070810                                                           ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,PHIL 201    ,CCC000180803,Critical Thinking                                                   ,6,Philosophy-150900                                                                    ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",A,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,AJ 203      ,CCC000181483,Narcotics Control                                                   ,2,Administration of Justice-210500                                                     ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,AJ 103      ,CCC000182037,Criminal Evidence                                                   ,4,Administration of Justice-210500                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,BIOL 202    ,CCC000184167,General Human Physiology                                            ,6,"Biology, General-040100                                                              ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,FTV 201     ,CCC000185595,Intercultural & Women's Film                                        ,3,Film Studies-061200                                                                  ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,DA 123      ,CCC000188942,Intermediate Modern Dance                                           ,2,Dance-100800                                                                         ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.00,01.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,ENGL 221    ,CCC000190025,Amer Literature 1400-1865                                           ,1,Comparative Literature-150300                                                        ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,CA 221      ,CCC000191295,Computer Concepts & Appl Bus                                        ,1,Software Applications-070210                                                         ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,BUS 201     ,CCC000196250,Business Law                                                        ,11,Business Administration-050500                                                       ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,ART 100     ,CCC000197103,Art Appreciation                                                    ,6,"Fine Arts, General-100100                                                            ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,GEOG 101    ,CCC000197418,Phy Geog: Earth's Surface Lnd                                       ,2,"Physical Sciences, General-190100                                                    ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,CFE 103     ,CCC000201504,Child in Family&Community Rel                                       ,5,Child Development/Early Care and Education-130500                                    ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,ACRV 113    ,CCC000203467,Basic Refrigeration Controls                                        ,1,Environmental Control Technology-094600                                              ,Credit - Degree Applicable                                                 ,Not transferable                                                           ,05.00,05.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,ACRV 123    ,CCC000204442,Residential Air Cond Controls                                       ,1,Environmental Control Technology-094600                                              ,Credit - Degree Applicable                                                 ,Not transferable                                                           ,05.00,05.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,GEOG 101L   ,CCC000205454,Phy Geog Lab: Earth's Surface                                       ,1,"Physical Sciences, General-190100                                                    ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.00,01.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
