District,College,Course ID,Control Number,Course Title,Sections Count,TOP Code,Credit Status,Transfer Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,General Education Status,Support Status,Term
Kern CCD,Bakersfield,AGRIB5      ,CCC000632166,Leadership in Agriculture                                           ,5,"Agriculture Technology and Sciences, General-010100                                  ",Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,ENERB22     ,CCC000632168,Energy Science                                                      ,1,Energy Systems Technology-094610                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,NURSB30     ,CCC000632169,Pathophysiology                                                     ,1,Anatomy and Physiology-041000                                                        ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,WELDB74A    ,CCC000632171,Intro to GMAW & FCAW                                                ,2,Welding Technology-095650                                                            ,Credit - Degree Applicable                                                 ,Not transferable                                                           ,02.00,02.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,ACADC102X   ,CCC000632245,STC Corrections Academy III                                         ,1,Corrections-210510                                                                   ,Credit - Not Degree Applicable                                             ,Not transferable                                                           ,06.50,06.50,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Porterville,CHEMP105    ,CCC000632318,"Introduction to General, Organic, and Biological Chemistry          ",2,"Chemistry, General-190500                                                            ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,05.00,05.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,PSYCB20     ,CCC000632668,Social Psychology                                                   ,6,"Psychology, General-200100                                                           ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,KINSB10S    ,CCC000634158,Intercoll Comp-Men/Soccer                                           ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,KINSB10W    ,CCC000634159,Intercoll Comp-Men/Wrestling                                        ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,KINSB11BB   ,CCC000634160,Intercoll Comp-Women/Bsktball                                       ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.50,01.50,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
