,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Skyline Total,,,879,"2,947.32","15,085",903,"2,872.32","16,755",261,"1,389.05","6,770",863,"2,906.55","17,369",889,"1,280.98","18,132",275,"1,646.03","8,046",918,"3,455.49","19,831",980,"3,544.74","20,560",271,"1,667.02","8,123",940,"3,536.68","20,373",991,"3,550.12","21,176",280,"1,760.03","8,695",910,"3,545.97","20,291"
,,083550 - Intercollegiate Athletics               ,10,48.23,202,8,30.80,155,4,7.98,72,12,54.09,228,8,31.41,160,4,10.24,92,12,65.12,287,9,36.31,173,5,12.80,108,14,63.28,284,8,34.66,177,4,15.28,120,14,60.17,268
,,083580 - Adapted Physical Education              ,2,1.38,14,2,1.68,17,2,1.84,18,2,2.86,29,2,2.71,28,2,1.98,20,2,2.37,24,2,2.62,27,,,,2,2.73,28,2,3.24,35,1,1.41,14,2,3.47,35
,,083700 - Health Education                        ,5,9.45,57,4,19.21,99,1,6.62,36,4,11.63,98,2,1.20,40,1,6.44,35,3,12.65,65,3,15.24,80,1,7.54,41,5,12.68,96,3,14.32,76,1,6.99,38,4,15.93,100
,,085000 - Sign Language                           ,3,19.44,60,2,5.60,33,2,11.33,37,3,14.17,60,3,6.64,59,4,29.25,102,3,18.11,71,3,21.46,87,3,19.82,71,3,14.31,61,3,15.81,63,3,18.57,66,3,19.66,73
,,"090100 - Engineering, General (requires Calculus)",9,10.96,46,2,2.27,9,1,7.36,24,10,11.12,61,3,3.42,19,1,6.75,22,5,13.35,81,4,5.13,24,1,10.43,34,7,16.30,105,3,6.42,33,1,8.59,28,5,16.95,107
,,093400 - Electronics and Electric Technology     ,4,4.13,56,1,0.83,5,,,,4,8.19,78,6,5.84,46,,,,2,4.50,39,5,11.52,96,,,,2,3.96,34,7,9.08,84,,,,5,10.38,87
,,094610 - Energy Systems Technology               ,,,,,,,,,,,,,,,,,,,,,,1,1.19,13,,,,,,,1,1.65,18,,,,,,
,,094800 - Automotive Technology                   ,19,92.54,250,25,104.07,350,6,5.48,81,20,117.52,379,22,82.46,334,2,10.64,40,20,135.60,367,23,136.14,399,1,4.75,24,18,134.90,332,22,143.47,410,2,8.21,42,21,147.98,383
,,094840 - Alternative Fuels and Advanced Transport,1,1.40,7,,,,,,,,,,,,,,,,,,,,,,,,,1,3.10,15,,,,,,,,,
,,"100100 - Fine Arts, General                      ",10,27.45,267,9,39.34,300,3,18.84,103,8,37.78,291,9,6.10,323,3,21.21,116,9,42.24,350,12,51.13,419,3,20.30,111,11,73.47,411,13,59.38,433,5,31.63,173,11,50.44,395
