,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025,Winter 2026,Winter 2026,Winter 2026
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Mission Total,,,72,205.16,"1,854",717,"1,932.65","14,476",228,701.73,"5,077",708,"1,929.95","13,995",60,160.98,"1,457",707,"1,713.56","12,536",212,593.18,"4,550",666,"1,899.94","13,808",72,199.44,"1,762",693,"1,914.73","13,731",224,671.56,"5,041",712,"2,119.28","15,416",63,184.93,"1,678",728,"2,037.37","15,042",236,693.04,"5,240",761,"2,183.96","16,328",62,184.12,"1,670",732,"2,074.02","15,214",237,728.67,"5,464",741,"2,161.73","16,164",59,170.27,"1,515"
,,070200 - Computer Information Systems            ,1,6.12,29,5,24.30,116,,,,4,20.54,94,1,6.93,33,4,19.41,96,,,,4,14.71,73,1,4.80,24,4,17.27,86,,,,5,19.38,99,1,5.60,28,4,21.30,106,,,,5,18.81,97,1,5.20,26,4,13.07,70,1,4.40,22,3,12.00,65,1,4.80,24
,,070210 - Software Applications                   ,,,,3,8.21,62,1,3.19,23,3,6.61,59,,,,2,3.60,27,1,4.54,34,2,4.53,41,,,,2,8.41,63,1,4.01,30,2,4.94,37,,,,2,6.14,46,1,4.54,34,2,6.54,49,,,,1,3.74,28,1,3.20,24,1,4.01,30,,,
,,070600 - Computer Science (Transfer)             ,,,,3,12.55,60,,,,3,12.07,60,,,,2,8.42,42,,,,2,9.49,48,,,,2,11.79,60,,,,2,9.34,47,,,,2,10.64,53,,,,2,10.48,52,,,,1,5.40,27,,,,1,5.80,29,,,
,,070700 - Computer Software Development           ,,,,2,7.70,37,,,,2,5.83,29,,,,2,5.71,28,1,3.53,18,2,8.48,42,,,,3,14.09,70,3,16.20,81,3,11.30,56,,,,3,14.60,73,2,10.80,54,3,13.60,68,,,,3,15.00,75,2,10.80,54,3,13.40,67,,,
,,070710 - Computer Programming                    ,1,6.75,32,12,65.89,315,8,53.34,254,11,54.91,270,1,5.88,28,11,48.42,242,7,44.40,222,13,68.12,342,1,7.40,37,12,64.20,321,10,58.60,293,12,63.71,318,1,5.80,29,12,68.65,343,8,51.80,259,13,61.86,335,1,6.00,30,10,55.30,296,8,45.95,242,13,63.17,328,1,5.40,27
,,070720 - Database Design and Administration      ,,,,1,5.49,31,,,,1,1.07,8,,,,1,0.57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,070800 - Computer Infrastructure and Support     ,,,,,,,,,,1,2.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.00,15,,,,,,,,,
,,070810 - Computer Networking                     ,1,5.07,24,6,28.30,135,3,12.18,58,7,34.37,172,1,3.78,18,6,25.21,125,3,15.40,77,6,33.36,165,1,5.00,25,6,34.47,172,3,15.60,78,7,38.96,194,1,5.60,28,7,39.27,195,3,15.60,78,7,39.56,199,1,6.40,32,6,35.20,176,3,15.80,79,6,34.20,171,1,4.00,20
,,070820 - Computer Support                        ,,,,2,9.34,45,,,,2,9.96,51,,,,2,8.01,40,,,,2,8.36,41,,,,2,9.03,44,,,,2,10.56,52,,,,2,10.09,50,,,,2,8.89,47,,,,1,1.19,20,,,,1,5.60,28,,,
,,083500 - Physical Education                      ,7,6.98,66,57,37.52,344,14,14.58,141,63,49.75,450,5,6.72,66,59,47.46,439,20,15.00,152,58,61.84,535,9,7.22,72,61,62.28,544,23,21.46,213,54,52.63,506,8,7.28,72,64,66.12,640,23,24.21,240,56,60.16,586,7,5.92,66,53,56.99,549,17,14.42,147,29,32.89,328,8,9.22,96
