Region,SOC,Occupation Title,Typical Entry Level Education,2025 Jobs,2025 - 2030 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
CA,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,High school diploma or equivalent,11210,0.035721029,1310,23.74862095,49400
CVML,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,High school diploma or equivalent,310,0.023192847,40,22.45717145,46710
SCC,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,High school diploma or equivalent,210,0.061710014,30,22.65002364,47110
OC,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,High school diploma or equivalent,460,0.038445506,50,22.11271444,45990
LA,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,High school diploma or equivalent,4970,0.048024128,580,25.073593,52150
IE/D,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,High school diploma or equivalent,410,0.120073548,60,21.02900856,43740
FN,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,High school diploma or equivalent,40,0.229475239,10,21.48053684,44680
GS,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,High school diploma or equivalent,540,0.071864329,70,21.8056398,45360
FN,43-5011,Cargo and Freight Agents,High school diploma or equivalent,100,0.077266468,10,21.92197797,45600
Bay,43-5011,Cargo and Freight Agents,High school diploma or equivalent,2410,-0.051867638,190,28.61565126,59520
IE/D,43-5011,Cargo and Freight Agents,High school diploma or equivalent,2000,0.09227181,200,22.48485084,46770
OC,43-5011,Cargo and Freight Agents,High school diploma or equivalent,1000,-0.00235751,80,29.60982781,61590
SCC,43-5011,Cargo and Freight Agents,High school diploma or equivalent,320,0.050458305,30,25.66779025,53390
GS,43-5011,Cargo and Freight Agents,High school diploma or equivalent,320,0.040635393,30,25.48517913,53010
CA,43-5011,Cargo and Freight Agents,High school diploma or equivalent,17700,0.030982525,1520,27.72645968,57670
LA,43-5011,Cargo and Freight Agents,High school diploma or equivalent,9450,0.024753891,770,28.23814157,58740
SD/I,43-5011,Cargo and Freight Agents,High school diploma or equivalent,1080,0.082074127,100,24.80162235,51590
CVML,43-5011,Cargo and Freight Agents,High school diploma or equivalent,550,0.125838712,60,26.52115865,55160
Bay,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,2120,0.071949632,240,48.2877884,100440
CA,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,8760,0.085905456,1040,38.51499554,80110
SCC,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,490,0.064525768,60,41.34141796,85990
CVML,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,1140,0.094499517,140,30.62066987,63690
LA,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,1620,0.084761987,190,39.11729253,81360
GS,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,790,0.082807509,90,37.57472545,78160
OC,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,460,0.103121695,60,36.75394654,76450
SD/I,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,780,0.077344913,90,37.72184038,78460
IE/D,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,940,0.129935913,120,36.86226129,76670
FN,43-5031,Public Safety Telecommunicators,High school diploma or equivalent,400,0.056579463,40,30.11456369,62640
SCC,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,2430,-0.010372015,220,29.69070385,61760
CA,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,57230,-0.007305517,5310,30.23991974,62900
LA,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,16560,-0.049346679,1460,29.52764454,61420
Bay,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,12440,-0.006005467,1140,35.7471678,74350
CVML,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,4170,0.033888941,410,28.6758066,59650
SD/I,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,5240,-0.011260256,470,31.53280333,65590
OC,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,6280,-0.018331648,560,30.03074189,62460
FN,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,610,0.034970199,60,28.25069477,58760
GS,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,2550,0.030780861,250,29.79889938,61980
IE/D,43-5061,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,4880,0.026463823,470,27.19968897,56580
IE/D,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,4300,0.035335027,480,35.16074103,73130
OC,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,5780,-0.002168582,590,38.78372886,80670
FN,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,880,0.039367668,100,34.88978772,72570
SCC,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,2310,0.00015837,240,39.34796107,81840
SD/I,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,4870,0.006821101,510,40.50451402,84250
CVML,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,3400,0.044645459,390,36.75414298,76450
LA,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,15370,-0.005627914,1570,40.10869541,83430
CA,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,62200,0.015557976,6670,42.72083556,88860
Bay,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,18720,0.006674942,1980,49.93619051,103870
GS,43-6011,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,3940,0.04127487,440,41.99118015,87340
LA,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,11010,0.040948916,1610,31.24037952,64980
FN,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,270,-0.036278695,40,24.95964234,51920
OC,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,3370,0.028643559,480,27.1085656,56390
CVML,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,1090,-0.021506506,150,26.2937214,54690
Bay,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,3820,-0.032597399,510,38.26613918,79590
GS,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,1840,0.033697573,270,28.61839264,59530
IE/D,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,1110,0.034931825,160,26.01090027,54100
CA,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,27320,0.022143897,3900,30.21634006,62850
SD/I,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,3400,0.010721024,470,29.68674711,61750
SCC,43-6012,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,990,0.00975023,140,34.50196006,71760
LA,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,27770,0.041361336,2920,24.4746521,50910
OC,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,11210,0.059777194,1230,25.36630018,52760
FN,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,2120,0.049555766,230,23.02166945,47890
CA,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,115750,0.067869273,12950,26.2,54500
IE/D,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,10600,0.088568409,1240,23.95124766,49820
SCC,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,5980,0.047562248,640,24.25623635,50450
CVML,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,9780,0.079211692,1120,23.23194167,48320
SD/I,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,11670,0.067706065,1310,24.73967138,51460
GS,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,8360,0.074953116,950,27.51155493,57220
Bay,43-6013,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,24690,0.057859861,2700,30.0387185,62480
LA,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,48320,0.002982622,5260,25.69396661,53440
CA,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,183180,0.024604756,20910,26.50812474,55140
Bay,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,40430,0.01533012,4530,29.35674967,61060
FN,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,3790,0.032909486,440,24.42188081,50800
IE/D,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,15410,0.048628005,1840,25.30335778,52630
SCC,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,9670,0.008651065,1070,25.27104949,52560
OC,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,17680,0.011769418,1960,25.40556283,52840
SD/I,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,15200,0.024586958,1730,26.3871935,54890
GS,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,11140,0.051927449,1350,26.26321955,54630
CVML,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,15920,0.044790648,1900,24.92169301,51840
GS,43-9021,Data Entry Keyers,High school diploma or equivalent,1110,-0.095244761,110,22.50163243,46800
LA,43-9021,Data Entry Keyers,High school diploma or equivalent,4470,-0.104138858,460,22.56080797,46930
SCC,43-9021,Data Entry Keyers,High school diploma or equivalent,690,-0.128247619,70,20.66939562,42990
SD/I,43-9021,Data Entry Keyers,High school diploma or equivalent,1220,-0.095180662,130,20.91778207,43510
CVML,43-9021,Data Entry Keyers,High school diploma or equivalent,1000,-0.088252836,100,21.10805377,43900
IE/D,43-9021,Data Entry Keyers,High school diploma or equivalent,1260,-0.05628967,130,22.11883163,46010
CA,43-9021,Data Entry Keyers,High school diploma or equivalent,15840,-0.085989172,1650,22.48965178,46780
FN,43-9021,Data Entry Keyers,High school diploma or equivalent,220,-0.121239124,20,20.51024216,42660
Bay,43-9021,Data Entry Keyers,High school diploma or equivalent,2930,-0.075778533,300,24.1581561,50250
OC,43-9021,Data Entry Keyers,High school diploma or equivalent,1870,-0.110586244,190,22.37351595,46540
LA,43-9022,Word Processors and Typists,High school diploma or equivalent,4960,-0.1612842,520,27.96448444,58170
SCC,43-9022,Word Processors and Typists,High school diploma or equivalent,490,-0.176029179,50,24.73846004,51460
SD/I,43-9022,Word Processors and Typists,High school diploma or equivalent,470,-0.149436237,50,27.37808972,56950
IE/D,43-9022,Word Processors and Typists,High school diploma or equivalent,920,-0.129640023,100,23.85284342,49610
GS,43-9022,Word Processors and Typists,High school diploma or equivalent,190,-0.118341289,20,25.5287938,53100
Bay,43-9022,Word Processors and Typists,High school diploma or equivalent,1210,-0.148580681,130,34.35783586,71460
FN,43-9022,Word Processors and Typists,High school diploma or equivalent,120,-0.150266724,10,25.83815236,53740
OC,43-9022,Word Processors and Typists,High school diploma or equivalent,1530,-0.156706997,160,26.73362449,55610
CVML,43-9022,Word Processors and Typists,High school diploma or equivalent,710,-0.136599029,80,23.23170586,48320
CA,43-9022,Word Processors and Typists,High school diploma or equivalent,10730,-0.15245246,1130,26.99680295,56150
FN,43-9031,Desktop Publishers,Associate's degree,10,-0.282380175,0,23.70054819,49300
OC,43-9031,Desktop Publishers,Associate's degree,50,-0.062695967,0,31.51342268,65550
Bay,43-9031,Desktop Publishers,Associate's degree,140,-0.0675106,10,37.26191255,77500
CVML,43-9031,Desktop Publishers,Associate's degree,40,-0.049410844,0,30.19267911,62800
CA,43-9031,Desktop Publishers,Associate's degree,520,-0.063834138,50,32.4572404,67510
LA,43-9031,Desktop Publishers,Associate's degree,140,-0.075603026,10,30.88977384,64250
SCC,43-9031,Desktop Publishers,Associate's degree,20,-0.040514586,0,29.61918162,61610
SD/I,43-9031,Desktop Publishers,Associate's degree,30,-0.132319662,0,29.29449344,60930
IE/D,43-9031,Desktop Publishers,Associate's degree,20,0.021361433,0,29.04191773,60410
GS,43-9031,Desktop Publishers,Associate's degree,50,-0.048635493,10,36.75781435,76460
FN,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,420,0.011951453,40,25.04681352,52100
CA,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,24910,-0.048037865,2150,27.28094878,56740
IE/D,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,1930,-0.053985936,160,26.5551891,55230
CVML,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,1710,-0.064326778,140,23.63091897,49150
Bay,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,4050,-0.072700631,340,30.37464241,63180
SCC,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,560,-0.057812781,50,27.864091,57960
SD/I,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,2980,-0.081550253,240,24.53831156,51040
LA,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,5240,-0.084293706,420,24.023306,49970
OC,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,2690,-0.097873692,220,24.82536954,51640
GS,43-9041,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,2030,-0.055046561,170,28.40506641,59080
SD/I,43-9061,"Office Clerks, General",High school diploma or equivalent,31750,-0.01463487,3700,23.82164702,49550
LA,43-9061,"Office Clerks, General",High school diploma or equivalent,81150,-0.027340007,9400,23.12110606,48090
Bay,43-9061,"Office Clerks, General",High school diploma or equivalent,68550,-0.019996004,8000,25.21488902,52450
SCC,43-9061,"Office Clerks, General",High school diploma or equivalent,16880,-0.02426774,1960,24.09160064,50110
CVML,43-9061,"Office Clerks, General",High school diploma or equivalent,29070,0.008701658,3510,22.3100657,46400
OC,43-9061,"Office Clerks, General",High school diploma or equivalent,32870,-0.021938981,3820,23.06874622,47980
IE/D,43-9061,"Office Clerks, General",High school diploma or equivalent,28820,0.010310456,3490,22.21899681,46220
GS,43-9061,"Office Clerks, General",High school diploma or equivalent,24440,0.004375821,2930,23.50923036,48900
CA,43-9061,"Office Clerks, General",High school diploma or equivalent,330800,-0.010802501,39100,23.27739383,48420
FN,43-9061,"Office Clerks, General",High school diploma or equivalent,6930,-0.0063168,820,21.66161448,45060
CA,43-9111,Statistical Assistants,Bachelor's degree,500,0.009117975,70,38.38338762,79840
GS,43-9111,Statistical Assistants,Bachelor's degree,40,-0.029066588,10,25.47025238,52980
CVML,43-9111,Statistical Assistants,Bachelor's degree,30,-0.032135136,0,35.91194389,74700
SD/I,43-9111,Statistical Assistants,Bachelor's degree,50,-0.032199879,10,39.58163692,82330
OC,43-9111,Statistical Assistants,Bachelor's degree,40,-0.032326784,0,34.48393405,71730
Bay,43-9111,Statistical Assistants,Bachelor's degree,130,0.022257036,20,41.1450677,85580
FN,43-9111,Statistical Assistants,Bachelor's degree,0,0.092095855,0,33.89656224,70500
IE/D,43-9111,Statistical Assistants,Bachelor's degree,60,0.065876507,10,23.47423617,48830
SCC,43-9111,Statistical Assistants,Bachelor's degree,30,-0.021058516,0,30.69799067,63850
LA,43-9111,Statistical Assistants,Bachelor's degree,120,-0.01271731,20,36.97255946,76900
CVML,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,6050,-0.003766937,780,23.03151892,47910
Bay,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,2900,0.030543016,390,25.60950152,53270
GS,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,590,0.018231907,80,25.1002195,52210
LA,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,430,-0.01533035,50,29.47489211,61310
FN,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,760,0.005254576,100,25.88886377,53850
CA,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,14400,0.015492284,1910,24.48316171,50920
SCC,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,2090,0.070004485,300,22.67947652,47170
IE/D,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,530,0.001684837,70,24.58987983,51150
SD/I,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,660,-0.063133928,80,25.59073496,53230
OC,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,170,-0.035154876,20,28.9370231,60190
CVML,45-2011,Agricultural Inspectors,Bachelor's degree,660,0.011617923,100,26.89611227,55940
LA,45-2011,Agricultural Inspectors,Bachelor's degree,490,-0.020741952,70,30.05715513,62520
GS,45-2011,Agricultural Inspectors,Bachelor's degree,370,0.066228303,60,21.35294952,44410
FN,45-2011,Agricultural Inspectors,Bachelor's degree,120,-0.054236996,20,21.42857203,44570
OC,45-2011,Agricultural Inspectors,Bachelor's degree,140,0.007959723,20,28.34731498,58960
SCC,45-2011,Agricultural Inspectors,Bachelor's degree,150,0.011246587,20,32.3749579,67340
IE/D,45-2011,Agricultural Inspectors,Bachelor's degree,240,0.022822192,40,23.62977255,49150
SD/I,45-2011,Agricultural Inspectors,Bachelor's degree,180,0.007087644,30,32.75165196,68120
Bay,45-2011,Agricultural Inspectors,Bachelor's degree,160,0.024235538,30,32.00540614,66570
CA,45-2011,Agricultural Inspectors,Bachelor's degree,2570,0.011884519,400,25.19282558,52400
GS,45-4011,Forest and Conservation Workers,High school diploma or equivalent,440,0.019905167,90,19.09945644,39730
LA,45-4011,Forest and Conservation Workers,High school diploma or equivalent,320,-0.004552879,60,19.37035517,40290
CVML,45-4011,Forest and Conservation Workers,High school diploma or equivalent,430,-0.014752854,90,19.83308161,41250
FN,45-4011,Forest and Conservation Workers,High school diploma or equivalent,760,0.035376986,160,18.96239645,39440
CA,45-4011,Forest and Conservation Workers,High school diploma or equivalent,3600,0.028717287,760,19.41648373,40390
OC,45-4011,Forest and Conservation Workers,High school diploma or equivalent,120,0.10440149,30,18.77776455,39060
SD/I,45-4011,Forest and Conservation Workers,High school diploma or equivalent,230,-0.031067319,40,20.28074453,42180
Bay,45-4011,Forest and Conservation Workers,High school diploma or equivalent,480,0.008923561,100,19.29847112,40140
IE/D,45-4011,Forest and Conservation Workers,High school diploma or equivalent,220,0.016560426,50,20.83151619,43330
SCC,45-4011,Forest and Conservation Workers,High school diploma or equivalent,370,0.041980845,80,20.90077755,43470
OC,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,8050,0.02764,660,47.62668472,99060
LA,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,13800,0.003001378,1060,42.91660264,89270
IE/D,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,9690,0.040274797,820,38.55661503,80200
SCC,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,4220,0.031978013,360,42.20740819,87790
SD/I,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,8040,0.04039584,680,44.61643325,92800
GS,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,7580,0.058044998,670,45.12797996,93870
CA,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,81430,0.030276034,6740,45.15049416,93910
CVML,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,7260,0.050339837,630,40.23269403,83680
FN,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,1570,0.054691976,140,40.44615404,84130
Bay,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,19690,0.014983371,1560,54.63384713,113640
LA,47-2011,Boilermakers,High school diploma or equivalent,220,-0.025197272,20,52.37315657,108940
IE/D,47-2011,Boilermakers,High school diploma or equivalent,90,0.017491701,10,51.21259152,106520
SD/I,47-2011,Boilermakers,High school diploma or equivalent,70,0.005167236,10,55.26648527,114950
SCC,47-2011,Boilermakers,High school diploma or equivalent,30,-0.054456709,0,48.27483956,100410
GS,47-2011,Boilermakers,High school diploma or equivalent,30,0.046572165,0,47.41478473,98620
OC,47-2011,Boilermakers,High school diploma or equivalent,130,-0.022079157,10,54.34766888,113040
CVML,47-2011,Boilermakers,High school diploma or equivalent,170,-0.09059259,10,40.87247023,85010
CA,47-2011,Boilermakers,High school diploma or equivalent,880,-0.030444811,80,56.8,118140
FN,47-2011,Boilermakers,High school diploma or equivalent,0,0.02438218,0,51.12,106330
Bay,47-2011,Boilermakers,High school diploma or equivalent,100,-0.033712165,10,60.7233631,126300
OC,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,610,-0.079344633,40,29.06583087,60460
FN,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,100,-0.129885672,10,31.14855389,64790
Bay,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,1040,-0.016170462,80,33.97143977,70660
CVML,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,700,0.03232111,60,32.16991039,66910
GS,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,530,0.030732016,40,32.78627402,68200
CA,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,5810,-0.021731118,430,31.36885273,65250
SD/I,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,420,-0.039162177,30,27.12195331,56410
IE/D,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,810,-0.051675624,60,28.86017186,60030
LA,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,1130,-0.02162828,80,29.64811404,61670
SCC,47-2021,Brickmasons and Blockmasons,High school diploma or equivalent,390,0.012012817,30,29.91422944,62220
FN,47-2022,Stonemasons,High school diploma or equivalent,10,-0.099085236,0,21.1306232,43950
Bay,47-2022,Stonemasons,High school diploma or equivalent,350,-0.0365036,30,27.50449688,57210
CVML,47-2022,Stonemasons,High school diploma or equivalent,280,-0.016108336,20,34.85054888,72490
IE/D,47-2022,Stonemasons,High school diploma or equivalent,150,-0.07924377,10,26.21928499,54540
SD/I,47-2022,Stonemasons,High school diploma or equivalent,80,-0.069186686,10,25.96609907,54010
GS,47-2022,Stonemasons,High school diploma or equivalent,170,-0.013372536,10,27.38131508,56950
LA,47-2022,Stonemasons,High school diploma or equivalent,260,-0.061144333,20,26.40396627,54920
SCC,47-2022,Stonemasons,High school diploma or equivalent,180,-0.007893152,10,32.57323631,67750
CA,47-2022,Stonemasons,High school diploma or equivalent,1680,-0.046732693,120,28.13990796,58530
OC,47-2022,Stonemasons,High school diploma or equivalent,150,-0.095088061,10,27.93274145,58100
LA,47-2031,Carpenters,High school diploma or equivalent,27000,-0.024876232,1890,31.09488968,64680
SD/I,47-2031,Carpenters,High school diploma or equivalent,12170,0.004428533,920,32.85418602,68340
CA,47-2031,Carpenters,High school diploma or equivalent,137290,-0.008579579,10060,33.66057943,70010
OC,47-2031,Carpenters,High school diploma or equivalent,14120,-0.009415505,1020,36.67271831,76280
GS,47-2031,Carpenters,High school diploma or equivalent,13160,0.007746173,1000,34.13345549,71000
IE/D,47-2031,Carpenters,High school diploma or equivalent,17840,-0.001951959,1300,31.26926702,65040
CVML,47-2031,Carpenters,High school diploma or equivalent,10180,0.014032917,780,30.60005503,63650
SCC,47-2031,Carpenters,High school diploma or equivalent,8010,-0.011584427,590,33.73794723,70170
Bay,47-2031,Carpenters,High school diploma or equivalent,30390,-0.015782326,2210,35.98040856,74840
FN,47-2031,Carpenters,High school diploma or equivalent,2760,-0.036160721,210,31.15007988,64790
OC,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,0,-0.184801663,0,33.29739838,69260
CA,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,60,-0.138594328,0,20.27347786,42170
GS,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,0,-0.186791901,0,30.83704105,64140
CVML,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,0,-0.180643777,0,29.14302816,60620
IE/D,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,20,-0.095611639,0,18.81667833,39140
SCC,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,10,-0.05579012,0,17.99492627,37430
LA,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,0,-0.225166903,0,27.85776749,57940
Bay,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,0,-0.173908052,0,24.98482983,51970
FN,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,10,-0.55445964,0,19.95289684,41500
SD/I,47-2053,Terrazzo Workers and Finishers,High school diploma or equivalent,20,-0.067837202,0,18.01550032,37470
Bay,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,640,0.037690674,60,41.84071949,87030
SCC,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,230,0.060265224,20,39.14920398,81430
LA,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,280,-0.006797187,20,37.03721349,77040
OC,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,190,0.040967031,20,38.7127254,80520
SD/I,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,150,0.037376661,10,30.89875743,64270
FN,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,130,0.097960739,10,35.27758978,73380
CA,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,2760,0.046291658,260,38.990738,81100
IE/D,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,350,0.087725662,40,59.99771365,124800
GS,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,250,0.051590611,20,39.87552357,82940
CVML,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,530,0.039897066,50,34.9982924,72800
OC,47-2072,Pile Driver Operators,High school diploma or equivalent,50,-0.021235218,0,51.71209594,107560
CVML,47-2072,Pile Driver Operators,High school diploma or equivalent,100,-0.077383519,10,31.79510781,66130
IE/D,47-2072,Pile Driver Operators,High school diploma or equivalent,50,0.017398619,0,49.98070282,103960
LA,47-2072,Pile Driver Operators,High school diploma or equivalent,90,-0.022180457,10,50.66640875,105390
SCC,47-2072,Pile Driver Operators,High school diploma or equivalent,10,-0.007047281,0,45.00095892,93600
FN,47-2072,Pile Driver Operators,High school diploma or equivalent,0,1.870402158,0,29.49398377,61350
CA,47-2072,Pile Driver Operators,High school diploma or equivalent,470,-0.018174529,40,52.75243091,109730
SD/I,47-2072,Pile Driver Operators,High school diploma or equivalent,10,-0.083756848,0,48.3296871,100530
GS,47-2072,Pile Driver Operators,High school diploma or equivalent,70,0.030386525,10,59.6304636,124030
Bay,47-2072,Pile Driver Operators,High school diploma or equivalent,80,-0.013054702,10,63.12983126,131310
IE/D,47-2073,Operating Engineers and Other Construction Equipment Operators,High school diploma or equivalent,5110,0.067357214,500,37.46848279,77930
CVML,47-2073,Operating Engineers and Other Construction Equipment Operators,High school diploma or equivalent,4740,0.058448706,460,36.49951294,75920
GS,47-2073,Operating Engineers and Other Construction Equipment Operators,High school diploma or equivalent,3600,0.068956711,350,42.78730282,89000
FN,47-2073,Operating Engineers and Other Construction Equipment Operators,High school diploma or equivalent,1700,0.070479175,170,35.29429343,73410
CA,47-2073,Operating Engineers and Other Construction Equipment Operators,High school diploma or equivalent,39030,0.041851698,3580,41.20091394,85700
