Region,SOC,Occupation Title,Typical Entry Level Education,2025 Jobs,2025 - 2030 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
SCC,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,20,0.013628267,0,57.87164916,120370
IE/D,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,90,0.002252071,10,48.92114949,101760
FN,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,80,0.004246807,10,43.57324439,90630
SD/I,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,40,-0.001677321,0,51.08449386,106260
CA,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,760,-0.001203397,60,48.6139308,101120
CVML,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,70,0.015781511,10,46.72873251,97200
LA,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,90,0.025767291,10,55.09281021,114590
OC,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,30,0.028712318,0,52.48404283,109170
Bay,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,250,-0.072273058,20,44.03687774,91600
OC,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,8460,0.007765558,720,38.54292528,80170
SD/I,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,6970,-0.003409237,570,36.60213597,76130
IE/D,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,4070,0.022852099,370,35.48109749,73800
Bay,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,15340,-0.009523472,1260,37.47436378,77950
GS,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,3810,0.002550002,320,30.07769673,62560
SCC,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,2660,-0.014210462,220,34.27768163,71300
FN,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,790,-0.007246897,70,28.54603713,59380
CVML,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,3600,0.006812657,310,31.41228839,65340
CA,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,64830,0.00621956,5500,36.10569518,75100
LA,11-9141,"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,17270,0.000304792,1420,34.84667888,72480
GS,11-9171,Funeral Home Managers,Associate's degree,60,0.10836727,10,37.35650482,77700
OC,11-9171,Funeral Home Managers,Associate's degree,70,0.131906653,10,34.48303196,71720
Bay,11-9171,Funeral Home Managers,Associate's degree,180,0.091191974,20,43.80995703,91120
LA,11-9171,Funeral Home Managers,Associate's degree,270,0.051055486,20,39.47294115,82100
IE/D,11-9171,Funeral Home Managers,Associate's degree,100,0.086396847,10,36.27200198,75450
SD/I,11-9171,Funeral Home Managers,Associate's degree,80,0.128375228,10,38.45795343,79990
SCC,11-9171,Funeral Home Managers,Associate's degree,50,0.087008671,10,46.18500799,96060
FN,11-9171,Funeral Home Managers,Associate's degree,20,0.379555756,0,34.8049998,72390
CVML,11-9171,Funeral Home Managers,Associate's degree,90,0.070531245,10,36.11486336,75120
CA,11-9171,Funeral Home Managers,Associate's degree,930,0.087146414,90,38.57452552,80240
LA,13-1028,Buyers and Purchasing Agents,Bachelor's degree,12890,0.0000888107,1200,39.04646585,81220
Bay,13-1028,Buyers and Purchasing Agents,Bachelor's degree,11840,0.052598894,1250,44.68656259,92950
CA,13-1028,Buyers and Purchasing Agents,Bachelor's degree,51070,0.041179063,5250,39.37228495,81890
CVML,13-1028,Buyers and Purchasing Agents,Bachelor's degree,3460,0.062044168,370,35.81592922,74500
FN,13-1028,Buyers and Purchasing Agents,Bachelor's degree,700,0.050475831,70,32.02882351,66620
SCC,13-1028,Buyers and Purchasing Agents,Bachelor's degree,2700,0.023554038,270,37.9192256,78870
GS,13-1028,Buyers and Purchasing Agents,Bachelor's degree,2630,0.065319064,290,38.01992016,79080
SD/I,13-1028,Buyers and Purchasing Agents,Bachelor's degree,5130,0.026493895,510,39.52892664,82220
IE/D,13-1028,Buyers and Purchasing Agents,Bachelor's degree,3970,0.053046078,420,35.91569073,74700
OC,13-1028,Buyers and Purchasing Agents,Bachelor's degree,5600,0.02650138,560,39.64861907,82470
OC,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,2790,-0.141998473,170,42.05607496,87480
LA,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,5520,-0.100982188,350,42.6744932,88760
CA,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,27700,-0.048334708,1970,43.84435392,91200
CVML,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,1550,-0.070787014,100,41.77298157,86890
FN,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,550,0.031307605,40,38.9351435,80990
SCC,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,870,-0.053000709,60,39.96716909,83130
GS,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,2910,-0.070630535,190,41.71596108,86770
SD/I,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,3180,-0.078076757,200,40.58364199,84410
IE/D,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,1600,-0.041640646,110,43.72437734,90950
Bay,13-1031,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,4970,-0.098584593,320,48.19713981,100250
LA,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,110,-0.054229758,10,37.93173533,78900
