,,,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,061460 - Computer Graphics and Digital Imagery   ,27,,21,,35,,6,,40,
,,"070100 - Information Technology, General         ",366,,371,138,365,,266,120,212,
,,070600 - Computer Science (Transfer)             ,278,,336,225,371,,364,265,353,
,,070710 - Computer Programming                    ,50,,47,23,39,,23,29,40,
,,080200 - Educational Aide (Teacher Assistant)    ,15,,14,,28,,15,,12,
,,083500 - Physical Education                      ,828,,573,160,575,,670,133,547,
,,083550 - Intercollegiate Athletics               ,59,,,,107,,,,78,
,,083580 - Adapted Physical Education              ,15,,14,,14,,16,,15,
,,083700 - Health Education                        ,71,,45,,50,,27,,49,
,,085000 - Sign Language                           ,43,,47,,37,,32,,19,
,,086000 - Educational Technology                  ,111,,91,62,119,,95,44,117,
,,"090100 - Engineering, General (requires Calculus)",125,,139,,200,,188,,204,
,,"092400 - Engineering Technology, General (require",30,,24,,31,,33,,33,
,,094800 - Automotive Technology                   ,436,,439,126,550,,467,127,498,
,,094840 - Alternative Fuels and Advanced Transport,87,,119,,,,33,,,
,,095300 - Drafting Technology                     ,,,13,,67,,47,,62,
,,095310 - Architectural Drafting                  ,54,,157,,134,,,,,
,,095340 - Mechanical Drafting                     ,8,,6,,,,,,,
,,095600 - Manufacturing and Industrial Technology ,37,,74,,39,,34,,28,
,,"100100 - Fine Arts, General                      ",86,,42,54,83,,39,,53,
,,100200 - Art                                     ,770,,672,305,765,,673,331,729,
,,100210 - Painting and Drawing                    ,64,,65,,59,,73,,36,
,,100220 - Sculpture                               ,28,,25,,26,,28,,26,
,,100400 - Music                                   ,465,,461,149,465,,373,130,318,
,,100700 - Dramatic Arts                           ,261,,278,80,226,,260,72,256,
,,100800 - Dance                                   ,80,,108,53,86,,100,47,80,
,,100900 - Applied Design                          ,26,,26,,35,,7,,9,
,,100910 - Jewelry                                 ,13,,14,,12,,16,,14,
,,101100 - Photography                             ,41,,43,14,27,,34,15,36,
,,103000 - Graphic Art and Design                  ,22,,,,47,,39,,50,
,,110500 - Spanish                                 ,448,,397,88,298,,248,73,219,
,,111720 - Vietnamese                              ,203,,193,27,158,,201,36,171,
,,123000 - Nursing                                 ,69,,84,77,79,,79,83,85,
,,123010 - Registered Nursing                      ,312,,277,89,292,,287,87,311,
,,127000 - Kinesiology                             ,290,,286,102,252,,295,66,219,
,,"130100 - Family and Consumer Sciences, General   ",128,,208,94,197,,154,83,163,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",178,,136,80,134,,135,81,137,
,,140200 - Paralegal                               ,214,,195,,224,,207,,225,
,,150100 - English                                 ,"1,594",,"1,271",211,"1,492",,"1,360",212,"1,355",
,,150600 - Speech Communication                    ,"1,053",,967,612,961,,929,537,952,
,,150900 - Philosophy                              ,365,,439,179,359,,482,156,433,
,,"160100 - Library Science, General                ",24,,9,,20,,6,,,
,,"170100 - Mathematics, General                    ","1,913",,"1,681",939,"2,109",,"2,088",890,"1,805",
,,"190200 - Physics, General                        ",200,,206,101,217,,241,117,234,
,,"190500 - Chemistry, General                      ",527,,520,156,633,,573,161,642,
,,191100 - Astronomy                               ,234,,254,85,290,,247,50,329,
,,191900 - Oceangraphy                             ,147,,88,39,94,,75,83,93,
,,193000 - Earth Science                           ,,,,,,,18,,,
,,"200100 - Psychology, General                     ","1,399",,"1,082",520,"1,278",,"1,164",462,"1,249",
,,210500 - Administration of Justice               ,511,,407,178,625,,440,139,556,
,,210520 - Probation and Parole                    ,15,,,,10,,,,,
,,214000 - Legal and Community Interpretation      ,67,,101,,154,,203,17,139,
,,220110 - Women's Studies                         ,31,,55,,27,,26,,33,
,,220200 - Anthropology                            ,176,,140,150,144,,141,109,187,
,,220300 - Ethnic Studies                          ,"1,151",,"1,138",582,"1,176",,"1,213",491,801,
,,220400 - Economics                               ,279,,283,162,280,,332,216,286,
,,220500 - History                                 ,996,,"1,034",257,840,,999,272,807,
,,220600 - Geography                               ,93,,30,,56,,27,,53,
,,220700 - Political Science                       ,382,,271,,338,,224,,332,
,,220800 - Sociology                               ,190,,189,107,184,,180,109,121,
