,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Deanza Total,,,"1,496","4,677.79","43,500","1,428","4,383.28","40,651",543,"1,723.56","16,321","1,531","4,586.18","42,846","1,402","4,069.00","37,733","1,357","3,843.79","35,711",528,"1,657.96","15,670","1,524","4,371.61","41,153","1,386","4,015.47","37,129","1,351","3,832.62","35,608",547,"1,716.79","16,262","1,447","4,276.33","39,561","1,351","4,087.75","37,874",587,"1,884.10","17,464","1,546","4,683.08","44,212","1,443","4,373.89","40,281","1,376","4,147.20","38,580",586,"1,938.90","18,063","1,547","4,791.84","44,323"
,,060600 - Public Relations                        ,,,,1,2.05,23,,,,,,,,,,1,1.96,22,,,,,,,,,,1,1.87,21,,,,,,,1,2.58,29,,,,,,,,,,1,2.58,29,,,,,,
,,061000 - Mass Communications                     ,3,7.56,85,4,9.60,108,2,4.62,52,4,9.69,109,3,8.01,90,3,7.92,89,2,4.71,53,4,10.86,122,3,7.83,88,3,6.05,68,2,5.43,61,3,7.64,86,2,5.79,65,2,4.63,52,4,9.60,108,3,7.38,83,2,5.34,60,2,4.62,52,3,8.00,90
,,061200 - Film Studies                            ,9,26.95,303,10,26.51,309,1,4.54,51,8,29.98,337,8,26.43,297,10,29.18,338,1,4.45,50,7,29.09,327,8,26.33,296,7,26.24,295,1,4.63,52,9,27.84,313,7,25.13,289,1,4.98,56,7,30.15,339,8,31.04,349,8,25.62,295,1,4.27,48,8,30.25,340
,,061220 - Film Production                         ,5,7.37,83,7,9.21,103,1,2.22,25,5,8.80,99,4,7.11,80,5,6.41,72,1,2.40,27,6,11.60,123,4,7.11,68,4,5.60,63,1,2.49,28,5,8.78,90,4,5.18,56,1,1.60,18,5,11.02,115,5,10.25,107,5,7.95,81,1,2.22,25,5,8.98,95
,,061440 - Animation                               ,8,15.09,147,7,12.13,97,2,3.02,22,7,15.47,132,8,15.84,155,7,12.49,100,2,3.02,22,7,13.47,117,7,16.68,163,8,16.58,149,1,4.18,47,8,16.14,157,8,17.38,155,1,3.91,44,7,15.93,136,8,17.03,165,8,17.07,153,1,4.36,49,8,16.18,138
,,061450 - Desktop Publishing                      ,,,,1,4.27,32,,,,,,,1,5.07,38,,,,,,,1,2.85,32,,,,,,,,,,,,,,,,,,,1,4.67,35,,,,,,,,,,1,3.33,25
,,061460 - Computer Graphics and Digital Imagery   ,1,1.67,25,1,3.67,30,1,3.79,31,1,3.79,31,1,1.67,25,1,2.81,23,1,2.20,18,1,2.20,18,1,2.00,30,1,2.81,23,1,1.59,13,1,1.93,29,1,2.20,18,1,1.71,14,1,2.08,17,1,1.67,25,1,1.59,13,1,2.08,17,1,1.83,15
,,"070100 - Information Technology, General         ",10,40.39,340,12,55.51,461,6,25.48,216,11,40.54,340,10,40.04,337,11,49.37,413,6,19.63,169,9,36.42,309,10,42.37,355,12,48.88,408,7,21.61,187,10,36.66,307,13,40.12,336,8,21.85,183,10,32.32,273,10,32.06,269,11,32.52,275,9,27.78,241,13,34.32,296
,,070710 - Computer Programming                    ,51,245.06,"2,024",51,223.47,"1,834",29,140.56,"1,152",51,216.81,"1,775",46,213.38,"1,750",49,213.80,"1,751",30,150.89,"1,236",48,219.13,"1,795",47,219.72,"1,804",49,221.32,"1,813",36,183.24,"1,501",50,234.97,"1,928",48,212.41,"1,741",37,164.53,"1,348",46,197.05,"1,614",52,216.40,"1,775",48,189.47,"1,547",35,149.91,"1,229",43,177.25,"1,453"
,,070720 - Database Design and Administration      ,2,8.68,71,2,6.92,61,1,6.24,51,4,11.49,94,2,8.19,67,2,8.24,74,1,6.11,50,4,16.02,131,2,7.58,62,2,6.15,53,3,15.16,136,2,10.40,85,2,9.22,85,3,15.27,136,4,13.57,111,2,9.54,78,3,9.13,79,3,13.19,114,5,18.23,149
