,,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020
,,Median Wage 2 Years Before Award,Median Wage 2 Years After Award,Median Wage 5 Years After Award,Total Awards
Construction Crafts Technology-095200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$17,284","$50,670","$71,596",41
,Chancellor's Office Approved Certificates Recipient                        ,"$38,017","$55,598","$60,125",64
Construction Inspection-095720,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$42,980","$70,658","$96,289",49
,Chancellor's Office Approved Certificates Recipient                        ,"$58,406","$73,457","$90,114",83
,Locally Approved Certificates Recipient                                    ,"$37,661","$66,399","$79,104",42
Corrections-210510,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,472","$35,385","$54,708",80
,Chancellor's Office Approved Certificates Recipient                        ,"$26,770","$36,288","$59,258",56
,Locally Approved Certificates Recipient                                    ,"$44,999","$89,962","$99,688",76
Cosmetology and Barbering-300700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,125","$32,776","$32,653",111
,Chancellor's Office Approved Certificates Recipient                        ,"$22,264","$24,025","$31,212","1,083"
,Locally Approved Certificates Recipient                                    ,"$23,916","$27,781","$34,602",244
Culinary Arts-130630,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,594","$37,593","$43,155",371
,Chancellor's Office Approved Certificates Recipient                        ,"$20,195","$34,817","$41,087",615
,Locally Approved Certificates Recipient                                    ,"$19,890","$30,114","$42,147",148
Customer Service-051800,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,N/A,"$17,730","$32,575",20
Dance-100800,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$16,420","$32,075","$36,834",37
Database Design and Administration-070720,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,N/A,"$100,955","$110,031",15
,Locally Approved Certificates Recipient                                    ,"$90,016","$69,902","$87,849",20
Dental Assistant-124010,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,414","$42,794","$52,155",105
,Chancellor's Office Approved Certificates Recipient                        ,"$18,332","$38,024","$44,676",256
Dental Hygienist-124020,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$29,034","$80,849","$86,385",236
Dental Laboratory Technician-124030,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,N/A,"$28,471","$35,435",17
Diagnostic Medical Sonography-122700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$31,741","$112,722","$120,409",148
,Chancellor's Office Approved Certificates Recipient                        ,"$28,585","$101,495","$117,395",96
Diesel Technology-094700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,206","$59,493","$74,269",51
,Chancellor's Office Approved Certificates Recipient                        ,"$33,430","$64,811","$78,751",154
,Locally Approved Certificates Recipient                                    ,"$32,914","$58,271","$87,696",22
Dietetic Services and Management-130620,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$40,698","$60,002","$70,925",95
Dietetic Technology-130660,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$25,137","$32,805","$44,770",36
Digital Media-061400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$14,818","$32,026","$42,968",112
,Chancellor's Office Approved Certificates Recipient                        ,"$15,461","$26,407","$42,700",67
,Locally Approved Certificates Recipient                                    ,"$11,220","$31,788","$49,541",26
Drafting Technology-095300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$30,589","$54,059","$61,002",140
,Chancellor's Office Approved Certificates Recipient                        ,"$28,476","$56,691","$60,317",100
,Locally Approved Certificates Recipient                                    ,"$34,919","$53,333","$71,159",59
Dramatic Arts-100700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$14,302","$21,806","$35,286",158
Drywall and Insulation-095280,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$83,590","$115,193","$122,790",84
Economics-220400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,321","$38,129","$63,745",449
Educational Aide (Teacher Assistant)-080200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$8,742","$20,551","$32,502",19
Electrical Systems and Power Transmission-093440,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$45,727","$83,437","$90,473",22
,Chancellor's Office Approved Certificates Recipient                        ,"$96,837","$127,791","$134,808",145
Electrical-095220,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$44,853","$69,094","$92,679",80
,Chancellor's Office Approved Certificates Recipient                        ,"$71,124","$121,066","$122,314",920
,Locally Approved Certificates Recipient                                    ,"$49,221","$88,638","$102,632",94
Electrocardiography-121500,,,,,
,Locally Approved Certificates Recipient                                    ,"$37,800","$62,585","$65,402",33
Electro-Neurodiagnostic Technology-121200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$39,168","$88,054","$105,158",18
Electronic Game Design-061420,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$11,161","$38,647","$35,087",22
Electronics and Electric Technology-093400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$36,812","$65,274","$80,497",223
,Chancellor's Office Approved Certificates Recipient                        ,"$42,485","$69,631","$84,558",353
,Locally Approved Certificates Recipient                                    ,"$69,348","$94,249","$94,013",88
Emergency Medical Services-125000,,,,,
,Locally Approved Certificates Recipient                                    ,"$51,650","$82,384","$95,777",990
Energy Systems Technology-094610,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$40,258","$57,539","$71,214",20
,Chancellor's Office Approved Certificates Recipient                        ,"$17,248","$54,002","$111,606",36
"Engineering Technology, General (requires Trigonometry)-092400",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$25,967","$64,498","$88,963",59
,Chancellor's Office Approved Certificates Recipient                        ,"$36,610","$61,485","$76,163",21
"Engineering, General (requires Calculus) (Transfer)-090100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$17,293","$34,258","$76,986",198
,Locally Approved Certificates Recipient                                    ,"$27,783","$45,236","$69,551",22
English as a Second Language - Integrated-493087,,,,,
,Locally Approved Certificates Recipient                                    ,"$20,027","$29,392","$36,059",27
English-150100,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$19,712","$25,358","$42,714",451
Environmental Control Technology-094600,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$43,540","$80,233","$88,247",132
,Chancellor's Office Approved Certificates Recipient                        ,"$48,037","$66,940","$82,738",670
,Locally Approved Certificates Recipient                                    ,"$41,990","$53,066","$53,671",56
Environmental Studies-030200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$19,806","$30,494","$42,932",25
Environmental Technology-030300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$36,026","$67,729","$81,196",46
,Chancellor's Office Approved Certificates Recipient                        ,"$34,498","$65,602","$70,089",48
Ethnic Studies-220300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$24,289","$38,104","$50,289",49
"Family and Consumer Sciences, General-130100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$24,546","$23,358","$28,734",15
Family Studies-130800,,,,,
,Associate or Baccalaureate Degree Recipient                                ,N/A,"$26,666","$40,389",17
Fashion Design-130310,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$15,399","$37,714","$42,571",101
,Chancellor's Office Approved Certificates Recipient                        ,"$14,903","$39,688","$44,855",136
Fashion Merchandising-130320,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,103","$33,648","$41,657",73
,Chancellor's Office Approved Certificates Recipient                        ,"$20,797","$33,379","$41,392",39
Fashion Production-130330,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$14,713","$38,611","$38,786",21
,Chancellor's Office Approved Certificates Recipient                        ,"$22,758","$43,390","$33,794",24
Fashion-130300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,616","$18,433","$51,132",22
,Chancellor's Office Approved Certificates Recipient                        ,N/A,"$37,111","$37,006",16
Film Production-061220,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$16,135","$30,526","$32,387",123
,Chancellor's Office Approved Certificates Recipient                        ,"$15,643","$39,757","$47,236",110
Film Studies-061200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,585","$31,078","$48,528",47
"Fine Arts, General-100100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$15,168","$26,434","$40,914",157
Fire Academy-213350,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$26,495","$59,065","$98,029",147
,Locally Approved Certificates Recipient                                    ,"$27,676","$56,884","$78,955",84
Fire Technology-213300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$28,246","$61,486","$87,489",354
,Chancellor's Office Approved Certificates Recipient                        ,"$30,804","$63,960","$96,372",189
,Locally Approved Certificates Recipient                                    ,"$33,692","$68,532","$96,701",130
Fitness Trainer-083520,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$19,460","$30,476","$37,520",89
,Locally Approved Certificates Recipient                                    ,"$18,267","$17,309","$27,848",41
Flight Attendant-302040,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$16,924","$29,560",N/A,13
Floriculture / Floristry-010920,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$28,442","$35,335",N/A,18
,Chancellor's Office Approved Certificates Recipient                        ,"$30,908","$29,072","$23,380",51
,Locally Approved Certificates Recipient                                    ,N/A,"$39,097",N/A,19
Food Processing and Related Technologies-011300,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$45,979","$61,467","$68,569",34
"Foreign Languages, General-110100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$16,459","$36,435","$41,969",72
"Forensics, Evidence, and Investigation-210540",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,236","$33,371","$62,105",52
,Chancellor's Office Approved Certificates Recipient                        ,"$26,134","$34,484","$63,605",70
Forestry-011400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$32,377","$55,292","$70,508",30
,Chancellor's Office Approved Certificates Recipient                        ,"$22,133","$44,571",N/A,16
French-110200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$19,876","$28,947","$58,705",31
Geographic Information Systems-220610,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$44,372","$82,046","$107,969",44
,Chancellor's Office Approved Certificates Recipient                        ,"$45,001","$70,381","$97,670",103
,Locally Approved Certificates Recipient                                    ,"$42,433","$64,619","$94,812",35
Geography-220600,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$13,205","$27,075","$52,372",58
Geology-191400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$17,014","$18,086","$81,974",26
Gerontology-130900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,N/A,"$61,192",N/A,22
,Chancellor's Office Approved Certificates Recipient                        ,"$31,043","$51,291","$72,924",33
Graphic Art and Design-103000,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,480","$35,083","$47,092",276
,Chancellor's Office Approved Certificates Recipient                        ,"$21,815","$43,206","$52,841",179
,Locally Approved Certificates Recipient                                    ,"$14,629","$31,440","$39,555",60
Health Education-083700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,616","$52,003","$75,529",60
Health Information Coding-122310,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$45,860","$58,155","$71,003",142
Health Information Technology-122300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$48,916","$59,081","$71,179",316
,Chancellor's Office Approved Certificates Recipient                        ,"$30,571","$59,940","$76,675",80
"Health Occupations, General-120100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,080","$51,841","$70,922",136
,Chancellor's Office Approved Certificates Recipient                        ,N/A,"$46,920","$64,996",15
,Locally Approved Certificates Recipient                                    ,"$33,893","$38,680","$50,438",49
"Health Professions, Transfer Core Curriculum-126000",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$25,786","$42,531","$64,776",306
,Chancellor's Office Approved Certificates Recipient                        ,"$23,519","$41,875","$74,757",30
Heavy Equipment Maintenance-094720,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$45,260","$77,156","$117,424",28
