,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025,Winter 2026,Winter 2026,Winter 2026
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Foothill Total,,,"1,120","3,158.07","27,577","1,032","2,784.82","25,315",472,"1,328.83","11,965","1,172","2,903.93","25,792","1,111","2,628.22","23,414",971,"2,299.98","21,213",457,"1,211.25","11,433","1,175","2,841.18","25,837","1,113","2,646.97","24,042",945,"2,265.78","21,145",468,"1,267.60","11,952","1,160","2,901.06","25,899",972,"2,485.61","22,770",456,"1,280.03","11,886","1,164","3,144.74","27,969","1,205","3,172.02","28,287",994,"2,672.47","24,449",442,"1,293.30","12,384","1,153","3,165.52","27,853",127,139.67,"1,259"
,,100700 - Dramatic Arts                           ,5,16.64,91,9,14.41,99,4,6.84,51,10,14.96,120,9,12.75,100,8,19.83,137,6,9.18,75,7,12.63,102,7,13.32,92,9,12.29,108,2,4.76,61,9,17.66,123,9,17.86,133,3,6.97,82,8,17.37,110,10,20.59,130,8,19.44,150,3,6.41,73,11,16.49,121,3,5.04,17
,,100800 - Dance                                   ,9,14.79,148,8,12.45,128,,,,1,4.78,43,1,4.67,42,1,4.12,37,,,,1,4.34,39,1,4.45,40,1,5.45,49,,,,1,4.67,42,1,4.89,44,,,,1,4.45,40,1,5.45,49,1,4.56,41,,,,1,4.78,43,,,
,,101100 - Photography                             ,10,41.33,310,10,46.07,351,3,17.47,131,10,36.26,272,8,31.46,236,7,32.55,245,4,22.63,162,12,44.95,317,9,33.32,232,11,36.40,256,2,14.01,90,7,20.65,135,6,20.24,130,2,14.47,93,8,29.85,199,8,25.00,168,7,26.92,176,4,24.26,160,8,30.29,202,,,
,,101200 - Applied Photography                     ,4,7.06,53,2,2.94,22,1,3.20,24,2,6.93,52,3,5.87,44,4,8.67,65,,,,1,3.87,29,1,4.40,33,6,7.59,57,3,12.93,97,7,29.06,218,8,28.66,215,5,18.09,135,5,24.67,185,7,27.21,204,7,23.07,173,2,8.80,66,8,25.61,192,,,
,,103000 - Graphic Art and Design                  ,16,72.71,594,15,51.59,437,5,20.92,166,18,61.50,522,21,46.53,437,16,51.45,432,7,24.54,184,21,57.01,496,20,65.69,576,12,43.97,341,14,39.48,308,27,71.25,582,12,33.72,281,15,48.15,386,11,33.03,292,25,72.12,591,11,27.07,226,4,15.88,114,19,49.48,454,,,
,,110500 - Spanish                                 ,15,34.28,310,13,26.44,241,4,7.55,70,13,26.05,235,18,35.64,323,10,19.90,179,2,5.45,49,13,23.14,209,18,30.20,334,7,15.68,141,3,9.45,85,16,30.45,320,8,16.26,153,2,5.56,50,8,19.36,184,13,30.29,283,9,16.24,146,2,5.79,52,8,19.61,188,,,
,,110800 - Japanese                                ,11,29.83,275,12,28.19,259,2,7.68,69,11,28.63,263,12,29.64,271,12,26.97,247,2,6.45,58,11,29.18,268,11,26.76,247,11,26.57,243,2,6.89,62,12,31.08,286,12,30.04,275,2,5.89,53,12,31.08,286,13,30.69,280,13,30.83,282,2,7.89,71,12,31.32,288,,,
,,"120100 - Health Occupations, General             ",5,1.84,91,7,12.44,231,3,9.09,119,7,16.47,243,5,1.84,97,4,5.67,105,5,11.60,168,7,17.32,254,6,2.09,120,3,6.70,119,5,11.72,168,6,2.03,117,2,4.77,72,7,14.23,234,7,19.02,263,6,2.30,136,3,8.60,109,7,16.34,232,7,19.92,273,,,
,,121000 - Respiratory Care/Therapy                ,13,21.64,242,15,29.62,272,6,8.43,94,14,26.72,237,12,27.32,232,15,30.30,250,4,7.06,69,12,27.41,227,10,16.89,219,14,28.91,236,5,7.50,71,12,23.60,214,13,28.48,226,5,7.56,72,14,26.68,221,16,35.63,304,13,33.17,273,6,15.67,144,14,34.32,296,,,
,,122100 - Pharmacy Technology                     ,4,5.60,63,6,8.34,77,2,2.06,9,6,9.60,133,4,9.31,74,5,12.86,105,,,,6,9.79,130,4,5.14,48,5,7.56,67,,,,6,9.98,84,4,9.41,102,,,,6,12.74,177,5,14.02,121,6,12.22,97,,,,5,8.01,120,,,
,,122500 - Radiologic Technology                   ,9,29.76,189,6,30.36,123,10,28.33,167,11,35.39,199,9,30.98,182,6,29.44,114,9,26.10,125,10,30.44,198,9,28.57,193,8,27.80,172,7,32.05,138,9,37.11,225,8,35.63,197,8,34.08,146,10,41.69,261,9,39.88,246,8,39.23,220,9,38.85,162,10,46.66,278,,,
,,122700 - Diagnostic Medical Sonography           ,,,,,,,,,,,,,,,,,,,,,,,,,3,2.35,39,5,12.19,60,5,9.24,55,4,9.37,44,5,10.32,55,,,,4,13.07,56,5,14.21,70,5,12.91,70,5,5.95,65,4,12.34,52,,,
