,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
San Mateo Total,,,778,"3,016.59","15,255",810,"2,997.81","16,373",207,"1,076.75","5,162",805,"3,068.39","17,597",859,"1,413.72","18,338",257,"1,323.05","6,566",912,"3,612.38","21,256",916,"3,423.82","19,912",289,"1,463.34","7,345",986,"3,813.88","22,641",970,"3,789.98","21,576",256,"1,357.08","6,998",911,"3,569.97","21,373"
,,101200 - Applied Photography                     ,2,3.31,16,4,5.73,28,,,,3,4.62,23,3,5.95,29,,,,3,6.94,34,4,9.07,46,,,,4,8.08,40,4,6.58,34,,,,3,2.41,14
,,110500 - Spanish                                 ,7,27.77,106,6,20.54,98,1,10.91,33,5,16.68,83,5,14.57,126,1,2.56,16,5,24.57,108,5,27.25,114,1,3.18,16,5,27.33,102,4,24.94,101,1,4.49,22,4,22.52,84
,,110700 - Chinese                                 ,5,13.17,71,7,14.56,90,2,7.68,42,7,17.97,103,8,1.01,123,4,7.13,44,8,16.18,98,9,16.81,112,4,7.32,47,10,17.15,115,9,15.60,106,4,6.76,43,9,17.55,111
,,123010 - Registered Nursing                      ,29,66.38,397,33,64.32,420,4,13.87,127,29,70.59,388,31,65.81,405,4,19.72,177,29,68.74,385,33,65.83,411,4,22.12,191,29,67.98,383,35,62.96,414,5,24.91,220,27,37.97,396
,,124000 - Dental Occupations                      ,1,0.82,18,,,,,,,1,1.20,24,,,,,,,1,0.80,16,,,,,,,1,2.30,23,,,,,,,1,1.10,24
,,124010 - Dental Assistant                        ,13,18.72,130,7,23.12,89,,,,14,22.85,169,7,23.62,113,,,,11,14.51,108,7,20.24,64,,,,14,23.79,195,7,27.09,110,,,,14,19.52,167
,,125000 - Emergency Medical Services              ,1,9.20,21,1,14.46,33,,,,2,12.98,52,2,20.19,70,,,,1,16.65,38,1,13.73,41,,,,1,10.88,34,1,10.77,38,,,,,,
,,127000 - Kinesiology                             ,3,17.27,79,2,3.42,25,,,,4,10.65,69,2,0.16,28,,,,4,10.04,63,2,3.71,25,,,,5,11.84,81,2,4.31,27,,,,4,14.59,79
,,"130600 - Nutrition, Foods, and Culinary Arts     ",3,17.01,90,3,15.05,86,2,12.99,71,2,14.85,79,4,1.40,108,2,15.36,84,5,28.13,155,5,28.87,160,2,15.73,86,5,28.06,155,5,29.46,169,2,15.18,83,4,28.84,154
,,150100 - English                                 ,67,284.17,"1,208",76,293.98,"1,425",13,62.05,278,75,311.28,"1,639",79,114.64,"1,610",19,92.51,404,73,301.91,"1,687",73,282.11,"1,499",23,116.36,516,90,360.02,"1,953",83,329.10,"1,776",18,95.62,432,76,302.96,"1,672"
,,150300 - Comparative Literature                  ,2,8.32,44,2,4.33,29,,,,1,5.74,30,2,2.10,21,,,,2,8.38,47,2,3.40,34,,,,2,2.70,27,4,6.12,61,,,,4,5.90,59
,,150600 - Speech Communication                    ,27,120.45,619,31,101.37,592,6,28.23,157,29,106.20,664,30,46.26,663,8,35.42,202,31,113.50,754,31,107.43,690,6,24.41,155,31,116.92,779,33,115.25,750,6,25.34,155,27,103.24,635
,,150700 - Creative Writing                        ,3,3.66,22,3,2.90,29,6,15.75,46,3,2.80,28,6,4.40,44,6,9.59,56,6,3.40,34,5,4.60,46,6,8.69,53,8,5.20,52,9,9.10,69,3,8.35,30,9,6.50,65
,,150900 - Philosophy                              ,7,24.87,152,6,23.70,167,2,11.34,62,7,23.33,179,7,7.65,180,3,16.82,92,7,28.60,229,6,20.56,172,3,17.55,96,7,27.47,212,7,26.62,205,3,19.20,105,7,27.93,214
,,"160100 - Library Science, General                ",1,1.22,20,2,2.69,44,1,1.30,21,2,1.65,27,2,0.00,51,1,1.48,24,2,2.20,36,1,2.00,30,1,1.11,18,2,1.66,25,2,2.77,44,1,1.79,29,1,1.46,24
,,"170100 - Mathematics, General                    ",52,209.30,"1,188",53,206.80,"1,221",24,178.42,675,52,238.82,"1,498",54,163.50,"1,303",24,149.56,647,52,257.58,"1,613",55,231.93,"1,486",25,158.14,703,55,270.40,"1,713",56,240.85,"1,512",25,155.57,712,53,251.06,"1,618"
,,"190100 - Physical Sciences, General              ",1,1.40,14,1,1.30,13,,,,1,1.60,16,2,2.90,32,,,,2,3.00,30,2,4.91,38,,,,2,2.56,26,2,3.19,33,,,,2,2.80,28
,,"190200 - Physics, General                        ",12,23.67,127,11,36.75,183,5,17.19,63,10,31.76,180,13,33.70,238,6,56.92,143,11,54.37,238,14,50.07,293,7,67.40,176,12,56.64,290,15,73.24,306,7,32.89,129,13,73.33,316
,,"190500 - Chemistry, General                      ",15,136.03,304,10,71.13,218,7,57.87,171,15,102.37,347,15,77.83,323,6,83.10,189,16,117.40,392,16,98.00,365,4,43.15,118,17,117.36,407,16,104.72,382,6,59.05,174,17,126.12,441
,,191100 - Astronomy                               ,10,30.64,233,10,27.05,226,4,10.89,89,11,36.77,317,12,29.85,363,4,26.83,142,13,46.51,400,13,37.60,323,4,36.44,191,13,38.48,330,12,33.46,289,4,29.34,156,12,37.80,322
,,191400 - Geology                                 ,3,5.60,56,2,2.70,27,,,,3,5.80,51,2,5.10,51,,,,3,5.60,56,2,5.43,47,,,,2,3.60,36,2,3.35,34,,,,2,4.20,42
,,191900 - Oceangraphy                             ,1,4.79,25,1,1.40,14,,,,1,2.10,21,1,1.65,33,,,,1,2.70,27,1,3.78,29,,,,2,3.20,32,1,1.90,19,,,,2,4.02,40
