,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025
,,Humanities and Fine Arts-490310,7,6,4,2,2
,,Kinesiology-127000,2,3,1,1,2
,,"Liberal Arts and Sciences, General-490100",80,53,31,32,20
,,Multimedia-061410,7,10,12,7,5
,,Philosophy-150900,,,,,1
,,Political Science-220700,3,1,,1,3
,,"Psychology, General-200100",23,12,7,9,9
,,Sociology-220800,16,7,4,7,7
,,Spanish-110500,2,4,7,1,
,,Speech Communication-150600,17,12,11,17,8
,Certificate requiring 60+ semester units                     Total,,7,7,11,10,11
,,Interior Design and Merchandising-130200,7,7,11,10,11
,Certificate requiring 30 to < 60 semester units              Total,,129,100,95,112,128
,,Business Administration-050500,2,5,1,4,4
,,Digital Media-061400,,,2,3,1
,,"Engineering, General (requires Calculus) (Transfer)-090100",,2,,1,1
,,Fashion Design-130310,1,2,6,3,4
,,Fashion Production-130330,,1,1,1,2
,,Interior Design and Merchandising-130200,13,13,18,9,19
,,Medical Assisting-120800,8,11,9,8,11
,,Multimedia-061410,7,3,6,10,8
,,Small Business and Entrepreneurship-050640,3,,2,1,2
,,Transfer Studies-490110,95,63,50,72,76
,Certificate requiring 16 to fewer than 30 semester units     Total,,84,94,72,84,98
,,Accounting-050200,5,6,8,10,11
,,Administrative Medical Assisting-120820,11,8,5,10,7
,,Business Management-050600,1,4,3,5,5
,,Child Development/Early Care and Education-130500,28,31,19,13,18
,,Community Health Care Worker-126100,1,,,,
,,Computer Graphics and Digital Imagery-061460,2,2,,7,5
,,Computer Science (Transfer)-070600,8,3,5,7,5
,,Educational Aide (Teacher Assistant)-080200,,,1,,
,,Fashion Merchandising-130320,1,,,2,2
,,General Studies-493000,,1,,3,
,,Health Information Coding-122310,3,10,5,5,12
,,Human Services-210400,2,,,,
,,Interior Design and Merchandising-130200,4,8,12,9,8
,,Marketing and Distribution-050900,2,2,3,2,6
,,Medical Assisting-120800,4,6,3,2,7
,,Office Technology/Office Computer Applications-051400,1,3,,,5
,,Paralegal-140200,10,10,8,9,7
,,Website Design and Development-061430,1,,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,22,25,39,41,45
,,Accounting-050200,3,2,2,3,7
,,Children with Special Needs-130520,9,5,11,8,7
,,English as a Second Language - Integrated-493087,3,6,5,2,2
