,,,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Evergreen Valley Total,,,833,"2,651.25","22,108",234,747.32,"5,890",779,"2,379.37","19,923",777,"2,259.48","18,830",197,655.87,"5,431",736,"2,354.35","19,680",822,"2,533.82","21,220",268,898.12,"7,543",786,"2,605.33","21,918",778,"2,377.79","20,091",221,816.48,"6,929",776,"2,588.45","21,695",810,"2,421.93","20,130",211,784.20,"6,483",729,"2,405.16","20,182"
,,101100 - Photography                             ,2,2.01,11,,,,2,6.58,36,2,7.50,41,1,3.60,18,2,7.99,42,3,11.39,60,1,3.20,16,2,7.86,41,2,8.26,43,1,2.80,14,2,5.14,27,2,6.46,34,1,3.00,15,2,6.86,36
,,103000 - Graphic Art and Design                  ,2,6.76,42,,,,1,4.48,28,2,6.02,38,,,,1,4.60,29,1,3.96,25,,,,1,3.67,22,,,,,,,2,8.60,47,2,7.13,39,,,,2,11.33,50
,,110200 - French                                  ,,,,,,,2,4.86,45,1,2.14,13,,,,2,2.98,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110500 - Spanish                                 ,22,61.36,464,3,14.50,87,22,63.83,475,21,49.68,378,2,10.66,64,17,46.46,341,16,46.12,341,4,18.33,110,19,62.52,448,19,53.62,397,3,13.47,88,11,44.36,298,9,39.52,248,2,12.16,73,8,34.22,219
,,111720 - Vietnamese                              ,7,39.62,259,2,7.16,43,7,37.12,238,7,23.40,153,1,3.83,23,6,28.80,191,7,32.63,218,1,5.33,32,6,30.51,203,6,28.58,193,1,4.50,27,5,23.42,158,6,27.39,201,1,6.00,36,6,26.31,171
,,123000 - Nursing                                 ,2,6.13,67,2,5.90,59,2,6.03,66,2,7.32,80,2,6.50,65,2,5.67,62,2,7.32,80,2,7.80,78,2,6.31,69,2,7.68,84,2,7.70,77,2,7.22,79,2,7.23,79,2,8.30,83,2,7.78,85
,,123010 - Registered Nursing                      ,18,65.65,183,10,19.95,89,13,41.35,134,19,66.10,239,2,7.60,76,20,77.62,227,25,89.03,298,3,8.40,84,27,78.62,312,26,58.38,277,2,8.90,89,25,59.56,292,25,72.51,287,2,8.70,87,25,43.24,311
,,127000 - Kinesiology                             ,27,39.83,419,7,10.92,109,19,25.95,269,21,31.85,327,5,7.70,79,20,27.45,280,25,35.37,363,8,11.69,120,21,28.19,290,16,29.13,286,4,9.96,102,14,24.68,252,19,37.41,295,4,6.62,66,11,21.14,219
,,"130100 - Family and Consumer Sciences, General   ",6,20.81,225,2,7.40,74,4,11.08,123,5,16.90,181,1,4.10,41,3,11.79,129,5,19.47,205,2,6.50,65,3,11.70,128,6,19.67,208,2,9.40,94,5,18.25,197,4,14.18,154,2,8.30,83,4,14.96,163
,,"130600 - Nutrition, Foods, and Culinary Arts     ",3,11.98,131,,,,4,15.64,169,4,17.63,184,,,,4,15.52,166,4,16.54,181,2,7.60,76,4,16.28,178,3,12.43,136,2,8.00,80,3,12.25,134,3,12.34,135,2,8.10,81,3,12.53,137
