Region,SOC,Description,Typical Entry Level Education,2024 Jobs,2024 - 2029 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
GS,31-9097,Phlebotomists,Postsecondary nondegree award,910,0.140483766,150,25,52580
SD/I,31-9097,Phlebotomists,Postsecondary nondegree award,1630,0.048925604,230,26,53290
Bay,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,3490,0.046481073,500,30,61990
SCC,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,610,0.016566302,80,26,54080
OC,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,1400,0.056904149,200,27,55880
LA,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,3770,0.050423047,540,27,55240
FN,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,440,0.038905444,60,22,46450
GS,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,970,0.083681785,150,23,48600
CVML,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,1750,0.054018195,250,23,47670
CA,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,16910,0.057874522,2480,27,55210
IE/D,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,2010,0.071992901,300,26,53340
SD/I,31-9099,"Healthcare Support Workers, All Other",High school diploma or equivalent,1610,0.06018056,240,27,55700
OC,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,50,0.121392177,10,55,114860
IE/D,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,640,0.04540481,60,62,128460
SD/I,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,540,0.037194442,50,65,135300
GS,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,640,0.133402393,70,63,131800
CA,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,4690,0.056722937,450,61,127380
FN,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,250,-0.020649764,20,60,124930
LA,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,180,0.12100269,20,60,125750
SCC,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,180,0.00676082,20,59,123730
Bay,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,850,0.06032331,80,61,127510
CVML,33-1011,First-Line Supervisors of Correctional Officers,High school diploma or equivalent,1320,0.039496136,120,66,136910
CA,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,14650,0.06907015,1180,78,162740
Bay,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,2900,0.057592388,220,83,171900
LA,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,3750,0.051124068,280,83,172800
FN,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,470,0.067647271,40,61,126900
SD/I,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,1520,0.049327843,120,71,147680
IE/D,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,1420,0.128432178,130,76,157100
OC,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,940,0.059527164,70,75,155290
GS,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,1100,0.111177228,100,75,156130
SCC,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,110,0.105782936,10,73,151240
CVML,33-1012,First-Line Supervisors of Police and Detectives,High school diploma or equivalent,1550,0.091267203,130,63,130630
CA,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,7770,0.081320834,620,64,133580
IE/D,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,590,0.190742782,60,59,122620
Bay,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,1620,0.0641934,120,71,148090
SD/I,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,610,0.088658176,50,45,92990
OC,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,420,0.075579842,30,76,157290
GS,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,730,0.086908643,60,76,158050
SCC,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,270,0.054050365,20,54,111330
FN,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,240,0.084277758,20,44,90570
LA,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,1670,0.064988322,130,84,174580
CVML,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,1200,0.08412401,100,52,108320
IE/D,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,950,0.10379359,120,28,57660
Bay,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,2060,0.087426051,250,33,68850
CA,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,9050,0.081708433,1080,29,59940
SD/I,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,700,0.031250207,70,30,61410
OC,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,780,0.120617926,100,28,57230
GS,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,520,0.102393378,60,28,58720
SCC,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,60,0.003881623,10,31,63970
FN,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,100,0.037999914,10,25,52900
CVML,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,550,0.051395745,60,31,64720
LA,33-1091,First-Line Supervisors of Security Workers,High school diploma or equivalent,2860,0.070891911,330,28,58930
CA,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,2210,0.072770576,260,42,88120
SCC,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,20,0.081135437,0,52,107430
SD/I,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,250,0.045764629,30,39,81150
GS,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,160,0.092673208,20,43,89940
OC,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,180,0.084263846,20,42,86420
CVML,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,260,0.05615982,30,37,76590
FN,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,60,-0.003863612,10,34,70950
IE/D,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,230,0.087849489,30,35,73160
Bay,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,430,0.071285878,50,46,96400
LA,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",High school diploma or equivalent,500,0.071563789,60,44,91170
SCC,33-2011,Firefighters,Postsecondary nondegree award,680,0.066212246,60,36,74200
Bay,33-2011,Firefighters,Postsecondary nondegree award,6810,0.057271564,590,54,112800
IE/D,33-2011,Firefighters,Postsecondary nondegree award,2890,0.149491264,310,36,74900
CVML,33-2011,Firefighters,Postsecondary nondegree award,3540,0.091324694,340,35,72400
FN,33-2011,Firefighters,Postsecondary nondegree award,1250,0.064691386,110,32,67320
GS,33-2011,Firefighters,Postsecondary nondegree award,2540,0.088549047,240,49,102850
OC,33-2011,Firefighters,Postsecondary nondegree award,1420,0.076323499,130,44,91220
SD/I,33-2011,Firefighters,Postsecondary nondegree award,3080,0.066829974,270,33,69620
CA,33-2011,Firefighters,Postsecondary nondegree award,29070,0.077626319,2660,40,83410
LA,33-2011,Firefighters,Postsecondary nondegree award,5480,0.066955282,490,49,101070
LA,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,180,0.077234041,20,44,92270
SCC,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,90,0.04615826,10,41,85860
IE/D,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,170,0.120540315,20,40,82860
CA,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,1350,0.07713304,130,45,93380
GS,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,80,0.106552018,10,47,98420
CVML,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,260,0.056742759,20,37,76340
FN,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,40,0.055076608,0,42,88170
OC,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,50,0.099893304,10,41,84880
SD/I,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,80,0.106440118,10,42,87940
Bay,33-2021,Fire Inspectors and Investigators,Postsecondary nondegree award,350,0.056165952,30,58,121450
GS,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,30,0.184283528,0,47,98220
LA,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,40,0.094330428,0,47,97940
Bay,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,40,0.094728086,0,46,95070
CVML,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,20,0.149930511,0,37,76440
FN,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,0,0.118862441,0,37,76440
OC,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,10,0.04933569,0,44,90620
IE/D,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,30,0.121988813,0,37,76440
SCC,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,0,0.495202614,0,39,81180
SD/I,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,140,0.071613418,10,42,87710
CA,33-2022,Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,340,0.097290223,30,41,84930
LA,33-3011,Bailiffs,High school diploma or equivalent,0,9.145818542,0,48,99750
SD/I,33-3011,Bailiffs,High school diploma or equivalent,150,0.041260478,20,40,83080
FN,33-3011,Bailiffs,High school diploma or equivalent,40,0.012808385,0,39,80810
OC,33-3011,Bailiffs,High school diploma or equivalent,0,7.452465455,0,43,89990
GS,33-3011,Bailiffs,High school diploma or equivalent,380,0.05790323,50,47,98730
CVML,33-3011,Bailiffs,High school diploma or equivalent,130,0.080183298,20,38,78410
Bay,33-3011,Bailiffs,High school diploma or equivalent,270,0.036141225,30,47,98550
IE/D,33-3011,Bailiffs,High school diploma or equivalent,20,0.437421055,10,19,40230
SCC,33-3011,Bailiffs,High school diploma or equivalent,10,-0.097620008,0,39,80800
CA,33-3011,Bailiffs,High school diploma or equivalent,1000,0.070426007,140,43,89780
GS,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,2550,0.159708622,320,41,85760
SD/I,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,3920,0.016460911,360,46,95150
FN,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,2350,-0.025990998,210,43,89730
OC,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,1190,0.021401136,110,36,74270
Bay,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,6100,0.03714757,600,49,102500
CA,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,38940,0.023768909,3710,46,95850
CVML,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,10940,0.003750106,1000,48,100090
LA,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,4570,0.024724466,430,39,80980
SCC,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,970,-0.016376629,80,45,94030
IE/D,33-3012,Correctional Officers and Jailers,High school diploma or equivalent,5180,0.023381443,490,45,93020
CVML,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,1020,0.071204855,90,50,103430
IE/D,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,1540,0.075193778,140,61,125880
SCC,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,-110,-0.043397032,-10,60,123890
OC,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,590,0.04473021,50,57,118160
SD/I,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,3800,0.029409173,300,57,119380
GS,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,1710,0.072263561,150,53,110070
Bay,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,1260,0.057005708,110,62,129200
LA,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,2400,0.042242749,200,63,130120
CA,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,13040,0.053801665,1100,59,122140
FN,33-3021,Detectives and Criminal Investigators,High school diploma or equivalent,150,0.102659847,10,46,96580
Bay,33-3031,Fish and Game Wardens,Bachelor's degree,0,11.72906811,0,45,93960
CVML,33-3031,Fish and Game Wardens,Bachelor's degree,170,0.015168403,20,44,90930
SCC,33-3031,Fish and Game Wardens,Bachelor's degree,10,-0.017418541,0,41,84250
CA,33-3031,Fish and Game Wardens,Bachelor's degree,380,0.049013139,40,45,93610
SD/I,33-3031,Fish and Game Wardens,Bachelor's degree,30,0.017772779,0,41,84250
IE/D,33-3031,Fish and Game Wardens,Bachelor's degree,40,0.002686105,0,41,84250
FN,33-3031,Fish and Game Wardens,Bachelor's degree,50,-0.001524006,10,41,85580
GS,33-3031,Fish and Game Wardens,Bachelor's degree,40,0.277863684,10,46,94920
OC,33-3031,Fish and Game Wardens,Bachelor's degree,10,0.018922513,0,40,82660
LA,33-3031,Fish and Game Wardens,Bachelor's degree,30,0.054250249,0,43,89150
GS,33-3041,Parking Enforcement Workers,High school diploma or equivalent,90,0.039612529,10,25,52360
CVML,33-3041,Parking Enforcement Workers,High school diploma or equivalent,140,0.048783372,10,28,58980
SCC,33-3041,Parking Enforcement Workers,High school diploma or equivalent,-40,0.002867921,0,29,61150
SD/I,33-3041,Parking Enforcement Workers,High school diploma or equivalent,110,0.043776442,10,28,58920
Bay,33-3041,Parking Enforcement Workers,High school diploma or equivalent,550,0.006183685,50,37,77510
CA,33-3041,Parking Enforcement Workers,High school diploma or equivalent,1490,0.02684798,150,32,65630
FN,33-3041,Parking Enforcement Workers,High school diploma or equivalent,30,0.032191477,0,25,52420
IE/D,33-3041,Parking Enforcement Workers,High school diploma or equivalent,80,0.121611582,10,24,49580
OC,33-3041,Parking Enforcement Workers,High school diploma or equivalent,100,0.036107358,10,28,57670
LA,33-3041,Parking Enforcement Workers,High school diploma or equivalent,360,0.022345122,40,31,64810
FN,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,1830,0.074177353,170,45,93800
SCC,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,600,0.108995398,60,57,119450
GS,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,6490,0.087115883,610,53,109740
LA,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,19000,0.048424052,1620,57,117740
OC,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,4740,0.05712987,420,51,105860
IE/D,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,6570,0.130126364,690,51,105570
Bay,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,14430,0.054455689,1260,63,131420
CA,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,71950,0.065998413,6460,55,115330
SD/I,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,7190,0.054522554,630,52,108160
CVML,33-3051,Police and Sheriff's Patrol Officers,High school diploma or equivalent,6680,0.093317583,640,46,94740
LA,33-3052,Transit and Railroad Police,High school diploma or equivalent,10,0.164906842,0,50,103250
GS,33-3052,Transit and Railroad Police,High school diploma or equivalent,40,0.069526819,0,55,114290
SCC,33-3052,Transit and Railroad Police,High school diploma or equivalent,0,-0.610135058,0,52,109000
OC,33-3052,Transit and Railroad Police,High school diploma or equivalent,0,0.241915045,0,47,98140
IE/D,33-3052,Transit and Railroad Police,High school diploma or equivalent,50,0.071524605,0,48,98860
Bay,33-3052,Transit and Railroad Police,High school diploma or equivalent,40,0.036648039,0,57,118300
CA,33-3052,Transit and Railroad Police,High school diploma or equivalent,290,0.052739313,30,53,109800
FN,33-3052,Transit and Railroad Police,High school diploma or equivalent,0,-0.107612591,0,50,104300
CVML,33-3052,Transit and Railroad Police,High school diploma or equivalent,110,0.033708286,10,67,139990
SD/I,33-3052,Transit and Railroad Police,High school diploma or equivalent,30,0.049721307,0,49,102380
CA,33-9011,Animal Control Workers,High school diploma or equivalent,1270,0.068368632,150,30,62750
FN,33-9011,Animal Control Workers,High school diploma or equivalent,0,0.18072865,0,27,56490
IE/D,33-9011,Animal Control Workers,High school diploma or equivalent,190,0.107519305,20,29,59740
CVML,33-9011,Animal Control Workers,High school diploma or equivalent,250,0.058049738,30,28,57210
OC,33-9011,Animal Control Workers,High school diploma or equivalent,80,0.06881804,10,28,57790
SCC,33-9011,Animal Control Workers,High school diploma or equivalent,-40,0.029770848,0,0,0
LA,33-9011,Animal Control Workers,High school diploma or equivalent,320,0.052690834,40,31,64850
GS,33-9011,Animal Control Workers,High school diploma or equivalent,70,0.08890312,10,31,65290
SD/I,33-9011,Animal Control Workers,High school diploma or equivalent,60,0.096943117,10,28,57350
Bay,33-9011,Animal Control Workers,High school diploma or equivalent,260,0.055878637,30,35,73280
CA,33-9021,Private Detectives and Investigators,High school diploma or equivalent,6220,0.031592722,590,29,60540
SCC,33-9021,Private Detectives and Investigators,High school diploma or equivalent,120,-0.040077549,10,29,60790
Bay,33-9021,Private Detectives and Investigators,High school diploma or equivalent,1280,0.034052272,120,32,66810
IE/D,33-9021,Private Detectives and Investigators,High school diploma or equivalent,650,0.047769006,60,28,58790
CVML,33-9021,Private Detectives and Investigators,High school diploma or equivalent,630,0.02945805,60,28,59210
SD/I,33-9021,Private Detectives and Investigators,High school diploma or equivalent,490,0.001901442,40,29,61300
GS,33-9021,Private Detectives and Investigators,High school diploma or equivalent,490,0.028108376,50,25,52410
FN,33-9021,Private Detectives and Investigators,High school diploma or equivalent,110,-0.00209983,10,39,80610
OC,33-9021,Private Detectives and Investigators,High school diploma or equivalent,500,0.021520889,50,29,60240
LA,33-9021,Private Detectives and Investigators,High school diploma or equivalent,1590,0.022006551,150,29,60460
LA,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,330,-0.091007452,40,22,44750
Bay,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,310,0.037791634,40,21,43350
CA,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,1150,0.028278333,160,22,45190
IE/D,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,140,0.10746179,20,22,45270
SCC,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,0,-7.508804786,0,21,43170
GS,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,80,0.276110662,20,23,47000
CVML,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,170,0.047290292,20,33,69320
OC,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,60,0.099026972,10,22,45010
FN,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,10,0.227178799,0,19,40550
SD/I,33-9031,Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,30,-0.0133418,0,22,45950
OC,33-9032,Security Guards,High school diploma or equivalent,15780,0.10564074,2450,21,42750
SCC,33-9032,Security Guards,High school diploma or equivalent,590,0.066704327,100,20,40980
Bay,33-9032,Security Guards,High school diploma or equivalent,41780,0.072802912,6130,22,46420
IE/D,33-9032,Security Guards,High school diploma or equivalent,21520,0.074527736,3160,19,38900
FN,33-9032,Security Guards,High school diploma or equivalent,1780,0.033787153,250,19,39480
SD/I,33-9032,Security Guards,High school diploma or equivalent,14730,0.013147769,1930,20,41160
CA,33-9032,Security Guards,High school diploma or equivalent,190940,0.064472914,27580,21,43900
GS,33-9032,Security Guards,High school diploma or equivalent,12060,0.072213023,1760,20,41040
CVML,33-9032,Security Guards,High school diploma or equivalent,11550,0.043743274,1610,18,37870
LA,33-9032,Security Guards,High school diploma or equivalent,60650,0.055276168,8600,21,42950
OC,33-9091,Crossing Guards and Flaggers,No formal educational credential,520,0.049033424,110,22,46460
LA,33-9091,Crossing Guards and Flaggers,No formal educational credential,1390,0.060905516,300,24,49830
CA,33-9091,Crossing Guards and Flaggers,No formal educational credential,7750,0.06576521,1700,24,49320
SCC,33-9091,Crossing Guards and Flaggers,No formal educational credential,210,0.053341568,50,23,47730
CVML,33-9091,Crossing Guards and Flaggers,No formal educational credential,960,0.101429909,220,19,39200
IE/D,33-9091,Crossing Guards and Flaggers,No formal educational credential,870,0.11362727,200,20,41240
SD/I,33-9091,Crossing Guards and Flaggers,No formal educational credential,800,0.067713838,180,23,47540
FN,33-9091,Crossing Guards and Flaggers,No formal educational credential,190,0.082957697,40,30,62150
Bay,33-9091,Crossing Guards and Flaggers,No formal educational credential,1880,0.033939672,400,28,58500
GS,33-9091,Crossing Guards and Flaggers,No formal educational credential,520,0.060887007,110,29,60860
FN,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,300,0.075260168,90,19,39500
OC,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,4280,0.126210965,1420,20,40680
CA,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,23030,0.091728279,7380,20,42490
IE/D,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,1340,0.118917029,440,19,39360
CVML,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,1240,0.114887906,410,19,38570
LA,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,5970,0.070219015,1870,22,45250
SD/I,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,2860,0.077619677,900,21,43000
SCC,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,470,0.076023868,150,18,38100
GS,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,960,0.105436694,310,18,37310
Bay,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,4440,0.084867905,1410,20,41290
FN,33-9093,Transportation Security Screeners,High school diploma or equivalent,40,0.018024666,0,34,71300
SD/I,33-9093,Transportation Security Screeners,High school diploma or equivalent,750,0.021326274,80,33,68580
GS,33-9093,Transportation Security Screeners,High school diploma or equivalent,380,-0.002787713,40,32,66000
LA,33-9093,Transportation Security Screeners,High school diploma or equivalent,1990,0.013743969,200,34,70270
Bay,33-9093,Transportation Security Screeners,High school diploma or equivalent,730,-0.014132282,70,36,74010
CA,33-9093,Transportation Security Screeners,High school diploma or equivalent,5510,0.020975904,580,34,69720
CVML,33-9093,Transportation Security Screeners,High school diploma or equivalent,220,0.00672855,20,29,61330
IE/D,33-9093,Transportation Security Screeners,High school diploma or equivalent,450,0.037746068,50,33,68290
OC,33-9093,Transportation Security Screeners,High school diploma or equivalent,390,-0.011271159,40,32,66610
SCC,33-9093,Transportation Security Screeners,High school diploma or equivalent,-140,-0.030050312,-10,29,59720
SCC,33-9094,School Bus Monitors,High school diploma or equivalent,160,0.023545836,30,19,38600
IE/D,33-9094,School Bus Monitors,High school diploma or equivalent,310,0.077351779,60,18,36680
GS,33-9094,School Bus Monitors,High school diploma or equivalent,100,0.155201405,20,20,40580
FN,33-9094,School Bus Monitors,High school diploma or equivalent,60,0.072118176,10,18,36890
CA,33-9094,School Bus Monitors,High school diploma or equivalent,2540,0.091797829,500,19,39190
LA,33-9094,School Bus Monitors,High school diploma or equivalent,280,0.068031515,50,18,38170
SD/I,33-9094,School Bus Monitors,High school diploma or equivalent,300,0.061840094,60,19,39630
Bay,33-9094,School Bus Monitors,High school diploma or equivalent,640,0.118524313,130,20,42220
OC,33-9094,School Bus Monitors,High school diploma or equivalent,90,0.09952267,20,18,37430
CVML,33-9094,School Bus Monitors,High school diploma or equivalent,510,0.068209959,100,19,39680
GS,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,980,0.072443911,310,21,42830
IE/D,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,2890,0.060502979,900,19,39640
CVML,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,3410,0.050997525,1050,18,38400
CA,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,23280,0.044946292,7080,19,39680
LA,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,4990,0.039426753,1510,19,38520
SD/I,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,2290,0.036942439,690,18,38110
Bay,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,4360,0.041282571,1320,21,44540
OC,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,1590,0.051331456,490,18,37300
FN,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,580,0.0330623,180,18,38030
SCC,33-9099,"Protective Service Workers, All Other",High school diploma or equivalent,1090,0.009217779,320,20,41550
FN,35-1011,Chefs and Head Cooks,High school diploma or equivalent,440,0.048604716,60,28,58210
IE/D,35-1011,Chefs and Head Cooks,High school diploma or equivalent,2770,0.102632307,400,28,59080
OC,35-1011,Chefs and Head Cooks,High school diploma or equivalent,3150,0.071888323,430,30,62490
Bay,35-1011,Chefs and Head Cooks,High school diploma or equivalent,8000,0.06240367,1080,33,68910
SD/I,35-1011,Chefs and Head Cooks,High school diploma or equivalent,3100,0.086010945,430,31,64920
LA,35-1011,Chefs and Head Cooks,High school diploma or equivalent,8460,0.07374259,1160,31,64720
CVML,35-1011,Chefs and Head Cooks,High school diploma or equivalent,1990,0.114377171,290,28,59080
CA,35-1011,Chefs and Head Cooks,High school diploma or equivalent,31370,0.077619581,4330,31,64330
SCC,35-1011,Chefs and Head Cooks,High school diploma or equivalent,810,0.084673061,110,32,65710
GS,35-1011,Chefs and Head Cooks,High school diploma or equivalent,1640,0.084399814,230,29,60550
SCC,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,4120,0.067730209,660,22,45800
CA,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,126560,0.084616827,21020,22,46060
FN,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,2330,0.01326566,340,22,45320
Bay,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,25280,0.071903588,4120,24,50810
IE/D,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,16280,0.098585568,2760,21,43820
SD/I,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,14360,0.085168695,2380,22,45000
GS,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,7690,0.08417278,1280,22,46400
LA,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,28740,0.087065173,4790,22,46640
OC,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,11680,0.094091799,1970,21,44200
CVML,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,12290,0.094576008,2070,22,45020
CVML,35-2011,"Cooks, Fast Food",No formal educational credential,14800,-0.014348321,2240,17,35610
CA,35-2011,"Cooks, Fast Food",No formal educational credential,139540,-0.023928511,20900,17,36370
GS,35-2011,"Cooks, Fast Food",No formal educational credential,8790,-0.025507817,1320,18,36500
SD/I,35-2011,"Cooks, Fast Food",No formal educational credential,13290,-0.020668275,1990,17,35730
LA,35-2011,"Cooks, Fast Food",No formal educational credential,38450,-0.028153824,5730,18,36900
