Region,SOC,Description,Typical Entry Level Education,2024 Jobs,2024 - 2029 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
OC,11-3031,Financial Managers,Bachelor's degree,11080,0.023024831,810,81,167920
Bay,11-3031,Financial Managers,Bachelor's degree,31380,0.065802106,2620,101,209360
CVML,11-3031,Financial Managers,Bachelor's degree,4840,0.079956317,420,67,139090
CA,11-3031,Financial Managers,Bachelor's degree,103940,0.068843269,8740,83,173160
FN,11-3031,Financial Managers,Bachelor's degree,1100,0.080604167,100,60,125400
SCC,11-3031,Financial Managers,Bachelor's degree,1910,0.059479801,160,76,157570
GS,11-3031,Financial Managers,Bachelor's degree,5700,0.069117273,480,72,149030
LA,11-3031,Financial Managers,Bachelor's degree,25430,0.037479808,1950,82,170990
IE/D,11-3031,Financial Managers,Bachelor's degree,4920,0.078684967,420,68,141500
SD/I,11-3031,Financial Managers,Bachelor's degree,8900,0.051917797,710,80,165960
SD/I,11-3051,Industrial Production Managers,Bachelor's degree,2400,0.018337366,180,63,130350
OC,11-3051,Industrial Production Managers,Bachelor's degree,2870,0.000899993,200,60,124910
CVML,11-3051,Industrial Production Managers,Bachelor's degree,2270,0.066177197,190,55,115380
CA,11-3051,Industrial Production Managers,Bachelor's degree,26170,0.017810528,2000,61,127630
FN,11-3051,Industrial Production Managers,Bachelor's degree,450,0.053180372,40,54,112820
SCC,11-3051,Industrial Production Managers,Bachelor's degree,790,0.067807242,60,62,128080
GS,11-3051,Industrial Production Managers,Bachelor's degree,1040,0.082755487,90,60,125050
LA,11-3051,Industrial Production Managers,Bachelor's degree,5890,-0.039579038,410,58,120580
IE/D,11-3051,Industrial Production Managers,Bachelor's degree,2280,0.023359156,170,52,108180
Bay,11-3051,Industrial Production Managers,Bachelor's degree,6690,0.026640152,520,76,157540
OC,11-3061,Purchasing Managers,Bachelor's degree,870,0.017715032,70,68,141370
CVML,11-3061,Purchasing Managers,Bachelor's degree,460,0.069307095,40,61,127540
CA,11-3061,Purchasing Managers,Bachelor's degree,7960,0.044840762,670,72,149930
SD/I,11-3061,Purchasing Managers,Bachelor's degree,900,0.024514594,70,74,154770
SCC,11-3061,Purchasing Managers,Bachelor's degree,110,0.133831916,10,65,135460
GS,11-3061,Purchasing Managers,Bachelor's degree,340,0.085457191,30,68,141180
IE/D,11-3061,Purchasing Managers,Bachelor's degree,590,0.054727252,50,63,130360
FN,11-3061,Purchasing Managers,Bachelor's degree,50,0.084951945,0,63,132030
LA,11-3061,Purchasing Managers,Bachelor's degree,1980,-0.001346722,150,67,139570
Bay,11-3061,Purchasing Managers,Bachelor's degree,2100,0.058594492,180,83,173020
CVML,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,3110,0.098153835,320,46,95420
OC,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,2880,0.023156906,250,51,105440
CA,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,33540,0.046086819,3060,50,104020
FN,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,370,0.036394533,30,45,94020
IE/D,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,4630,0.112322274,500,46,95660
GS,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,1690,0.079159077,170,50,103430
SCC,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,470,0.082486016,50,50,103420
SD/I,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,2890,0.027928849,250,51,107070
Bay,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,6830,0.028608099,600,62,129980
LA,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,8860,0.003826798,720,49,102930
FN,11-3111,Compensation and Benefits Managers,Bachelor's degree,20,0.023351476,0,70,145550
SD/I,11-3111,Compensation and Benefits Managers,Bachelor's degree,180,0.018487039,10,73,151130
LA,11-3111,Compensation and Benefits Managers,Bachelor's degree,610,-0.005827461,40,72,149620
Bay,11-3111,Compensation and Benefits Managers,Bachelor's degree,920,0.019356885,70,91,189470
SCC,11-3111,Compensation and Benefits Managers,Bachelor's degree,20,0.004051748,0,79,164540
CVML,11-3111,Compensation and Benefits Managers,Bachelor's degree,90,0.017942451,10,71,147380
