,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,193000 - Earth Science                           ,72,,44,,44,,51,,49,,52,,51,,55,,,
,,"200100 - Psychology, General                     ","1,541",209,"1,544",361,"1,610",158,"1,356",428,"1,689",204,"1,584",437,"1,849",223,"1,719",,,
,,210440 - Alcohol and Controlled Substances       ,220,,214,,188,,188,,236,,209,,245,,292,,,
,,210450 - Disability Services                     ,,,,,,,,,,,,,8,,15,,,
,,210500 - Administration of Justice               ,591,51,655,60,672,87,700,69,662,88,748,87,787,71,971,,,
,,210510 - Corrections                             ,9,,13,,8,,11,,7,,4,,29,,27,,,
,,210550 - Police Academy                          ,16,,22,,15,,19,,,,13,,11,,15,,,
,,213300 - Fire Technology                         ,378,,230,,327,,195,30,248,,246,42,295,,295,,,
,,213310 - Wildland Fire Technology                ,14,,,,11,,,,15,,,,17,,,,,
,,213350 - Fire Academy                            ,23,,,,19,,17,,,,22,,24,,21,,,
,,"220100 - Social Sciences, General                ",,,,,,,,,,,,,,,4,,,
,,220130 - Social Justice Studies                  ,,,,,,,38,,,,28,,,,28,,,
,,220200 - Anthropology                            ,281,24,310,,346,38,292,,308,,254,,333,,253,,,
,,220300 - Ethnic Studies                          ,,,,,105,,390,90,537,223,891,275,969,443,"1,072",,,
,,220400 - Economics                               ,419,,328,82,481,,354,88,414,,379,90,416,,414,,,
,,220500 - History                                 ,"1,219",182,900,302,"1,401",303,994,397,"1,221",263,"1,066",360,"1,281",252,"1,181",,,
,,220600 - Geography                               ,124,,134,,64,,200,,237,,213,,241,,289,,,
,,220700 - Political Science                       ,559,122,465,79,747,121,520,166,555,180,656,280,"1,047",258,661,,,
,,220800 - Sociology                               ,"1,741",303,"1,559",414,"1,668",345,"1,457",475,"1,436",306,"1,340",497,"1,787",453,"1,524",,,
,,221020 - Global Studies                          ,34,,20,,49,,20,,46,,14,,55,,45,,,
,,493010 - Career Guidance and Orientation         ,197,,156,28,136,,108,31,209,,182,30,213,,139,,,
,,493013 - Academic Guidance                       ,107,,72,,27,,153,,35,,212,,94,,218,,,
,,493200 - General Work Experience                 ,27,,22,9,22,,22,14,39,,29,10,43,,40,,,
,Credit - Not Degree Applicable                     Total,,623,32,324,16,411,43,151,,160,,150,,198,,162,,,
,,"050100 - Business and Commerce, General          ",,,,,,,,,,,6,,,,,,,
,,125000 - Emergency Medical Services              ,5,,,,4,,,,,,,,,,,,,
,,129900 - Other Health Occupations                ,64,,36,,30,,37,,37,,38,,38,,29,,,
,,150100 - English                                 ,230,,74,,160,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",234,32,173,16,100,43,55,,,,,,3,,24,,,
,,170200 - Mathematics Skills                      ,8,,5,,2,,8,,16,,20,,33,,26,,,
,,493014 - Study Skills                            ,,,,,,,,,,,,,10,,,,,
,,"493030 - Learning Skills, Handicapped            ",21,,,,23,,13,,42,,23,,38,,32,,,
,,493084 - English as a Second Language - Writing  ,20,,9,,35,,12,,24,,21,,29,,20,,,
,,493086 - English as a Second Language - Listening,14,,8,,14,,7,,14,,16,,14,,8,,,
,,493087 - English as a Second Language - Integrate,27,,19,,43,,19,,27,,26,,33,,23,,,
