,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,193000 - Earth Science                           ,37,,37,33,37,,33,32,31,,70,33,63,,75,,34,
,,"200100 - Psychology, General                     ","2,033",,"1,646",392,"1,738",,"1,692",267,"1,834",,"1,810",269,"1,749",,"1,806",212,"1,719",
,,210400 - Human Services                          ,,,,,,,,,,,9,,,,,,,
,,210500 - Administration of Justice               ,909,,952,276,992,,978,314,"1,072",,"1,038",337,"1,166",,"1,278",321,"1,365",
,,"220100 - Social Sciences, General                ",199,,215,,228,,130,,134,,89,30,137,,120,,121,
,,220110 - Women's Studies                         ,35,,23,,40,,27,,38,,,,,,,,,
,,220130 - Social Justice Studies                  ,37,,22,13,32,,16,,36,,52,,26,,18,,,
,,220200 - Anthropology                            ,"1,240",,"1,214",374,"1,259",,"1,507",391,"1,310",,"1,447",496,"1,286",,"1,661",572,"1,329",
,,220300 - Ethnic Studies                          ,803,,922,301,"1,000",,"1,028",495,"1,125",,"1,269",493,"1,290",,"1,734","1,165","2,359",
,,220400 - Economics                               ,649,,538,170,592,,570,184,570,,654,163,551,,672,162,566,
,,220500 - History                                 ,"1,756",,"1,401",412,"1,652",,"1,445",467,"1,608",,"1,524",489,"1,608",,"1,426",481,"1,565",
,,220600 - Geography                               ,749,,700,201,679,,698,198,778,,926,225,825,,812,230,793,
,,220610 - Geographic Information Systems          ,8,,,,,,13,,9,,,,19,,35,,23,
,,220700 - Political Science                       ,"1,274",,"1,272",517,"1,297",,"1,147",520,"1,156",,"1,366",523,"1,150",,"1,351",553,"1,238",
,,220800 - Sociology                               ,"1,859",,"1,401",457,"1,839",,"1,629",340,"1,528",,"1,567",459,"1,670",,"1,684",396,"1,132",
,,300700 - Cosmetology and Barbering               ,275,,258,107,242,,247,98,259,,296,123,306,,308,117,320,
,,302020 - Piloting                                ,,,12,,,,21,,25,,17,,15,,14,,22,
,,493010 - Career Guidance and Orientation         ,978,,527,276,"1,023",,743,271,"1,297",,705,272,"1,321",,894,320,"1,378",
,,493011 - Interpersonal Skills                    ,175,,259,28,147,,238,41,161,,354,25,166,,413,25,162,
,,493013 - Academic Guidance                       ,409,,389,,403,,427,,205,,375,,197,,264,,101,
,,493084 - English as a Second Language - Writing  ,56,,33,,68,,73,,70,,61,,82,,75,,74,
,,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,,,21,,,
,,499900 - Other Interdisciplinary Studies         ,153,,152,,194,,214,27,217,,286,50,337,,337,82,253,
,Credit - Not Degree Applicable                     Total,,479,,501,31,826,,229,29,370,,305,24,367,,274,52,417,
,,061420 - Electronic Game Design                  ,,,,,,,,,33,,33,,33,,33,,30,
,,083500 - Physical Education                      ,,,,,,,,,1,,,,,,,,3,
,,083550 - Intercollegiate Athletics               ,,,214,,,,,,,,,,,,,,,
,,095000 - Aeronautical and Aviation Technology    ,,,,,,,,,,,,,19,,14,,25,
,,100200 - Art                                     ,,,,,569,,,,56,,46,,42,,40,,39,
,,100400 - Music                                   ,,,4,9,,,,,,,,,,,,,,
,,100500 - Commercial Music                        ,6,,3,,5,,5,,7,,,,8,,,,4,
,,100600 - Technical Theater                       ,54,,45,,,,,,,,,,,,,,,
,,103000 - Graphic Art and Design                  ,5,,15,,,,,,,,,,,,,,,
,,130300 - Fashion                                 ,2,,,,,,,,,,,,,,,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,,,,,,,,,,8,,,,,
,,"170100 - Mathematics, General                    ",193,,62,,,,,,,,,,,,,,,
,,210500 - Administration of Justice               ,,,,,,,22,,8,,17,,17,,11,,35,
,,220300 - Ethnic Studies                          ,26,,,,31,,,,,,,,,,,,,
,,220700 - Political Science                       ,,,,,1,,,,,,,,,,,,,
,,221010 - Area Studies                            ,,,,,,,,,,,,,,,,,27,
,,300700 - Cosmetology and Barbering               ,6,,8,,7,,8,,11,,14,,14,,11,,12,
,,"493030 - Learning Skills, Handicapped            ",78,,45,,55,,40,,91,,72,,113,,81,,92,
,,"493032 - Learning Skills, Learning Disabled      ",5,,1,,5,,6,,7,,4,,2,,2,,10,
,,493084 - English as a Second Language - Writing  ,65,,56,,85,,70,14,68,,53,,43,,46,,44,
,,493085 - English as a Second Language - Reading  ,,,16,9,,,13,,,,19,,14,,,,22,
,,493086 - English as a Second Language - Listening,39,,19,13,53,,20,15,58,,13,12,54,,36,52,74,
,,493087 - English as a Second Language - Integrate,,,13,,15,,16,,9,,,,,,,,,
,,499900 - Other Interdisciplinary Studies         ,,,,,,,29,,21,,34,12,,,,,,
