,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,051800 - Customer Service                        ,,,7,,,,,,,,,,,,,,,
,,122200 - Physical Therapist Assistant            ,,,18,,,,,,,,,,,,,,,
,,123010 - Registered Nursing                      ,15,,,,,,,,,,,,,,,,,
,,150100 - English                                 ,547,,180,,342,,232,62,357,,153,55,272,,157,58,335,
,,152000 - Reading                                 ,6,,3,,4,,,,8,,,,,,,,,
,,"170100 - Mathematics, General                    ",36,,26,,,,,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,59,,,,,,,,,,,,,,,,,
,,210500 - Administration of Justice               ,74,,"3,567","3,647",112,,65,"2,809",105,,51,"2,868",135,,69,"2,863",64,
,,210550 - Police Academy                          ,,,,,,,,,,,,,,,13,,,
,,213300 - Fire Technology                         ,25,,63,,24,,19,,45,,,24,,,464,,,
,,"493030 - Learning Skills, Handicapped            ",44,,31,,31,,37,,35,,28,,49,,44,,46,
,,493086 - English as a Second Language - Listening,18,,10,,12,,10,5,25,,17,1,30,,40,6,25,
,,493087 - English as a Second Language - Integrate,28,,24,2,25,,17,2,32,,50,4,56,,53,5,66,
