,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,123030 - Certified Nurse Assistant               ,2,,,,2,,,,5,,1,,,,1,,1,
,,150100 - English                                 ,27,,18,,,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",45,,44,,,,,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,331,,158,,72,,11,,72,,30,,40,,36,,,
,,210500 - Administration of Justice               ,,,2,,,,,,,,,,,,,,,
,,210550 - Police Academy                          ,5,,,,,,,,,,,,,,,,,
,,213350 - Fire Academy                            ,,,4,,,,,,,,,,,,,,,
,,"493032 - Learning Skills, Learning Disabled      ",44,,14,,14,,15,,20,,25,,38,,18,,7,
,,493084 - English as a Second Language - Writing  ,19,,10,,6,,26,,,,,,,,,,,
,,493085 - English as a Second Language - Reading  ,10,,7,,,,7,21,8,,12,,,,9,,,
,,493086 - English as a Second Language - Listening,29,,35,28,42,,21,,,,11,,,,14,,,
,,493087 - English as a Second Language - Integrate,54,,76,6,63,,26,11,18,,9,7,8,,9,,7,
