,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,213300 - Fire Technology                         ,266,,238,22,309,,377,28,362,,289,30,431,,444,33,510,
,,213310 - Wildland Fire Technology                ,,,,25,,,,23,,,,27,,,,23,,
,,213350 - Fire Academy                            ,,,49,,,,31,,,,57,,,,50,,,
,,"220100 - Social Sciences, General                ",419,,365,150,417,,426,184,443,,455,173,475,,481,198,22,
,,220110 - Women's Studies                         ,28,,,,31,,,,28,,21,,37,,15,,38,
,,220200 - Anthropology                            ,778,,709,313,674,,785,291,743,,747,357,829,,841,373,823,
,,220220 - Archaeology                             ,38,,39,,27,,32,,25,,39,,19,,35,,13,
,,220300 - Ethnic Studies                          ,221,,177,17,414,,723,543,"1,245",,"1,749",874,"2,440",,"3,135","1,527","3,205",
,,220400 - Economics                               ,959,,965,508,951,,876,773,"1,007",,969,527,"1,008",,994,583,"1,038",
,,220500 - History                                 ,"2,155",,"2,067","1,027","2,199",,"2,019","1,530","2,174",,"2,178","1,529","2,143",,"2,240","1,576","2,623",
,,220600 - Geography                               ,367,,403,73,322,,381,85,323,,361,126,391,,391,129,386,
,,220700 - Political Science                       ,"1,170",,"1,079",581,"1,315",,"1,128",924,"1,285",,"1,277",795,"1,293",,"1,172",847,"1,224",
,,220800 - Sociology                               ,"1,365",,"1,179",521,"1,207",,"1,244",669,"1,314",,"1,210",768,"1,351",,"1,322",779,"1,470",
,,493010 - Career Guidance and Orientation         ,"1,024",,906,552,"1,372",,"1,193",597,"1,537",,"1,141",713,"1,371",,"1,179",631,"1,396",
,,493087 - English as a Second Language - Integrate,55,,24,,39,,30,,37,,28,,35,,16,,19,
,,493200 - General Work Experience                 ,,,17,2,34,,37,2,54,,48,8,138,,125,,205,
,Credit - Not Degree Applicable                     Total,,321,,261,22,176,,171,28,804,,831,25,"1,068",,824,,957,
,,070600 - Computer Science (Transfer)             ,57,,,,,,,,,,,,,,,,,
,,083550 - Intercollegiate Athletics               ,,,4,,,,,,,,,,,,,,,
,,095000 - Aeronautical and Aviation Technology    ,,,,22,,,,28,,,,25,,,,,,
,,095020 - Aviation Powerplant Mechanics           ,40,,43,,,,,,,,,,,,,,,
,,101200 - Applied Photography                     ,7,,4,,,,,,,,,,,,,,,
,,123020 - Licensed Vocational Nursing             ,12,,,,,,,,,,,,,,,,,
,,130630 - Culinary Arts                           ,23,,19,,,,,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,,,,,,,,,648,,634,,865,,648,,795,
,,213300 - Fire Technology                         ,35,,31,,,,,,,,,,,,,,,
,,493014 - Study Skills                            ,147,,160,,176,,171,,156,,197,,203,,176,,162,
