,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"170100 - Mathematics, General                    ","4,184",,"3,242",654,"3,976",,"3,446",700,"4,206",,"3,479",604,"3,967",,"3,273",601,"3,830",
,,"190200 - Physics, General                        ",548,,485,98,506,,511,75,567,,592,76,539,,618,76,539,
,,"190500 - Chemistry, General                      ","1,400",,"1,069",129,"1,148",,"1,139",101,"1,095",,"1,187",157,"1,243",,"1,228",189,"1,279",
,,191100 - Astronomy                               ,576,,645,76,565,,593,50,563,,636,55,622,,606,54,625,
,,191400 - Geology                                 ,513,,375,190,448,,492,200,373,,523,174,395,,452,77,340,
,,"200100 - Psychology, General                     ","2,110",,"1,893",90,"1,796",,"1,749",72,"1,763",,"1,745",153,"1,415",,"1,557",233,"1,481",
,,210530 - Industrial and Transportation Security  ,,,26,,,,29,,,,27,,,,32,,,
,,220110 - Women's Studies                         ,151,,259,,158,,150,,160,,172,,103,,142,,66,
,,220130 - Social Justice Studies                  ,,,19,,,,,,,,,,,,,,,
,,220200 - Anthropology                            ,993,,964,37,"1,080",,926,111,916,,977,149,984,,802,142,926,
,,220300 - Ethnic Studies                          ,120,,309,115,412,,566,121,468,,906,309,740,,"1,244",727,"1,206",
,,220400 - Economics                               ,"1,213",,"1,028",132,"1,062",,"1,028",122,"1,124",,997,122,"1,086",,949,128,928,
,,220500 - History                                 ,"1,814",,"1,766",278,"1,973",,"2,017",275,"2,048",,"1,799",274,"1,923",,"1,729",264,"1,876",
,,220600 - Geography                               ,550,,496,92,562,,596,105,713,,579,151,645,,513,88,535,
,,220700 - Political Science                       ,983,,"1,082",133,983,,"1,110",178,914,,981,138,845,,868,181,824,
,,220800 - Sociology                               ,915,,862,93,805,,618,69,777,,655,73,614,,521,59,568,
,,221020 - Global Studies                          ,71,,34,,73,,58,,62,,67,,38,,59,,69,
,,300900 - Travel Services and Tourism             ,108,,66,,91,,81,,121,,82,,118,,73,,88,
,,302000 - Aviation and Airport Management and Serv,80,,80,32,113,,93,30,112,,109,41,125,,109,41,118,
,,302010 - Aviation and Airport Management         ,98,,36,,92,,42,,94,,55,,97,,54,,101,
,,302020 - Piloting                                ,195,,225,41,184,,218,56,175,,285,59,246,,333,56,272,
,,302040 - Flight Attendant                        ,16,,13,,5,,24,,9,,22,,6,,34,,7,
,,493010 - Career Guidance and Orientation         ,371,,253,52,442,,281,49,438,,276,57,420,,229,56,405,
,,493012 - Job Seeking/Changing Skills             ,,,,,38,,36,,39,,38,,22,,,,24,
,,493013 - Academic Guidance                       ,,,,,,,,,,,,,,,,,27,
,,493084 - English as a Second Language - Writing  ,41,,22,,33,,17,,17,,,,30,,15,,17,
,,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,,,,,12,
,,493200 - General Work Experience                 ,6,,11,8,4,,7,,12,,9,4,10,,6,11,18,
,Credit - Not Degree Applicable                     Total,,"1,504",,"1,098",62,"1,270",,"1,045",46,"1,288",,"1,080",51,"1,345",,"1,104",248,"1,490",
,,"120100 - Health Occupations, General             ",188,,233,,200,,197,27,210,,206,33,273,,356,132,664,
,,122500 - Radiologic Technology                   ,,,,26,3,,10,16,7,,26,11,5,,19,10,,
,,"126000 - Health Professions, Transfer Core Curric",,,13,,,,7,,,,10,,,,,,,
,,130200 - Interior Design and Merchandising       ,,,,,,,11,,,,,,,,,,,
,,130300 - Fashion                                 ,,,,,,,10,,9,,8,,15,,,,,
,,150100 - English                                 ,76,,30,,47,,25,,45,,,,,,,,,
,,"170100 - Mathematics, General                    ",140,,52,11,78,,37,1,1,,,,,,,104,,
,,170200 - Mathematics Skills                      ,823,,538,19,728,,564,,837,,648,,862,,585,,692,
,,"190500 - Chemistry, General                      ",,,24,,18,,36,,28,,19,,30,,32,,26,
,,"493032 - Learning Skills, Learning Disabled      ",45,,31,6,31,,37,,65,,69,,61,,34,,37,
,,493084 - English as a Second Language - Writing  ,22,,11,,,,,,,,,,,,,,,
,,493086 - English as a Second Language - Listening,98,,79,,74,,44,,26,,47,,53,,28,,30,
,,493087 - English as a Second Language - Integrate,112,,87,,91,,67,2,60,,47,7,46,,50,2,41,
