,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"170100 - Mathematics, General                    ","3,592",,"3,466","1,055","3,131",,"3,537","1,026","3,533",,"3,802",959,"3,487",,"3,892","1,006","3,477",
,,170200 - Mathematics Skills                      ,22,,22,,15,,18,,31,,32,,29,,15,,28,
,,"190100 - Physical Sciences, General              ",122,,170,32,128,,148,36,193,,207,39,176,,162,43,161,
,,"190200 - Physics, General                        ",416,,452,96,558,,563,165,622,,628,102,630,,789,173,822,
,,"190500 - Chemistry, General                      ","1,912",,"1,716",476,"1,950",,"2,081",479,"2,199",,"2,220",457,"2,327",,"2,380",446,"2,565",
,,191100 - Astronomy                               ,344,,339,88,255,,292,85,319,,272,96,357,,343,87,381,
,,191400 - Geology                                 ,225,,199,55,155,,186,62,173,,170,40,173,,220,33,226,
,,"200100 - Psychology, General                     ","2,045",,"2,012",303,"1,850",,"1,948",330,"1,937",,"1,902",186,"2,038",,"2,092",166,"2,137",
,,"220100 - Social Sciences, General                ",,,,,37,,,,,,,,,,36,,43,
,,220110 - Women's Studies                         ,78,,74,,82,,110,,96,,89,,111,,115,,122,
,,220200 - Anthropology                            ,687,,772,175,615,,662,192,722,,728,106,817,,821,100,932,
,,220300 - Ethnic Studies                          ,"1,144",,"1,601",462,"1,490",,"2,399",623,"2,039",,"2,918",822,"2,378",,"3,204",871,"2,769",
,,220400 - Economics                               ,761,,989,269,771,,945,262,803,,956,233,803,,923,204,873,
,,220500 - History                                 ,"1,330",,"1,330",631,"1,303",,"1,456",634,"1,562",,"1,710",658,"1,628",,"1,596",550,"1,904",
,,220600 - Geography                               ,383,,298,34,388,,393,75,409,,427,77,419,,430,76,439,
,,220610 - Geographic Information Systems          ,102,,129,24,71,,97,1,114,,98,7,141,,127,7,123,
,,220700 - Political Science                       ,697,,628,166,806,,837,173,798,,839,145,882,,861,120,"1,143",
,,220800 - Sociology                               ,672,,647,191,719,,636,245,691,,717,166,775,,741,161,840,
,,221000 - International Studies                   ,,,21,,,,,,,,,,20,,,,21,
,,493010 - Career Guidance and Orientation         ,172,,170,,161,,133,,154,,82,,100,,70,,104,
,,493013 - Academic Guidance                       ,690,,341,123,697,,361,162,673,,386,143,620,,312,141,707,
,,493087 - English as a Second Language - Integrate,5,,7,,6,,,,23,,,,,,,,,
,,493200 - General Work Experience                 ,,,,,,,,,,,,,,,,,7,
,Credit - Not Degree Applicable                     Total,,"1,012",,680,96,"1,140",,899,89,"1,064",,"1,064",156,"1,039",,993,154,"1,027",
,,"120100 - Health Occupations, General             ",40,,26,,40,,34,,34,,36,,52,,,,50,
,,150100 - English                                 ,456,,243,,448,,272,,453,,309,,385,,281,,358,
,,170200 - Mathematics Skills                      ,460,,314,66,591,,476,66,525,,579,95,549,,605,97,565,
,,493014 - Study Skills                            ,,,51,30,21,,92,23,52,,140,61,53,,107,57,54,
,,"493030 - Learning Skills, Handicapped            ",10,,9,,,,,,,,,,,,,,,
,,493086 - English as a Second Language - Listening,23,,16,,18,,13,,,,,,,,,,,
,,493087 - English as a Second Language - Integrate,23,,21,,22,,12,,,,,,,,,,,
