,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,493200 - General Work Experience                 ,25,,20,9,35,,19,4,21,,22,2,20,,21,,30,
,,499900 - Other Interdisciplinary Studies         ,60,,24,8,38,,20,,37,,17,,42,,21,,45,
,Credit - Not Degree Applicable                     Total,,379,,287,29,391,,325,31,488,,426,34,612,,437,47,439,
,,"040100 - Biology, General                        ",,,,,,,9,,28,,6,,24,,,,13,
,,083700 - Health Education                        ,,,25,,,,25,,,,26,,,,30,,,
,,095000 - Aeronautical and Aviation Technology    ,7,,,,,,,,,,,,,,,,,
,,095600 - Manufacturing and Industrial Technology ,,,5,,,,,,,,18,,,,26,,,
,,095650 - Welding Technology                      ,14,,2,,2,,,,1,,,,1,,,,1,
,,"170100 - Mathematics, General                    ",,,,,,,,,,,,,,,,,18,
,,179900 - Other Mathematics                       ,38,,10,,10,,3,,20,,3,,37,,,,,
,,220700 - Political Science                       ,23,,19,,20,,22,,18,,22,,25,,22,,10,
,,493010 - Career Guidance and Orientation         ,23,,,,14,,4,,64,,40,,104,,61,5,79,
,,493011 - Interpersonal Skills                    ,17,,10,,18,,12,,12,,18,,15,,6,,19,
,,493012 - Job Seeking/Changing Skills             ,,,15,,,,38,,,,28,,,,32,,,
,,493013 - Academic Guidance                       ,,,,9,29,,,6,8,,,12,6,,,6,17,
,,493014 - Study Skills                            ,158,,151,7,180,,134,14,184,,115,11,196,,89,9,86,
,,"493030 - Learning Skills, Handicapped            ",29,,7,,39,,6,,36,,7,,46,,9,,40,
,,"493032 - Learning Skills, Learning Disabled      ",6,,8,,7,,4,,8,,7,,15,,3,,8,
,,493086 - English as a Second Language - Listening,28,,19,8,31,,31,4,52,,71,5,69,,78,14,69,
,,493087 - English as a Second Language - Integrate,22,,16,5,33,,32,7,43,,63,6,73,,81,13,64,
,,493200 - General Work Experience                 ,14,,,,8,,5,,14,,2,,1,,,,15,
