,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,191100 - Astronomy                               ,128,,115,,170,,144,,154,,117,20,151,,110,127,148,
,,191400 - Geology                                 ,42,,80,,39,,69,23,39,,123,19,52,,141,26,47,
,,"200100 - Psychology, General                     ",904,136,747,,752,199,714,280,741,204,678,252,831,223,707,230,839,226
,,210400 - Human Services                          ,265,,230,,291,1,223,33,289,,239,37,285,,222,27,225,
,,210500 - Administration of Justice               ,440,,394,,468,,415,54,476,,512,32,525,,535,25,581,
,,210510 - Corrections                             ,,,9,,9,,10,,8,13,10,,20,,13,,14,
,,210550 - Police Academy                          ,184,19,236,,243,24,270,73,263,15,223,53,265,36,188,25,275,14
,,213300 - Fire Technology                         ,319,,277,,305,,306,,293,,253,,226,,275,,289,
,,213310 - Wildland Fire Technology                ,39,,78,,86,10,201,,91,6,48,,131,11,95,,72,
,,213350 - Fire Academy                            ,46,,42,,49,,50,,55,,58,,93,,93,,85,
,,219900 - Other Public and Protective Services    ,,,,,,,,,,,,,4,,13,,,
,,"220100 - Social Sciences, General                ",,,,,16,,,,28,,,,22,,,,34,
,,"220140 - Gay, Lesbian, Bisexual and Transgender S",,,,,,,,,,,11,,,,,,,
,,220160 - Social Justice: Chicano Studies         ,,,,,,,5,21,52,73,74,96,136,107,115,110,198,216
,,220180 - Social Justice: African American Studies,,,16,,,,62,49,44,69,116,61,88,65,79,54,101,104
,,220200 - Anthropology                            ,380,69,348,,269,80,210,104,279,77,256,155,312,105,263,217,264,102
,,220400 - Economics                               ,386,72,309,,332,69,339,125,382,71,285,189,378,73,311,174,372,123
,,220500 - History                                 ,"1,837",340,"1,548",,"1,712",383,"1,725",456,"1,893",488,"1,770",550,"1,823",511,"1,657",561,"1,913",574
,,220600 - Geography                               ,281,82,252,,261,74,262,105,274,86,248,163,276,117,244,163,248,111
,,220700 - Political Science                       ,590,68,482,,498,127,424,162,696,133,455,164,665,128,509,148,636,124
,,220710 - Student Government                      ,24,,14,,27,,23,,15,,19,,28,,25,,28,
,,220800 - Sociology                               ,360,,351,,350,,326,174,392,,329,171,438,,364,195,444,
,,300700 - Cosmetology and Barbering               ,101,2,92,,87,27,103,60,100,10,18,,,,,,,
,,493010 - Career Guidance and Orientation         ,444,21,206,,528,25,346,105,500,23,361,90,464,24,359,113,494,48
,,493013 - Academic Guidance                       ,35,,24,,36,,23,24,34,27,20,24,32,23,19,25,41,18
,,493200 - General Work Experience                 ,98,,98,,154,,134,74,129,,158,33,109,,135,38,101,
,,499900 - Other Interdisciplinary Studies         ,28,,18,,36,,48,,23,,19,,27,,22,,13,
,Credit - Not Degree Applicable                     Total,,806,25,499,,791,17,455,87,705,,521,50,763,,433,93,722,
,,010210 - Veterinary Technician (Licensed)        ,78,,17,,70,,18,,56,,28,,76,,19,,83,
,,100600 - Technical Theater                       ,,,,,,,,31,,,,12,,,,57,,
,,124010 - Dental Assistant                        ,,,,,,,,,,,14,,,,20,,,
,,150100 - English                                 ,261,,115,,306,,154,,258,,216,,288,,209,,323,
,,152000 - Reading                                 ,25,,17,,8,,9,,11,,2,,12,,1,,,
,,"170100 - Mathematics, General                    ",300,,231,,255,,166,24,204,,164,15,195,,100,,200,
,,"190100 - Physical Sciences, General              ",,,,,,,,,,,,,16,,,,19,
,,210550 - Police Academy                          ,,25,,,20,17,,25,42,,,18,18,,,20,19,
,,213300 - Fire Technology                         ,48,,47,,53,,53,,56,,57,,64,,,,,
,,493084 - English as a Second Language - Writing  ,19,,33,,19,,18,,25,,12,,23,,28,,26,
,,493085 - English as a Second Language - Reading  ,29,,14,,27,,11,,28,,13,,35,,27,,20,
,,493086 - English as a Second Language - Listening,20,,10,,21,,4,7,14,,6,,16,,14,9,15,
,,493087 - English as a Second Language - Integrate,26,,15,,12,,22,,11,,9,5,20,,15,7,17,
