,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,220220 - Archaeology                             ,,,19,,,,15,,,,9,,,,13,,,
,,220300 - Ethnic Studies                          ,88,,197,42,309,72,397,90,406,85,671,267,952,292,984,437,"1,082",
,,220400 - Economics                               ,544,108,370,97,440,105,446,141,415,105,423,131,496,100,418,110,451,
,,220500 - History                                 ,"1,367",281,"1,087",391,"1,398",328,"1,136",379,"1,385",379,"1,136",477,"1,187",381,"1,049",393,"1,249",
,,220600 - Geography                               ,12,11,32,,15,19,42,,15,29,32,,7,30,22,,,
,,220610 - Geographic Information Systems          ,25,,28,,23,,18,,23,,18,,22,,16,,22,
,,220700 - Political Science                       ,563,186,520,259,506,193,469,259,495,227,470,228,487,170,528,210,446,
,,220800 - Sociology                               ,755,186,564,247,720,162,682,252,657,170,649,253,639,172,685,242,705,
,,300700 - Cosmetology and Barbering               ,268,90,297,156,385,78,385,184,388,133,391,171,331,100,297,164,348,
,,493010 - Career Guidance and Orientation         ,192,65,230,67,253,57,219,65,276,84,246,83,379,99,224,118,382,
,,493011 - Interpersonal Skills                    ,,,19,,19,,19,,15,,16,,14,,14,,13,
,,493012 - Job Seeking/Changing Skills             ,220,55,217,58,201,54,171,68,176,54,131,53,118,33,85,53,96,
,,493013 - Academic Guidance                       ,393,49,294,207,383,61,293,292,343,114,333,212,317,92,343,229,278,
,,"493030 - Learning Skills, Handicapped            ",18,,,,15,,,13,13,,8,,8,,,,15,
,,493200 - General Work Experience                 ,,17,,7,1,16,,6,,25,,6,,22,,12,,
,,499900 - Other Interdisciplinary Studies         ,17,,,,,,19,11,13,,48,12,15,16,36,21,26,
,Credit - Not Degree Applicable                     Total,,984,75,628,86,"1,014",119,812,105,"1,095",107,750,176,930,125,685,149,718,
,,043000 - Biotechnology and Biomedical Technology ,17,,13,,9,,8,,13,,12,,8,,6,,11,
,,051400 - Office Technology/Office Computer Applic,13,,,,,,,,,5,,,,7,,,,
,,094800 - Automotive Technology                   ,16,,10,8,28,,16,,20,,8,11,20,,15,8,15,
,,095300 - Drafting Technology                     ,,,,,,,,,,,,,12,,11,,20,
,,100200 - Art                                     ,1,,,,,,2,,3,,4,,2,,1,,1,
,,100500 - Commercial Music                        ,,,7,,,13,5,16,,18,10,16,,19,12,12,,
,,100600 - Technical Theater                       ,3,,8,,1,,3,7,,,5,8,1,,5,8,1,
,,130540 - Preshool Age Children                   ,31,,47,,16,,37,,17,,29,,10,,45,,21,
,,150100 - English                                 ,46,,22,,43,,21,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",28,10,10,8,20,,8,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,813,65,466,70,866,106,635,82,951,84,608,141,797,99,538,121,608,
,,"493030 - Learning Skills, Handicapped            ",16,,17,,19,,15,,,,16,,,,11,,,
,,"493032 - Learning Skills, Learning Disabled      ",,,17,,,,,,19,,,,15,,,,8,
,,493087 - English as a Second Language - Integrate,,,11,,12,,62,,72,,58,,65,,41,,33,
