,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,130700 - Hospitality                             ,58,,96,,43,,40,,15,8,46,,58,,88,,73,
,,130710 - Restaurant and Food Services and Managem,18,,,,6,,,,28,,,,9,,,,19,
,,140200 - Paralegal                               ,349,45,332,29,381,71,345,37,398,45,404,65,534,94,525,42,623,92
,,150100 - English                                 ,"3,447",582,"2,180",598,"3,076",545,"2,261",545,"3,379",582,"2,370",603,"3,393",533,"2,245",646,"3,122",620
,,150110 - Linguistics                             ,,,,,,,,,,,,,,,10,,17,
,,150200 - Language Arts                           ,45,6,16,16,39,29,,18,41,29,20,14,23,31,19,33,22,31
,,150300 - Comparative Literature                  ,,,15,,,,20,,,,25,,,,15,,,
,,150400 - Classics                                ,,,45,,8,,22,,10,,46,,19,,46,,51,
,,150600 - Speech Communication                    ,"1,378",525,"1,193",362,"1,249",455,"1,158",420,"1,362",445,"1,189",438,"1,389",519,"1,190",467,"1,565",580
,,150700 - Creative Writing                        ,32,,40,,29,,19,,12,,36,,10,,35,,13,
,,150900 - Philosophy                              ,210,55,227,92,207,76,220,108,287,69,255,124,311,76,228,113,312,113
,,151000 - Religious Studies                       ,185,66,221,128,228,74,240,122,244,75,220,158,187,59,178,153,192,64
,,159900 - Other Humanities                        ,28,,24,,25,,11,,,,17,,,,27,,,
,,"170100 - Mathematics, General                    ","3,688",305,"2,608",797,"3,067",178,"2,509",686,"3,313",258,"2,575",678,"3,286",289,"2,651",749,"3,118",274
,,"190100 - Physical Sciences, General              ",70,,44,,75,,59,,51,,47,,60,,49,,39,
,,"190200 - Physics, General                        ",366,112,327,161,341,85,377,155,344,75,438,225,369,114,453,305,436,106
,,"190500 - Chemistry, General                      ","1,088",216,715,176,740,139,713,191,797,187,798,238,984,156,"1,005",246,"1,039",129
,,191100 - Astronomy                               ,441,107,416,89,451,70,381,108,411,71,376,138,273,76,261,101,286,69
,,191400 - Geology                                 ,383,124,399,175,408,176,455,200,474,172,512,233,431,181,408,224,477,208
,,191900 - Oceangraphy                             ,67,,77,,87,,89,,97,,91,,106,,96,9,112,
,,193000 - Earth Science                           ,20,,29,14,97,,39,18,22,,37,26,10,,49,,34,
,,"200100 - Psychology, General                     ","1,903",473,"1,706",673,"1,784",390,"1,581",728,"1,767",490,"1,600",753,"1,754",476,"1,494",708,"1,689",571
,,200300 - Behavioral Science                      ,164,51,182,59,159,51,106,67,126,26,101,32,120,27,71,23,121,57
,,210400 - Human Services                          ,,,,,,,,,29,,26,,41,,32,,13,
,,210500 - Administration of Justice               ,435,43,407,95,454,64,479,49,525,53,482,58,562,40,359,55,478,50
,,210550 - Police Academy                          ,"3,294","1,067","4,290","3,038","10,048","3,465","9,150","3,695","9,732","3,546","8,492","4,424","5,778","2,030","4,949","1,187","1,479",312
,,213300 - Fire Technology                         ,341,19,214,36,287,30,230,43,317,20,255,54,335,25,304,60,338,34
,,213310 - Wildland Fire Technology                ,,,34,,,,32,,,,34,,21,,,,29,
,,"220100 - Social Sciences, General                ",224,,173,,200,61,164,28,175,44,219,86,179,43,150,121,180,54
,,220130 - Social Justice Studies                  ,36,,57,,53,,31,,24,,28,,13,,19,,10,
