,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100800 - Dance                                   ,124,,134,30,199,,254,43,245,,292,25,258,,235,21,325,
,,101100 - Photography                             ,69,,63,,78,,83,,78,,101,26,89,,118,,130,
,,101200 - Applied Photography                     ,,,,,,,12,,,,11,,,,17,,,
,,101300 - Commercial Art                          ,,,19,,,,28,,,,23,,,,19,,,
,,103000 - Graphic Art and Design                  ,276,,258,,304,,312,,296,,295,,326,,328,,306,
,,"110100 - Foreign Languages, General              ",20,,19,,23,,14,,28,,30,,16,,27,,52,
,,110200 - French                                  ,80,,80,26,66,,65,13,75,,112,20,97,,160,41,193,
,,110300 - German                                  ,29,,38,,38,,27,,34,,45,,33,,39,,26,
,,110400 - Italian                                 ,64,,89,,68,,53,,43,,37,,51,,50,,56,
,,110500 - Spanish                                 ,393,,388,106,432,,387,144,459,,478,143,564,,531,161,524,
,,110700 - Chinese                                 ,41,,37,,31,,31,,23,,38,,26,,40,,28,
,,110800 - Japanese                                ,86,,91,,86,,76,,82,,91,,73,,84,,98,
,,"120100 - Health Occupations, General             ",179,,139,92,170,,169,74,180,,204,103,196,,234,153,296,
,,120800 - Medical Assisting                       ,150,,145,27,80,,75,17,90,,90,18,80,,75,14,125,
,,122100 - Pharmacy Technology                     ,,,,,,,28,16,95,,90,20,117,,126,17,107,
,,122500 - Radiologic Technology                   ,213,,260,166,258,,239,165,260,,286,185,304,,339,156,253,
,,122800 - Athletic Training and Sports Medicine   ,71,,72,26,61,,62,25,74,,65,23,74,,76,27,101,
,,123010 - Registered Nursing                      ,322,,298,,288,,282,,322,,331,,326,,326,,333,
,,123030 - Certified Nurse Assistant               ,30,,25,32,25,,28,31,29,,30,34,27,,30,33,28,
,,124000 - Dental Occupations                      ,47,,,,41,,,,45,,,,44,,,,47,
,,124010 - Dental Assistant                        ,141,,124,,118,,113,,108,,111,,113,,139,,119,
,,124020 - Dental Hygienist                        ,168,,206,44,164,,208,48,168,,216,48,168,,206,44,160,
,,125000 - Emergency Medical Services              ,571,,469,139,538,,494,236,713,,636,206,611,,705,228,776,
,,125100 - Paramedic                               ,,,49,,48,,49,,44,,55,,47,,50,,46,
,,"126000 - Health Professions, Transfer Core Curric",,,15,,,,15,,,,10,,,,12,,,
,,126100 - Community Health Care Worker            ,,,,,,,,,,,,,,,8,,10,
,,127000 - Kinesiology                             ,189,,174,58,217,,208,62,220,,175,87,234,,248,136,339,
,,129900 - Other Health Occupations                ,57,,46,,43,,82,,60,,66,,71,,80,,78,
,,130110 - Consumer Services                       ,,,35,,,,39,,,,37,,,,50,,,
,,130200 - Interior Design and Merchandising       ,108,,133,,100,,115,18,111,,146,18,128,,131,8,169,
,,130310 - Fashion Design                          ,58,,71,21,79,,93,21,88,,88,19,84,,97,23,100,
,,130320 - Fashion Merchandising                   ,51,,26,,44,,24,,71,,24,,65,,19,,68,
,,130500 - Child Development/Early Care and Educati,897,,756,140,797,,745,146,895,,866,132,"1,012",,880,143,"1,080",
,,130520 - Children with Special Needs             ,,,,,,,,,,,,,31,,25,,33,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",486,,442,149,460,,428,177,501,,501,194,548,,581,234,712,
,,130620 - Dietetic Services and Management        ,31,,32,,8,,6,,10,,28,,6,,20,,21,
,,130630 - Culinary Arts                           ,266,,266,67,392,,416,,471,,408,31,463,,419,49,477,
,,130700 - Hospitality                             ,51,,6,,63,,,17,89,,19,,63,,60,,78,
,,130710 - Restaurant and Food Services and Managem,43,,46,,31,,30,,32,,52,,24,,46,,54,
,,130720 - Lodging Management                      ,,,19,,,,23,,,,28,,,,19,,,
,,140200 - Paralegal                               ,131,,105,19,124,,106,18,124,,132,31,142,,131,,196,
,,150100 - English                                 ,"3,350",,"2,500",499,"3,346",,"2,441",619,"3,842",,"2,819",713,"3,786",,"2,815",773,"3,903",
,,150300 - Comparative Literature                  ,55,,27,,29,,10,,22,,,,21,,,,41,
