,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,493010 - Career Guidance and Orientation         ,"2,235",,"2,411","1,096","3,138",,"2,167",905,"3,030",,"2,981",957,"2,990",,"3,145","1,055","2,741",
,,493013 - Academic Guidance                       ,23,,,,22,,,,,,101,17,34,,74,45,86,
,,499900 - Other Interdisciplinary Studies         ,,,,,24,,,,,,,,,,,,,
,Credit - Not Degree Applicable                     Total,,"2,083",,"2,891",742,"2,313",,"2,412",658,"2,060",,"2,616",488,"1,499",,"2,252",472,"2,431",
,,051400 - Office Technology/Office Computer Applic,,,27,21,33,,20,,26,,35,,34,,18,,33,
,,070700 - Computer Software Development           ,,,,,,,,,,,,,,,,,17,
,,"080100 - Education, General                      ",,,181,,,,,,,,,,,,,,,
,,083550 - Intercollegiate Athletics               ,,,,,,,,,,,38,,,,38,,,
,,085010 - Sign Language Interpreting              ,18,,27,,24,,21,,54,,48,,66,,,,,
,,094800 - Automotive Technology                   ,208,,78,44,352,,176,43,350,,168,49,298,,167,41,209,
,,095670 - Industrial and Occupational Safety and H,24,,4,,5,,1,,7,,7,,,,,,,
,,095730 - Surveying                               ,1,,,,3,,,,,,3,,,,1,,,
,,095800 - Water and Wastewater Technology         ,14,,,,14,,11,,8,,19,,16,,16,,,
,,100400 - Music                                   ,94,,37,21,33,,10,20,15,,7,24,13,,5,21,4,
,,"120100 - Health Occupations, General             ",,,,,,,,,,,,,270,,255,85,197,
,,122200 - Physical Therapist Assistant            ,,,,,,,,,,,,,,,,26,133,
,,123000 - Nursing                                 ,,,,10,,,,2,,,,6,,,,,,
,,123010 - Registered Nursing                      ,532,,584,86,635,,539,177,383,,493,143,105,,181,30,109,
,,123030 - Certified Nurse Assistant               ,100,,86,29,65,,97,,83,,92,33,85,,86,,,
,,123080 - Home Health Aide                        ,,,,,,,,,,,,,,,,,3,
,,125100 - Paramedic                               ,,,7,13,13,,14,42,33,,23,51,25,,74,76,140,
,,130580 - Child Development Administration and Man,,,15,,,,32,,,,32,,,,39,,,
,,150100 - English                                 ,55,,50,,5,,3,3,11,,10,4,9,,9,9,20,
,,152000 - Reading                                 ,10,,2,,4,,,3,5,,3,,,,7,8,8,
,,170200 - Mathematics Skills                      ,15,,6,,17,,5,2,6,,12,6,13,,19,8,23,
,,210500 - Administration of Justice               ,6,,8,,,,21,16,15,,28,,,,,,,
