,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,122800 - Athletic Training and Sports Medicine   ,147,,101,58,90,,164,30,82,,178,38,78,,175,37,84,
,,123010 - Registered Nursing                      ,"2,550",,"2,549",157,"2,494",,"2,530",177,"2,707",,"2,588",158,"2,489",,"2,496",123,"2,579",
,,124010 - Dental Assistant                        ,,,,17,51,,40,,72,,113,50,109,,100,14,108,
,,124020 - Dental Hygienist                        ,217,,307,,236,,347,,250,,359,,325,,353,,321,
,,125000 - Emergency Medical Services              ,46,,78,,95,,90,,109,,130,26,111,,109,26,115,
,,125100 - Paramedic                               ,,,25,47,,,35,49,1,,1,27,,,,42,,
,,127000 - Kinesiology                             ,211,,124,60,243,,142,55,268,,176,79,243,,230,114,291,
,,130320 - Fashion Merchandising                   ,21,,33,,24,,31,,22,,26,,29,,44,,30,
,,130500 - Child Development/Early Care and Educati,"1,054",,"1,071",350,"1,162",,"1,356",305,"1,390",,"1,390",634,"1,506",,"1,804",678,"1,831",
,,130520 - Children with Special Needs             ,23,,,,23,,26,,35,,35,,40,,38,,36,
,,130570 - Foster and Kinship Care                 ,,,,,,,,,,,,,,,,,38,
,,130580 - Child Development Administration and Man,64,,,,72,,,,31,,,,20,,,,41,
,,130590 - Infants and Toddlers                    ,33,,31,21,41,,30,21,26,,27,,16,,45,,18,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",371,,263,64,362,,371,99,426,,479,143,495,,491,209,348,
,,130620 - Dietetic Services and Management        ,65,,42,,44,,42,,54,,50,,59,,41,,82,
,,130630 - Culinary Arts                           ,108,,32,,93,,61,,107,,104,,126,,107,5,145,
,,130900 - Gerontology                             ,10,,7,,13,,13,,9,,11,,,,,,19,
,,"140100 - Law, General                            ",93,,62,,100,,76,,104,,78,,124,,83,,143,
,,140200 - Paralegal                               ,266,,230,12,258,,256,12,262,,281,10,274,,302,25,304,
,,150100 - English                                 ,760,,"2,796",942,"4,174",,"3,300",910,"4,319",,"3,758","1,158","4,609",,"4,096","1,092","4,551",
,,150110 - Linguistics                             ,131,,168,101,152,,171,112,157,,177,147,163,,190,115,223,
,,150400 - Classics                                ,47,,20,,39,,33,,83,,54,,67,,54,,75,
,,150600 - Speech Communication                    ,"3,091",,"2,429",510,"2,846",,"2,738",569,"2,919",,"2,820",505,"3,257",,"2,971",522,"2,996",
,,150700 - Creative Writing                        ,60,,41,,58,,55,,35,,56,,41,,61,,49,
,,150900 - Philosophy                              ,704,,704,298,702,,728,360,734,,888,450,930,,901,386,882,
,,152000 - Reading                                 ,41,,25,,,,,,,,,,,,,,,
,,"160100 - Library Science, General                ",14,,25,11,30,,26,16,16,,34,26,39,,34,9,42,
,,160200 - Library Technician (Aide)               ,98,,68,56,47,,103,87,132,,168,125,135,,141,102,129,
,,"170100 - Mathematics, General                    ","3,492",,"2,698","1,365","3,338",,"3,094","1,320","3,499",,"3,331","1,432","4,043",,"3,494","1,662","3,350",
,,179900 - Other Mathematics                       ,,,8,,8,,,,12,,,,16,,13,,17,
,,"190100 - Physical Sciences, General              ",100,,43,57,154,,74,71,49,,99,61,69,,50,71,67,
,,"190200 - Physics, General                        ",292,,243,,285,,304,,343,,299,,336,,397,,397,
,,"190500 - Chemistry, General                      ",695,,562,176,792,,789,245,864,,905,221,938,,"1,034",196,"1,086",
,,191100 - Astronomy                               ,249,,134,40,141,,180,60,146,,183,65,195,,187,41,173,
,,191400 - Geology                                 ,312,,200,94,241,,251,117,311,,338,123,308,,280,130,297,
,,191900 - Oceangraphy                             ,58,,62,,57,,107,28,83,,61,35,96,,78,74,82,
,,"200100 - Psychology, General                     ","1,519",,"1,255",498,"1,739",,"1,578",420,"1,854",,"1,607",586,"2,077",,"1,639",566,"1,972",
