,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,210500 - Administration of Justice               ,739,,540,22,736,,669,69,758,,657,71,923,,807,91,,
,,210510 - Corrections                             ,11,,,,,,,,,,,,,,,,,
,,213300 - Fire Technology                         ,125,,73,57,316,,173,150,138,,149,,283,,205,22,,
,,213310 - Wildland Fire Technology                ,,,,10,,,,,,,,,,,,,,
,,"220100 - Social Sciences, General                ",956,,678,294,935,,747,319,939,,764,415,994,,790,428,,
,,220200 - Anthropology                            ,148,,125,38,177,,119,48,183,,164,35,157,,111,51,,
,,220220 - Archaeology                             ,38,,45,,45,,49,,51,,53,,54,,57,,,
,,220300 - Ethnic Studies                          ,65,,226,47,483,,508,162,744,,857,264,817,,809,184,,
,,220400 - Economics                               ,307,,352,134,304,,493,111,486,,577,125,436,,727,111,,
,,220500 - History                                 ,"1,806",,"1,662",827,"1,977",,"1,786",887,"2,229",,"2,024",852,"2,276",,"2,090",764,,
,,220600 - Geography                               ,135,,180,48,200,,211,24,216,,216,,221,,233,,,
,,220700 - Political Science                       ,447,,423,186,699,,499,207,648,,532,222,720,,517,291,,
,,220710 - Student Government                      ,4,,3,,4,,4,,1,,6,,6,,9,,,
,,220800 - Sociology                               ,23,,117,,94,,132,72,145,,217,51,197,,134,73,,
,,493010 - Career Guidance and Orientation         ,36,,36,21,44,,46,19,63,,111,24,84,,63,,,
,,493012 - Job Seeking/Changing Skills             ,,,,13,,,,,,,,,,,,,,
,,493013 - Academic Guidance                       ,705,,499,195,699,,565,282,797,,696,391,926,,646,406,,
,,493087 - English as a Second Language - Integrate,8,,8,,15,,8,,19,,10,,6,,4,,,
,,493200 - General Work Experience                 ,184,,202,14,247,,188,14,205,,245,19,234,,349,25,,
,Credit - Not Degree Applicable                     Total,,"1,423",,892,183,"1,132",,958,115,975,,941,,386,,465,,,
,,095220 - Electrical                              ,,,,,,,,,,,26,,,,30,,,
,,150100 - English                                 ,104,,86,,,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",576,,398,150,586,,487,115,592,,524,,,,,,,
,,"190500 - Chemistry, General                      ",,,,,,,,,,,,,29,,82,,,
,,"200100 - Psychology, General                     ",75,,46,,88,,66,,83,,63,,59,,29,,,
,,493014 - Study Skills                            ,663,,362,33,458,,405,,300,,328,,298,,324,,,
,,493087 - English as a Second Language - Integrate,5,,,,,,,,,,,,,,,,,
