,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,493010 - Career Guidance and Orientation         ,"1,096",,437,"1,346","1,434",,600,"1,465","1,227",,680,"1,279","1,438",,677,"1,235","1,612",
,,"493030 - Learning Skills, Handicapped            ",,,,,,,,,,,,,20,,14,,15,
,,"493032 - Learning Skills, Learning Disabled      ",20,,,,13,,19,32,34,,21,50,32,,30,50,30,
,,"493033 - Learning Skills, Speech Impaired        ",,,,,,,,,,,,,,,5,,5,
,,493072 - Leadership Skills Development           ,19,,29,,14,,48,,,,56,,,,66,,,
,,493084 - English as a Second Language - Writing  ,136,,80,22,124,,48,,96,,40,34,36,,17,,26,
,,493087 - English as a Second Language - Integrate,,,,,45,,76,,72,,52,,65,,47,,42,
,,493100 - Vocational ESL                          ,,,,,,,,,,,,,,,,,32,
,Credit - Not Degree Applicable                     Total,,"1,053",,592,39,290,,304,85,224,,302,142,276,,200,140,230,
,,051400 - Office Technology/Office Computer Applic,39,,,,54,,,,,,,,15,,,,28,
,,083500 - Physical Education                      ,6,,6,,6,,3,,15,,10,,7,,7,,7,
,,123010 - Registered Nursing                      ,44,,68,,46,,68,31,64,,56,56,28,,51,73,22,
,,124010 - Dental Assistant                        ,6,,,15,7,,,16,8,,,28,14,,,36,18,
,,150100 - English                                 ,92,,32,,,,21,,,,20,,,,18,,,
,,"170100 - Mathematics, General                    ",141,,101,,29,,20,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,518,,237,,25,,44,,29,,93,,85,,26,,60,
,,493010 - Career Guidance and Orientation         ,20,,35,,29,,14,,,,,,,,,,,
,,493012 - Job Seeking/Changing Skills             ,14,,6,,5,,6,,17,,6,,,,,,,
,,493084 - English as a Second Language - Writing  ,112,,57,,29,,78,,14,,24,,24,,27,,,
,,493085 - English as a Second Language - Reading  ,26,,9,11,38,,9,20,31,,15,47,38,,8,17,14,
,,493086 - English as a Second Language - Listening,35,,41,13,22,,41,18,34,,40,11,26,,41,14,37,
,,493087 - English as a Second Language - Integrate,,,,,,,,,12,,38,,39,,22,,44,
