,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,110500 - Spanish                                 ,460,23,406,73,377,55,358,115,403,51,308,85,390,68,344,93,,
,,110600 - Russian                                 ,35,,17,,26,,24,,36,,24,,31,,17,,,
,,110700 - Chinese                                 ,69,,61,,40,,45,,26,,29,,21,,27,,,
,,110800 - Japanese                                ,379,36,343,59,317,23,282,44,314,,296,63,284,,287,36,,
,,111100 - Hebrew and Semitic                      ,51,,30,,32,,64,,49,,62,,31,,28,,,
,,111200 - Arabic                                  ,34,,32,,29,,27,,33,,29,,32,,35,,,
,,"111700 - Asian, South Asian, and Pacific Islands ",30,,22,,32,,24,,29,,17,,28,,24,,,
,,111730 - Korean                                  ,114,20,127,51,106,20,177,36,115,,157,23,122,,148,31,,
,,119900 - Other Foreign Languages                 ,31,,26,,17,,19,,26,,17,,33,,32,,,
,,"120100 - Health Occupations, General             ",34,,32,,38,,40,,38,,40,,36,,36,,,
,,121000 - Respiratory Care/Therapy                ,158,45,75,30,222,29,163,22,190,23,127,18,252,39,138,28,,
,,122800 - Athletic Training and Sports Medicine   ,21,,13,,20,,26,,37,,18,,29,,25,,,
,,123010 - Registered Nursing                      ,567,36,658,13,807,,782,10,791,16,820,12,885,13,862,,11,
,,127000 - Kinesiology                             ,209,32,171,20,263,20,177,31,234,,246,35,255,,163,42,,
,,130200 - Interior Design and Merchandising       ,156,55,126,46,126,45,153,49,139,46,126,35,125,46,123,35,,
,,130300 - Fashion                                 ,730,28,691,39,741,80,724,60,764,78,763,66,665,71,701,90,,
,,130310 - Fashion Design                          ,29,25,26,11,17,,27,19,27,,24,16,29,11,25,,,
,,130500 - Child Development/Early Care and Educati,"1,084",174,975,313,930,187,745,274,821,155,761,277,831,164,779,255,,
,,130520 - Children with Special Needs             ,22,,10,,22,,16,,,,23,,15,,12,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",626,192,539,190,564,233,467,194,583,192,390,200,519,117,455,169,,
,,"140100 - Law, General                            ",70,25,38,30,72,20,64,,86,26,74,,129,37,79,33,,
,,150100 - English                                 ,"6,789","1,267","4,677","1,059","6,749","1,294","4,922","1,171","7,216","1,398","5,248","1,279","7,272","1,422","4,976","1,222",,
,,150110 - Linguistics                             ,123,,170,,149,,157,,177,,178,,157,,143,,,
,,150300 - Comparative Literature                  ,351,74,431,58,314,75,409,76,350,79,481,62,357,78,531,55,,
,,150600 - Speech Communication                    ,"2,415",760,"2,294",595,"2,274",888,"2,203",722,"2,232",812,"2,328",828,"2,213",906,"2,162",800,,
,,150700 - Creative Writing                        ,126,41,98,43,130,46,103,54,154,52,115,53,144,51,115,28,,
,,150900 - Philosophy                              ,"1,155",318,936,307,"1,152",322,938,309,"1,080",323,"1,143",352,884,277,979,335,,
,,151000 - Religious Studies                       ,20,,,,24,,,,25,,,,25,,,,,
,,159900 - Other Humanities                        ,,,1,,,,,,,,,,,,,,,
,,"160100 - Library Science, General                ",102,35,77,33,89,35,100,57,107,32,105,53,101,42,86,59,,
,,"170100 - Mathematics, General                    ","7,490","1,303","6,174",924,"6,487","1,116","5,578","1,112","6,828","1,084","5,942","1,238","6,530","1,238","5,649","1,085",,
,,"190200 - Physics, General                        ",627,98,658,206,449,48,532,156,482,39,623,178,582,68,688,169,,
,,"190500 - Chemistry, General                      ","1,576",333,"1,385",473,"1,185",215,"1,213",290,"1,224",227,"1,136",312,"1,490",248,"1,360",281,,
,,191100 - Astronomy                               ,680,224,640,266,658,239,542,250,622,322,628,226,622,264,560,177,,
,,191400 - Geology                                 ,393,34,362,90,324,116,327,47,331,55,367,60,300,60,311,64,,
,,193000 - Earth Science                           ,,,,,,,,,,,,,,,46,,,
,,"200100 - Psychology, General                     ","3,051",696,"2,761",512,"2,737",658,"2,705",626,"2,843",733,"2,763",752,"2,834",733,"2,679",697,,
,,210400 - Human Services                          ,28,,,,27,,,,,,,,27,,15,,,
,,210500 - Administration of Justice               ,415,102,305,81,336,102,301,86,332,106,328,76,348,90,312,67,,
,,"210540 - Forensics, Evidence, and Investigation  ",43,,41,,39,,31,,42,,37,,38,,39,,,
,,"220100 - Social Sciences, General                ",49,17,51,26,121,18,75,38,89,46,74,46,84,84,112,41,,
,,220110 - Women's Studies                         ,173,43,163,64,101,69,140,90,143,71,146,70,121,47,116,115,,
,,"220140 - Gay, Lesbian, Bisexual and Transgender S",22,,21,,40,,30,,44,,39,,38,,30,,,
,,220200 - Anthropology                            ,941,178,955,193,959,188,869,186,"1,045",160,919,195,841,147,906,108,,
,,220300 - Ethnic Studies                          ,,,,,78,,253,,523,129,585,227,942,227,"1,215",260,,
,,220400 - Economics                               ,"1,636",526,"1,360",514,"1,566",393,"1,423",491,"1,543",417,"1,438",552,"1,485",488,"1,478",510,,
,,220500 - History                                 ,"2,452",531,"2,314",994,"2,335",606,"2,347",997,"2,397",580,"2,345","1,009","2,618",610,"2,268",925,,
,,220600 - Geography                               ,619,132,492,80,572,134,485,92,522,173,534,73,506,154,455,28,,
,,220610 - Geographic Information Systems          ,62,,56,36,51,,48,44,45,11,67,40,63,23,53,47,,
