,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,150600 - Speech Communication                    ,"2,319",940,"2,053",730,"2,288",785,"2,209",764,"2,417",920,"2,274",857,"2,436","1,004","2,236",861,"2,612","1,097"
,,150700 - Creative Writing                        ,57,27,32,14,54,,33,,65,20,34,,67,17,33,,31,
,,150900 - Philosophy                              ,367,80,328,111,391,110,360,84,432,97,318,60,349,53,258,62,352,60
,,151000 - Religious Studies                       ,271,77,269,63,267,75,189,66,202,64,171,82,207,73,159,68,205,73
,,152000 - Reading                                 ,232,59,203,45,227,39,159,,245,,189,,234,,140,22,159,28
,,159900 - Other Humanities                        ,70,,22,,79,,71,,78,,77,,42,,70,,40,
,,"160100 - Library Science, General                ",108,45,105,28,93,27,141,50,132,38,82,49,128,40,111,39,159,54
,,"170100 - Mathematics, General                    ","3,157",504,"2,344",415,"3,185",366,"2,585",447,"3,608",422,"3,092",483,"3,827",386,"2,986",484,"4,154",405
,,180100 - Military Science                        ,1,,10,,6,,,,6,,9,,7,,9,,16,
,,"190200 - Physics, General                        ",423,38,356,34,426,41,471,49,434,41,478,71,534,37,575,101,556,62
,,"190500 - Chemistry, General                      ",978,231,847,215,947,263,965,192,"1,002",285,"1,082",217,"1,173",333,"1,226",335,"1,255",423
,,191100 - Astronomy                               ,116,29,125,30,67,32,85,33,103,25,107,27,145,23,73,27,124,35
,,191400 - Geology                                 ,250,70,241,122,266,111,335,72,260,102,343,110,244,114,270,128,254,149
,,191900 - Oceangraphy                             ,212,82,224,117,250,123,183,80,222,59,184,64,226,53,176,63,220,65
,,"200100 - Psychology, General                     ","1,810",486,"1,459",459,"1,996",531,"1,637",465,"2,012",561,"1,708",446,"2,091",583,"1,553",477,"2,034",583
,,209900 - Other Psychology                        ,141,,168,33,88,,159,,169,,172,,169,,176,,150,
,,210500 - Administration of Justice               ,649,113,331,102,603,102,358,109,741,109,439,111,634,105,336,124,663,121
,,210510 - Corrections                             ,,,,,,,,,,,19,,,,20,,,
,,"210540 - Forensics, Evidence, and Investigation  ",,,,,,,,,,,,,,,37,,,
,,220200 - Anthropology                            ,969,238,653,270,972,229,732,297,"1,044",287,742,329,"1,069",265,704,314,824,256
,,220300 - Ethnic Studies                          ,169,,270,222,475,92,666,295,616,259,687,380,918,242,"1,046",527,"1,227",611
,,220400 - Economics                               ,568,146,519,126,520,200,605,163,687,194,638,162,683,217,678,161,698,222
,,220500 - History                                 ,"1,805",495,"1,449",362,"1,812",514,"1,617",404,"1,996",596,"1,782",528,"2,052",627,"1,812",603,"2,147",718
,,220600 - Geography                               ,683,223,591,211,518,166,573,183,644,246,609,252,637,256,635,379,662,353
,,220700 - Political Science                       ,"1,278",522,"1,097",372,"1,090",631,"1,205",365,"1,140",555,"1,272",346,"1,161",511,"1,191",317,"1,240",440
,,220800 - Sociology                               ,"1,539",586,"1,180",422,"1,445",539,"1,204",460,"1,486",497,"1,201",463,"1,408",534,"1,294",524,"1,333",518
,,300700 - Cosmetology and Barbering               ,310,117,437,137,436,224,359,175,534,22,580,170,548,22,494,171,542,35
,,493010 - Career Guidance and Orientation         ,774,148,678,150,751,170,540,160,756,165,689,164,846,226,651,170,828,287
,,493013 - Academic Guidance                       ,204,28,173,61,262,39,255,85,336,33,299,62,383,71,257,31,343,
,,493087 - English as a Second Language - Integrate,15,,9,5,42,,35,,35,,19,,19,,20,,35,
,,493200 - General Work Experience                 ,5,,2,,6,,3,,2,,60,,78,,62,,61,
,Credit - Not Degree Applicable                     Total,,"1,669",36,"1,000",88,"1,696",71,"1,342",56,"1,877",67,"1,655",133,"1,934",68,"1,550",66,"2,142",91
,,123010 - Registered Nursing                      ,190,,108,,179,,110,,276,,340,,389,,377,,358,
,,123020 - Licensed Vocational Nursing             ,73,,62,1,90,,63,,115,,88,,73,,59,,60,
,,123030 - Certified Nurse Assistant               ,147,36,152,50,155,63,213,39,224,47,370,125,510,59,429,42,548,45
,,123080 - Home Health Aide                        ,,,,,,,,,,,,,,9,,8,22,25
,,150100 - English                                 ,473,,253,,378,,283,,308,,213,,,,,,,
,,"170100 - Mathematics, General                    ",8,,9,,,,,,,,,,,,,,88,
,,170200 - Mathematics Skills                      ,716,,384,37,818,,603,,862,,586,,891,,630,,951,
,,"200100 - Psychology, General                     ",,,,,,,,,,,,,,,,,39,
,,493085 - English as a Second Language - Reading  ,,,,,,8,,,,,13,8,,,,,,
,,493086 - English as a Second Language - Listening,,,,,,,,,24,,,,23,,17,,19,
,,493087 - English as a Second Language - Integrate,62,,32,,76,,70,17,68,20,45,,48,,38,16,57,21
