,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,150700 - Creative Writing                        ,104,,87,,98,,106,,124,,115,,114,,57,,,
,,150900 - Philosophy                              ,612,,728,84,654,,675,178,637,,726,207,702,,701,,,
,,152000 - Reading                                 ,86,,98,62,66,,87,62,75,,95,58,66,,78,,,
,,159900 - Other Humanities                        ,81,,83,,84,,101,,85,,59,34,69,,44,,,
,,"160100 - Library Science, General                ",46,,26,29,51,,41,30,55,,46,24,67,,49,,,
,,160200 - Library Technician (Aide)               ,122,,143,30,127,,165,66,145,,203,63,173,,192,,,
,,"170100 - Mathematics, General                    ","3,884",,"3,329","1,232","3,234",,"3,147","1,291","3,611",,"3,361","1,375","3,679",,"3,591",,,
,,"190200 - Physics, General                        ",284,,302,82,330,,313,85,347,,378,83,382,,402,,,
,,"190500 - Chemistry, General                      ","1,600",,"1,006",220,"1,051",,"1,113",230,"1,126",,"1,152",304,"1,199",,"1,218",,,
,,191100 - Astronomy                               ,202,,99,44,152,,93,45,193,,156,87,209,,130,,,
,,191400 - Geology                                 ,93,,97,,103,,90,,110,,78,,105,,108,,,
,,193000 - Earth Science                           ,65,,52,,36,,33,,52,,31,,41,,38,,,
,,"200100 - Psychology, General                     ","2,190",,"2,111",573,"2,207",,"2,226",722,"2,574",,"2,501",674,"2,626",,"2,445",,,
,,210500 - Administration of Justice               ,986,,930,220,936,,882,205,924,,868,213,945,,956,,,
,,210510 - Corrections                             ,98,,60,30,59,,56,32,85,,53,31,77,,55,,,
,,220110 - Women's Studies                         ,109,,112,,110,,95,78,113,,71,61,105,,75,,,
,,220130 - Social Justice Studies                  ,,,,,,,,,,,,,17,,,,,
,,220160 - Social Justice: Chicano Studies         ,,,,,,,,,,,31,,,,18,,,
,,220200 - Anthropology                            ,"1,219",,"1,309",548,"1,171",,"1,187",589,"1,263",,"1,262",511,"1,281",,"1,189",,,
,,220220 - Archaeology                             ,36,,28,,27,,27,,21,,46,,28,,23,,,
,,220300 - Ethnic Studies                          ,150,,222,101,396,,609,355,979,,"1,104",458,"1,313",,"1,368",,,
,,220400 - Economics                               ,707,,656,375,650,,755,389,647,,715,344,726,,722,,,
,,220500 - History                                 ,"1,859",,"1,795",545,"1,844",,"1,800",550,"1,875",,"1,896",521,"2,105",,"1,918",,,
,,220600 - Geography                               ,537,,588,104,539,,503,89,528,,526,107,510,,477,,,
,,220610 - Geographic Information Systems          ,16,,12,,18,,23,,18,,18,,14,,17,,,
,,220700 - Political Science                       ,707,,661,216,581,,652,235,709,,661,286,669,,677,,,
,,220710 - Student Government                      ,16,,,,13,,5,,11,,11,,12,,16,,,
,,220800 - Sociology                               ,"1,453",,"1,398",374,"1,399",,"1,296",386,"1,352",,"1,295",362,"1,291",,"1,181",,,
,,221020 - Global Studies                          ,35,,80,,62,,64,,69,,53,,65,,51,,,
,,300700 - Cosmetology and Barbering               ,199,,135,,144,,165,53,210,,126,90,131,,167,,,
,,302000 - Aviation and Airport Management and Serv,134,,77,,95,,101,36,135,,125,43,221,,173,,,
,,493010 - Career Guidance and Orientation         ,,,26,,,,26,,,,,,,,,,,
,,493011 - Interpersonal Skills                    ,88,,,,70,,,54,72,,,,87,,28,,,
,,493012 - Job Seeking/Changing Skills             ,148,,62,12,131,,62,19,133,,72,47,187,,87,,,
,,493013 - Academic Guidance                       ,"1,431",,515,150,"1,356",,709,222,"1,617",,833,232,"1,729",,927,,,
,,493014 - Study Skills                            ,19,,9,,16,,14,,29,,6,,,,17,,,
,,"493032 - Learning Skills, Learning Disabled      ",7,,3,,11,,12,,18,,16,,9,,10,,,
,,493072 - Leadership Skills Development           ,,,,,1,,,,,,,,,,,,,
