,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,123030 - Certified Nurse Assistant               ,66,,70,38,60,,70,38,70,,36,40,68,,79,44,83,
,,123080 - Home Health Aide                        ,,,,,,,,,,,,,,,43,,30,
,,126100 - Community Health Care Worker            ,29,,37,,29,,26,,32,,35,,31,,30,,31,
,,126200 - Massage Therapy                         ,29,,50,,29,,30,,27,,34,,27,,35,,,
,,127000 - Kinesiology                             ,159,,181,24,174,,201,27,178,,196,24,186,,171,24,187,
,,130500 - Child Development/Early Care and Educati,786,,817,240,646,,738,286,754,,805,267,787,,761,298,782,
,,130520 - Children with Special Needs             ,20,,31,17,25,,25,24,33,,35,,26,,24,,24,
,,130580 - Child Development Administration and Man,171,,180,38,148,,211,38,120,,212,41,136,,162,37,115,
,,130590 - Infants and Toddlers                    ,71,,,31,30,,29,37,18,,,68,15,,35,,24,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",114,,108,,118,,115,,231,,167,22,153,,149,30,413,
,,130700 - Hospitality                             ,67,,115,,65,,114,,77,,122,,67,,62,1,75,
,,130710 - Restaurant and Food Services and Managem,18,,13,,33,,26,,37,,45,,16,,35,,28,
,,130900 - Gerontology                             ,32,,34,,39,,43,,55,,35,,38,,39,,71,
,,150100 - English                                 ,"2,805",,"2,204",402,"2,438",,"2,328",528,"2,572",,"2,500",612,"2,511",,"2,527",680,"2,729",
,,150110 - Linguistics                             ,31,,11,,34,,18,,24,,28,,25,,18,,20,
,,150200 - Language Arts                           ,38,,28,32,31,,30,27,32,,32,,30,,27,22,34,
,,150300 - Comparative Literature                  ,147,,123,27,109,,81,34,152,,127,37,129,,143,41,126,
,,150400 - Classics                                ,33,,30,,33,,26,,33,,60,15,32,,34,,37,
,,150600 - Speech Communication                    ,"1,452",,"1,257",443,"1,472",,"1,415",595,"1,513",,"1,442",624,"1,526",,"1,511",600,"1,577",
,,150900 - Philosophy                              ,498,,404,168,439,,459,189,520,,519,155,459,,494,149,450,
,,151000 - Religious Studies                       ,219,,230,88,222,,195,95,238,,209,87,243,,214,123,227,
,,152000 - Reading                                 ,74,,97,,77,,86,,87,,80,,83,,113,,68,
,,"160100 - Library Science, General                ",100,,154,43,103,,111,42,107,,115,30,98,,71,,117,
,,"170100 - Mathematics, General                    ","2,358",,"1,923","1,012","2,319",,"2,168","1,096","2,639",,"2,420","1,091","2,519",,"2,405","1,147","2,645",
,,"190100 - Physical Sciences, General              ",71,,46,,30,,56,29,54,,83,25,50,,57,29,50,
,,"190200 - Physics, General                        ",545,,587,,558,,585,,552,,668,,592,,740,,678,
,,"190500 - Chemistry, General                      ","1,639",,"1,340",377,"1,440",,"1,346",340,"1,465",,"1,560",331,"1,633",,"1,590",335,"1,859",
,,191100 - Astronomy                               ,99,,115,29,113,,107,27,136,,116,22,136,,96,23,96,
,,191400 - Geology                                 ,214,,225,24,165,,170,37,148,,198,31,179,,158,35,178,
,,191900 - Oceangraphy                             ,442,,419,59,390,,407,69,450,,442,65,490,,513,78,473,
,,193000 - Earth Science                           ,153,,175,45,117,,125,68,120,,159,35,106,,155,33,124,
,,"200100 - Psychology, General                     ","1,767",,"1,639",322,"1,745",,"1,751",425,"1,953",,"1,959",443,"1,952",,"1,939",462,"1,963",
,,200300 - Behavioral Science                      ,223,,204,73,87,,101,,85,,90,,83,,97,,109,
,,210400 - Human Services                          ,43,,40,,39,,71,,35,,68,,33,,102,,35,
,,210500 - Administration of Justice               ,360,,338,46,377,,363,37,371,,366,37,332,,371,40,376,
,,220200 - Anthropology                            ,566,,500,164,577,,535,182,562,,593,178,507,,521,141,585,
