,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,Credit - Not Degree Applicable                     Total,,453,,298,4,533,,321,4,418,,331,,468,,403,,427,
,,070200 - Computer Information Systems            ,,,,,,,,,,,5,,,,,,,
,,083500 - Physical Education                      ,4,,5,4,10,,13,4,5,,,,10,,13,,11,
,,122500 - Radiologic Technology                   ,3,,,,,,,,,,,,,,,,,
,,125000 - Emergency Medical Services              ,,,,,,,,,1,,1,,,,,,,
,,127000 - Kinesiology                             ,47,,27,,,,,,,,,,,,,,,
,,150100 - English                                 ,183,,51,,90,,80,,48,,48,,69,,57,,71,
,,170200 - Mathematics Skills                      ,91,,101,,322,,116,,237,,143,,257,,194,,177,
,,213350 - Fire Academy                            ,121,,113,,108,,109,,121,,133,,132,,139,,168,
,,"493032 - Learning Skills, Learning Disabled      ",4,,1,,3,,3,,6,,1,,,,,,,
