,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"220100 - Social Sciences, General                ",4,,,,,,7,,,,7,,,,11,,,
,,220200 - Anthropology                            ,110,,105,82,109,,90,119,136,,144,133,124,,166,142,120,
,,220300 - Ethnic Studies                          ,379,,424,172,515,,611,377,908,,781,407,987,,974,310,818,
,,220400 - Economics                               ,241,,319,83,314,,320,107,308,,297,132,369,,338,151,372,
,,220500 - History                                 ,316,,456,74,382,,391,107,403,,339,134,423,,370,129,268,
,,220600 - Geography                               ,80,,131,,109,,134,,111,,107,,126,,125,,119,
,,220700 - Political Science                       ,260,,276,91,164,,242,94,185,,221,92,183,,237,69,179,
,,220800 - Sociology                               ,355,,333,87,318,,340,81,345,,393,129,403,,407,155,425,
,,221020 - Global Studies                          ,,,,,,,,,31,,13,,13,,11,,18,
,,300700 - Cosmetology and Barbering               ,76,,68,40,96,,109,24,119,,115,58,146,,145,54,145,
,,493010 - Career Guidance and Orientation         ,415,,408,61,407,,524,60,428,,402,33,444,,440,46,403,
,,493012 - Job Seeking/Changing Skills             ,49,,,,58,,,,27,,,,44,,,,48,
,,493013 - Academic Guidance                       ,251,,39,,179,,,,189,,6,,73,,23,,80,
,,493014 - Study Skills                            ,24,,11,,,,,,,,,,,,,,,
,,493084 - English as a Second Language - Writing  ,41,,78,,59,,80,,76,,87,,81,,80,,74,
,,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,12,,11,,,
,,493200 - General Work Experience                 ,10,,9,,16,,16,,135,,15,,,,,,,
,,499900 - Other Interdisciplinary Studies         ,23,,32,,45,,44,,58,,53,,50,,77,,88,
,Credit - Not Degree Applicable                     Total,,436,,453,67,614,,595,43,936,,813,68,"1,093",,865,61,"1,087",
,,100400 - Music                                   ,5,,,,5,,,,8,,,,10,,1,,12,
,,123010 - Registered Nursing                      ,,,,,,,,,,,,,36,,,,9,
,,125000 - Emergency Medical Services              ,,,,,,,,,34,,52,,64,,63,,69,
,,150100 - English                                 ,,,,,,,,,2,,,,,,,,,
,,"170100 - Mathematics, General                    ",218,,232,18,299,,244,,335,,206,,358,,184,,385,
,,213300 - Fire Technology                         ,14,,4,16,14,,26,18,17,,21,19,16,,21,16,21,
,,"493032 - Learning Skills, Learning Disabled      ",,,,,,,,,,,,,,,,10,,
,,493084 - English as a Second Language - Writing  ,79,,80,11,120,,134,9,199,,201,11,208,,211,10,217,
,,493085 - English as a Second Language - Reading  ,29,,37,6,61,,63,7,98,,118,8,93,,139,6,97,
,,493086 - English as a Second Language - Listening,91,,100,16,115,,128,9,243,,215,30,308,,246,19,277,
