,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,123030 - Certified Nurse Assistant               ,57,,20,,61,,92,78,65,,97,78,80,,118,80,82,
,,124020 - Dental Hygienist                        ,,,,,,,,37,,,,41,,,,47,,
,,125000 - Emergency Medical Services              ,6,,6,,2,,5,,3,,2,,1,,3,,,
,,130800 - Family Studies                          ,,,,,100,,110,,165,,242,,181,,207,,142,
,,150100 - English                                 ,536,,386,75,496,,339,58,472,,353,86,485,,332,82,375,
,,152000 - Reading                                 ,10,,,,,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",475,,323,45,137,,74,,126,,96,,136,,97,,135,
,,170200 - Mathematics Skills                      ,214,,113,40,418,,399,50,667,,670,59,782,,688,51,705,
,,210500 - Administration of Justice               ,13,,16,,,,20,,,,21,,,,14,,,
,,210550 - Police Academy                          ,30,,,,11,,11,,18,,17,8,16,,23,,16,
,,213300 - Fire Technology                         ,,,,20,14,,19,26,25,,37,33,25,,32,38,31,
,,213350 - Fire Academy                            ,,,,,11,,26,,4,,15,6,10,,36,,51,
,,493013 - Academic Guidance                       ,16,,27,,,,,,,,,,,,,,,
,,"493032 - Learning Skills, Learning Disabled      ",47,,7,,37,,73,,71,,59,,55,,37,10,89,
,,493084 - English as a Second Language - Writing  ,,,,,,,,,,,37,,,,15,,,
,,493086 - English as a Second Language - Listening,24,,,,15,,14,,13,,11,,12,,15,,15,
,,493087 - English as a Second Language - Integrate,389,,312,69,319,,357,83,484,,499,90,550,,452,92,501,
