,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,493010 - Career Guidance and Orientation         ,231,98,161,237,281,99,156,959,"1,012",79,265,"1,329",328,56,285,"1,105",355,
,,493011 - Interpersonal Skills                    ,,,,,15,,,,32,,,,40,,,,21,
,,493013 - Academic Guidance                       ,303,321,271,84,278,234,346,125,330,217,351,107,"1,511",300,538,135,"1,562",
,,493072 - Leadership Skills Development           ,,,,,,,,,,,,,,,,,11,
,,493084 - English as a Second Language - Writing  ,306,58,258,55,259,52,246,52,284,53,295,58,470,53,447,56,514,
,,493085 - English as a Second Language - Reading  ,258,58,194,43,232,52,187,49,239,54,239,47,427,87,502,84,525,
,,493086 - English as a Second Language - Listening,148,,105,,159,,137,,135,,213,,326,,398,,399,
,,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,,,,22,42,
,,493200 - General Work Experience                 ,,,,,,,5,,,,5,,6,,6,,4,
,,499900 - Other Interdisciplinary Studies         ,,,,,,,,,,,,,82,,112,,140,
,Credit - Not Degree Applicable                     Total,,"1,035",173,874,156,832,143,980,177,"1,163",186,"1,562",200,"1,254",115,998,62,859,
,,020100 - Architecture and Architectural Technolog,12,2,28,,,6,6,24,16,,10,,32,8,,,,
,,051400 - Office Technology/Office Computer Applic,,,,,6,,6,,6,,2,,14,,18,,10,
,,095630 - Machining and Machine Tools             ,,,,,,,8,,,,2,,8,,6,,,
,,100200 - Art                                     ,,,,,,,13,,,,,,11,,6,,12,
,,100210 - Painting and Drawing                    ,3,,4,,9,,12,,,,1,,7,,,,4,
,,100220 - Sculpture                               ,,,,,,,10,,,,,,6,,8,,9,
,,125000 - Emergency Medical Services              ,,,,,,,,,,,20,,19,,,,17,
,,130620 - Dietetic Services and Management        ,,11,,,,12,,,,9,,,,5,,,,
,,150100 - English                                 ,72,21,55,21,32,,40,24,34,12,53,23,47,18,55,,,
,,"170100 - Mathematics, General                    ",186,44,106,34,,,,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,15,,4,,7,,7,,9,,16,,12,,26,,26,
,,302020 - Piloting                                ,,,12,4,4,,5,7,5,,4,,12,,8,,10,
,,"493032 - Learning Skills, Learning Disabled      ",22,,16,,13,,17,,15,,10,,12,,7,,,
,,493084 - English as a Second Language - Writing  ,219,21,210,36,230,43,272,43,364,57,507,68,347,30,274,25,241,
,,493085 - English as a Second Language - Reading  ,272,74,208,61,288,82,312,79,405,108,504,109,362,54,246,37,231,
,,493086 - English as a Second Language - Listening,156,,150,,172,,224,,228,,346,,276,,227,,209,
,,493087 - English as a Second Language - Integrate,78,,81,,71,,48,,81,,87,,89,,117,,90,
