,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,061440 - Animation                               ,21,,,,,,,,,,,,,,,,,
,,085000 - Sign Language                           ,32,,,,15,,,,9,,,,19,,,,,
,,095200 - Construction Crafts Technology          ,26,,44,,61,,61,,43,,49,,47,,43,,,
,,101200 - Applied Photography                     ,,,,,,,,,,,,,14,,,,,
,,125000 - Emergency Medical Services              ,,,,,,,,11,,,,30,,,,,,
,,150100 - English                                 ,140,,101,5,93,,75,12,95,,49,6,74,,81,10,41,
,,"170100 - Mathematics, General                    ",153,,36,,167,,177,81,226,,53,72,111,,76,,,
,,170200 - Mathematics Skills                      ,144,,75,33,113,,95,69,158,,56,74,218,,219,100,14,
,,"493032 - Learning Skills, Learning Disabled      ",37,,13,,45,,25,,48,,50,,60,,45,,56,
,,493084 - English as a Second Language - Writing  ,345,,325,8,209,,277,20,264,,275,,304,,329,,,
,,493086 - English as a Second Language - Listening,109,,85,,180,,173,,197,,196,15,261,,256,,,
,,493200 - General Work Experience                 ,,,,,1,,,,,,,,,,,,,
