,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Drafting Technology-095300,7,,5,5,3,
,,Emergency Medical Services-125000,19,,22,3,18,
,,Energy Systems Technology-094610,1,,,,,
,,English as a Second Language - Integrated-493087,14,,10,8,16,
,,Fashion Design-130310,5,,1,5,2,
,,Fashion Merchandising-130320,11,,3,7,2,
,,Forestry-011400,1,,4,1,,
,,Geographic Information Systems-220610,4,,3,5,3,
,,Graphic Art and Design-103000,47,,26,7,38,
,,Industrial Electronics-093420,8,,15,6,7,
,,Infants and Toddlers-130590,5,,6,2,1,
,,Manufacturing and Industrial Technology-095600,2,,9,2,6,
,,Mechanical Drafting-095340,3,,,,1,
,,Multimedia-061410,6,,10,,6,
,,Office Technology/Office Computer Applications-051400,24,,16,10,6,
,,Other Health Occupations-129900,6,,8,7,5,
,,Paramedic-125100,2,,6,4,5,
,,Small Business and Entrepreneurship-050640,4,,5,,3,
,,Software Applications-070210,8,,7,3,5,
,,Technical Theater-100600,2,,2,1,8,
,,Welding Technology-095650,8,,16,6,6,
,Noncredit award requiring from 288 to < 480 hours            Total,,,10,12,29,7,
,,English as a Second Language - Integrated-493087,,10,12,29,7,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,1,,,
,,Construction Crafts Technology-095200,,,1,,,
