,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Fire Academy-213350,,,,,5,
,,Fire Technology-213300,,,,,4,
,,Horticulture-010900,3,1,4,,,
,,Landscape Design and Maintenance-010910,2,1,1,,,
,,Licensed Vocational Nursing-123020,9,23,17,18,16,
,,Marketing and Distribution-050900,,1,,,,
,,Medical Assisting-120800,12,12,7,7,15,
,,Multimedia-061410,5,2,1,4,6,
,,Office Technology/Office Computer Applications-051400,10,7,2,3,1,
,,Real Estate-051100,2,13,11,7,7,
,,Sign Language Interpreting-085010,15,17,10,4,8,
,,Sign Language-085000,17,24,13,10,10,
,,Small Business and Entrepreneurship-050640,1,,1,,,
,,Software Applications-070210,1,4,3,4,4,
,,The School Age Child-130550,2,5,,1,1,
,,Transfer Studies-490110,662,722,620,541,690,
,,Wildland Fire Technology-213310,,,2,5,8,
,Certificate requiring 16 to fewer than 30 semester units     Total,,246,296,256,299,401,
,,Accounting-050200,1,3,3,2,2,
,,Aeronautical and Aviation Technology-095000,5,11,15,20,26,
,,Aircraft Fabrication-095050,114,178,121,141,201,
,,Applied Photography-101200,6,8,7,14,5,
,,Automotive Technology-094800,2,7,,7,6,
,,Child Development/Early Care and Education-130500,,,,,61,
,,Clinical Medical Assisting-120810,19,14,10,11,1,
,,Commercial Music-100500,4,2,12,8,7,
,,Computer Graphics and Digital Imagery-061460,9,3,13,9,1,
,,Computer Information Systems-070200,,6,2,12,9,
,,Computer Networking-070810,5,9,5,9,4,
,,Desktop Publishing-061450,1,1,,1,,
,,Educational Aide (Teacher Assistant)-080200,2,3,3,4,4,
,,Electrical-095220,2,3,3,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,,4,4,
,,Environmental Control Technology-094600,19,14,3,10,10,
,,Fire Academy-213350,,,,3,3,
,,Fire Technology-213300,11,5,8,7,9,
,,Manufacturing and Industrial Technology-095600,24,,18,3,8,
,,Multimedia-061410,,,,,2,
,,Office Management-051440,,,,9,11,
,,Office Technology/Office Computer Applications-051400,9,5,2,1,,
,,Real Estate-051100,7,11,14,8,8,
,,Software Applications-070210,,,,,3,
,,Welding Technology-095650,6,13,17,16,16,
,Certificate requiring 8 to fewer than 16 semester units      Total,,35,14,18,22,128,
,,Aeronautical and Aviation Technology-095000,,,,,3,
,,Child Development/Early Care and Education-130500,,,,,90,
,,Fitness Trainer-083520,2,2,3,2,1,
,,Geographic Information Systems-220610,,3,,,5,
,,Industrial Electronics-093420,33,9,13,12,18,
,,Industrial Quality Control-095680,,,,,1,
,,Office Management-051440,,,1,8,10,
,,Wildland Fire Technology-213310,,,1,,,
,Certificate requiring 6 to < 18 semester units               Total,,137,173,203,197,189,
,,Aircraft Fabrication-095050,132,171,190,191,182,
,,Drafting Technology-095300,,1,13,6,7,
,,Landscape Design and Maintenance-010910,1,,,,,
,,Office Technology/Office Computer Applications-051400,4,1,,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,81,58,37,64,69,
,,English as a Second Language - Integrated-493087,6,3,5,6,1,
,,Office Technology/Office Computer Applications-051400,,,,,24,
,,Other Public and Protective Services-219900,,,,,3,
,,Registered Nursing-123010,75,55,32,58,41,
