,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Child Development/Early Care and Education-130500,21,25,17,19,9,
,,Civil and Construction Management Technology-095700,7,6,9,9,19,
,,Commercial Music-100500,,,,,1,
,,Computer Graphics and Digital Imagery-061460,1,,,,,
,,Computer Information Systems-070200,,,7,8,8,
,,Computer Infrastructure and Support-070800,24,21,12,23,22,
,,Computer Programming-070710,24,45,31,35,39,
,,Culinary Arts-130630,,16,7,11,12,
,,Database Design and Administration-070720,8,13,11,8,6,
,,Drafting Technology-095300,7,6,7,3,10,
,,Educational Aide (Teacher Assistant)-080200,21,13,7,10,8,
,,Electronics and Electric Technology-093400,15,31,34,19,31,
,,Energy Systems Technology-094610,1,5,3,4,4,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,1,4,6,
,,Environmental Control Technology-094600,8,18,10,14,13,
,,Equine Science-010240,5,1,4,3,2,
,,Fashion Design-130310,3,2,13,12,6,
,,Fashion Merchandising-130320,11,12,8,12,12,
,,Fire Technology-213300,54,77,70,63,76,
,,Geographic Information Systems-220610,,,,1,3,
,,Graphic Art and Design-103000,6,2,,,,
,,"Health Occupations, General-120100",6,8,7,8,3,
,,Horticulture-010900,5,16,5,5,11,
,,Hospitality-130700,13,9,8,5,10,
,,Interior Design and Merchandising-130200,12,11,14,16,7,
,,International Business and Trade-050800,,4,3,4,6,
,,Laboratory Science Technology-095500,5,4,2,4,2,
,,Manufacturing and Industrial Technology-095600,,2,4,4,6,
,,Marketing and Distribution-050900,10,9,9,10,7,
,,Medical Laboratory Technology-120500,26,27,26,23,14,
,,Office Technology/Office Computer Applications-051400,10,11,7,7,16,
,,Other Information Technology-079900,,,1,4,6,
,,Other Media and Communications-069900,9,7,11,6,18,
,,Paralegal-140200,63,41,40,55,48,
,,Paramedic-125100,2,8,4,9,2,
,,Parks and Outdoor Recreation-011510,2,3,,2,6,
,,Piloting-302020,62,50,43,43,45,
,,Psychiatric Technician-123900,4,5,6,5,6,
,,Radio-060410,,,8,2,7,
,,Radiologic Technology-122500,22,33,22,26,33,
,,Real Estate-051100,7,3,5,8,6,
,,Registered Nursing-123010,110,112,109,116,112,
,,Respiratory Care/Therapy-121000,21,17,24,16,25,
,,Retail Store Operations and Management-050650,,1,2,2,3,
,,Sign Language Interpreting-085010,15,13,12,16,10,
,,Small Business and Entrepreneurship-050640,6,10,10,11,14,
,,Television (including combined TV/Film/Video)-060420,11,15,26,5,13,
,,Veterinary Technician (Licensed)-010210,11,15,52,27,25,
,,Welding Technology-095650,8,13,7,23,9,
,,Wildland Fire Technology-213310,,,,,1,
,Associate of Arts (A.A.) degree                              Total,,"1,344","1,262","1,022","1,156",980,
,,Biological and Physical Sciences (and Mathematics)-490200,108,130,96,92,79,
,,"Business and Commerce, General-050100",116,133,89,132,104,
,,Dance-100800,6,2,4,9,11,
,,Environmental Studies-030200,7,18,11,7,17,
,,"Fine Arts, General-100100",15,13,17,15,22,
,,"Foreign Languages, General-110100",68,53,43,35,36,
,,Humanities and Fine Arts-490310,,,1,,,
,,Humanities-490300,8,6,6,3,8,
,,"Information Technology, General-070100",1,19,12,22,18,
,,Language Arts-150200,4,17,35,30,34,
,,"Mathematics, General-170100",51,47,21,41,37,
,,Music-100400,4,1,4,5,,
,,Physical Education-083500,431,382,350,379,339,
,,"Social Sciences, General-220100",476,413,306,354,250,
,,Speech Communication-150600,49,28,26,32,25,
,,Transfer Studies-490110,,,1,,,
,Certificate requiring 30 to < 60 semester units              Total,,197,268,335,381,343,
,,Accounting-050200,1,,,,2,
,,Administration of Justice-210500,4,3,5,3,5,
,,Alcohol and Controlled Substances-210440,24,36,30,24,28,
,,Animation-061440,,,,,3,
,,Applied Photography-101200,1,6,4,8,4,
,,Architecture and Architectural Technology-020100,12,12,9,14,25,
,,Aviation Airframe Mechanics-095010,8,10,8,20,13,
,,Aviation Powerplant Mechanics-095020,5,7,20,21,17,
,,Child Development Administration and Management-130580,1,2,3,5,6,
,,Child Development/Early Care and Education-130500,2,6,2,4,1,
,,Children with Special Needs-130520,3,3,,3,1,
,,Computer Electronics-093410,7,18,12,6,15,
,,Culinary Arts-130630,1,2,6,2,2,
,,Drafting Technology-095300,9,3,7,,7,
,,Electronics and Electric Technology-093400,9,20,13,8,7,
,,Energy Systems Technology-094610,2,8,3,12,9,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,12,27,26,
,,Environmental Control Technology-094600,22,37,33,23,34,
,,Environmental Technology-030300,,,,1,1,
,,General Studies-493000,,,65,89,65,
,,Graphic Art and Design-103000,5,2,5,7,6,
,,Infants and Toddlers-130590,,3,,,,
,,Interior Design and Merchandising-130200,14,19,24,21,12,
,,Landscape Design and Maintenance-010910,,,1,1,,
,,Manufacturing and Industrial Technology-095600,1,,4,2,3,
,,Music-100400,,,,,1,
,,Paramedic-125100,,26,19,28,13,
,,Psychiatric Technician-123900,51,27,35,34,24,
,,Retail Store Operations and Management-050650,1,,2,,1,
,,Sign Language Interpreting-085010,8,12,7,10,1,
,,Sign Language-085000,,,,,1,
,,Technical Theater-100600,,,2,1,,
,,Telecommunications Technology-093430,4,,,,,
,,The School Age Child-130550,,1,,1,,
,,Welding Technology-095650,2,5,4,6,10,
,Certificate requiring 16 to fewer than 30 semester units     Total,,315,520,644,599,617,
,,Accounting-050200,34,33,39,32,16,
,,Anatomy and Physiology-041000,,1,3,11,7,
,,Animal Science-010200,2,4,8,6,6,
,,Animation-061440,5,,8,7,8,
,,Applied Photography-101200,2,15,8,12,11,
,,Architecture and Architectural Technology-020100,28,47,40,63,71,
,,Business Management-050600,35,52,33,48,64,
,,Child Development/Early Care and Education-130500,48,63,81,98,98,
,,Civil and Construction Management Technology-095700,2,,1,2,6,
,,Commercial Dance-100810,3,1,2,3,5,
,,Computer Networking-070810,4,13,6,9,4,
,,Computer Programming-070710,2,5,1,1,4,
,,Culinary Arts-130630,,,3,3,4,
,,Digital Media-061400,,,2,1,5,
,,Drafting Technology-095300,16,15,11,4,29,
,,Dramatic Arts-100700,,,1,1,2,
,,Electronics and Electric Technology-093400,4,31,19,16,14,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,12,19,15,
,,English as a Second Language - Integrated-493087,,,95,,,
,,Equine Science-010240,2,2,4,5,6,
,,Fashion Design-130310,4,5,33,32,14,
,,Fashion Merchandising-130320,8,10,7,16,5,
,,Fire Technology-213300,30,47,30,32,29,
,,Fitness Trainer-083520,1,5,4,9,11,
,,Geographic Information Systems-220610,,,,3,11,
,,Graphic Art and Design-103000,9,17,20,10,10,
,,Horticulture-010900,,3,4,3,3,
,,Hospitality-130700,,1,2,,2,
,,Infants and Toddlers-130590,,,1,1,2,
,,International Business and Trade-050800,5,7,6,6,8,
,,Landscape Design and Maintenance-010910,26,41,34,58,44,
,,Marketing and Distribution-050900,2,,1,,2,
,,Music-100400,,,,3,4,
,,Nursery Technology-010930,5,4,4,6,5,
,,"Nutrition, Foods, and Culinary Arts-130600",4,6,7,6,3,
,,Office Technology/Office Computer Applications-051400,10,31,6,12,24,
,,Parks and Outdoor Recreation-011510,3,3,3,8,1,
,,Radio and Television-060400,,,1,,1,
,,Radio-060410,,,4,1,4,
,,Radiologic Technology-122500,,14,13,3,10,
,,Real Estate-051100,4,4,1,7,8,
,,Retail Store Operations and Management-050650,1,,1,,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,67,,,
,,Small Business and Entrepreneurship-050640,12,26,9,22,14,
,,Software Applications-070210,,1,1,,1,
,,Speech Communication-150600,,,1,1,1,
,,Television (including combined TV/Film/Video)-060420,,,2,4,6,
,,The School Age Child-130550,,,1,4,1,
,,Turfgrass Technology-010940,3,5,2,7,6,
,,Welding Technology-095650,1,8,2,4,12,
,Certificate requiring 8 to fewer than 16 semester units      Total,,112,339,228,283,384,
,,Animal Science-010200,,,8,11,14,
,,Child Development/Early Care and Education-130500,90,114,72,72,79,
,,Civil and Construction Management Technology-095700,,,,3,4,
,,Computer Electronics-093410,,,5,4,14,
,,Computer Information Systems-070200,6,68,34,33,36,
,,Computer Infrastructure and Support-070800,,15,5,11,13,
,,Computer Networking-070810,,12,7,12,18,
,,Computer Programming-070710,,33,17,22,21,
,,Computer Systems Analysis-070730,,9,6,6,3,
,,Consumer Services-130110,1,1,,,,
,,Database Design and Administration-070720,,3,11,2,3,
,,Electronics and Electric Technology-093400,,45,31,45,50,
,,Fashion Design-130310,,,1,3,,
,,Fashion Merchandising-130320,,4,2,5,1,
,,Logistics and Materials Transportation-051000,12,16,12,15,14,
,,Marketing and Distribution-050900,,,,3,8,
,,Music-100400,,5,11,,1,
,,Other Information Technology-079900,,8,,20,20,
,,Paralegal-140200,,,,4,5,
,,Piloting-302020,3,6,2,4,2,
,,Real Estate-051100,,,,,73,
,,World Wide Web Administration-070900,,,4,8,5,
,Certificate requiring 6 to < 18 semester units               Total,,440,480,425,451,417,
,,Accounting-050200,51,81,76,58,65,
,,Animal Science-010200,17,23,8,2,1,
,,Animation-061440,16,13,14,25,28,
,,Architecture and Architectural Technology-020100,14,17,20,30,38,
,,Athletic Training and Sports Medicine-122800,8,9,3,9,8,
,,Business Management-050600,70,82,74,82,92,
,,Child Development Administration and Management-130580,5,1,,,,
,,Civil and Construction Management Technology-095700,4,4,7,12,10,
,,Computer Programming-070710,57,42,16,10,12,
,,Culinary Arts-130630,2,2,6,10,11,
,,Dance-100800,2,2,1,1,2,
,,Electronics and Electric Technology-093400,1,3,1,1,3,
,,"Engineering Technology, General (requires Trigonometry)-092400",,6,,,1,
,,Equine Science-010240,2,7,,,,
,,Fashion Design-130310,1,,2,,,
,,Hospitality-130700,3,4,5,2,4,
,,"Information Technology, General-070100",16,4,,,,
,,Interior Design and Merchandising-130200,10,7,11,11,8,
,,International Business and Trade-050800,12,21,8,14,21,
,,Manufacturing and Industrial Technology-095600,3,11,18,22,18,
,,Marketing and Distribution-050900,,,4,1,1,
,,"Nutrition, Foods, and Culinary Arts-130600",,,2,,,
,,Office Technology/Office Computer Applications-051400,16,17,17,13,16,
,,Other Information Technology-079900,4,4,,,,
,,Paralegal-140200,,,,1,,
,,Physical Education-083500,8,8,6,5,1,
,,Physical Fitness and Body Movement-083510,9,7,1,4,5,
,,Piloting-302020,1,1,5,4,1,
,,Radiologic Technology-122500,5,4,8,9,2,
,,Real Estate-051100,86,74,85,90,18,
,,Restaurant and Food Services and Management-130710,1,5,3,3,4,
,,Tax Studies-050210,5,12,14,19,29,
,,Website Design and Development-061430,6,1,,,,
,,Welding Technology-095650,5,8,10,13,18,
,"Other Credit Award, < 6 semester units                       Total",,22,70,15,75,68,
,,Alcohol and Controlled Substances-210440,22,70,15,75,68,
,Noncredit award requiring from 960+ hours                    Total,,,,,544,303,
,,English as a Second Language - Integrated-493087,,,,435,227,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,,71,76,
,,Vocational ESL-493100,,,,38,,
,Noncredit award requiring from 480 to < 960 hours            Total,,372,524,857,961,"1,540",
,,Business Management-050600,,1,,,1,
,,Certified Nurse Assistant-123030,52,54,73,55,109,
,,Elementary Education (Grades 1-8)-493060,21,3,62,14,82,
,,English as a Second Language - Integrated-493087,235,389,460,695,"1,157",
,,Office Technology/Office Computer Applications-051400,11,43,61,51,60,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,9,34,156,144,131,
,,Vocational ESL-493100,44,,45,2,,
,Noncredit award requiring from 288 to < 480 hours            Total,,520,589,636,262,276,
,,Business Management-050600,,,,,1,
,,Electronics and Electric Technology-093400,10,22,40,32,34,
,,English as a Second Language - Integrated-493087,422,501,489,39,12,
,,General Studies-493000,,,40,43,22,
,,Labor and Industrial Relations-051600,,,,1,,
,,Pharmacy Technology-122100,,,38,51,90,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,88,66,28,96,117,
,,Small Business and Entrepreneurship-050640,,,1,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,145,128,187,421,427,
,,Accounting-050200,,,2,,,
,,Athletic Training and Sports Medicine-122800,17,,,,14,
,,Emergency Medical Services-125000,34,69,98,162,68,
,,Floriculture / Floristry-010920,,2,16,27,1,
,,"Information Technology, General-070100",32,,,,,
,,Logistics and Materials Transportation-051000,,,,19,18,
,,Medical Assisting-120800,36,,24,110,83,
,,Office Technology/Office Computer Applications-051400,26,35,47,88,66,
,,Other Health Occupations-129900,,22,,15,,
,,Real Estate-051100,,,,,57,
,,Small Business and Entrepreneurship-050640,,,,,1,
,,Vocational ESL-493100,,,,,119,
,Noncredit award requiring from 144 to < 192 hours            Total,,171,60,392,276,580,
,,Accounting-050200,41,10,10,16,91,
,,Business Management-050600,,1,1,,,
,,Community Health Care Worker-126100,51,13,,,,
,,English as a Second Language - Listening and Speaking-493086,,,149,112,242,
,,English as a Second Language - Writing-493084,,,106,69,171,
,,Fashion Design-130310,,1,4,3,,
,,Human Services-210400,,,,,35,
,,International Business and Trade-050800,,,1,,,
,,Labor and Industrial Relations-051600,,,2,,,
,,Office Technology/Office Computer Applications-051400,60,22,45,34,25,
,,Other Health Occupations-129900,19,13,72,41,16,
,,Retail Store Operations and Management-050650,,,1,,,
,,Small Business and Entrepreneurship-050640,,,1,1,,
,Noncredit award requiring from 96 to < 144 hours             Total,,75,99,55,138,118,
,,Accounting-050200,22,23,27,33,,
,,General Studies-493000,2,2,1,,,
,,Office Technology/Office Computer Applications-051400,50,74,27,100,118,
,,Small Business and Entrepreneurship-050640,1,,,5,,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,,,56,
,,Horticulture-010900,,,,,56,
,Noncredit award requiring < 48 hours                         Total,,5,33,54,46,75,
,,Elementary Education (Grades 1-8)-493060,5,33,54,46,75,
