,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Natural Resources-011500,6,7,6,3,7,
,,"Nutrition, Foods, and Culinary Arts-130600",7,3,4,3,4,
,,Office Technology/Office Computer Applications-051400,3,2,4,7,7,
,,Printing and Lithography-093600,,1,,,,
,,Radio and Television-060400,14,28,23,24,29,
,,Real Estate-051100,7,3,3,2,3,
,,Sign Language Interpreting-085010,,,4,4,3,
,,Sign Language-085000,13,13,,,,
,,Small Business and Entrepreneurship-050640,6,5,4,2,2,
,,Software Applications-070210,11,7,6,5,8,
,,Tax Studies-050210,4,6,2,,1,
,,Technical Theater-100600,,,,,2,
,,Travel Services and Tourism-300900,,5,,,2,
,,Website Design and Development-061430,5,2,4,5,3,
,,World Wide Web Administration-070900,1,2,1,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,273,395,353,500,449,
,,Automotive Technology-094800,,,1,90,34,
,,Business Administration-050500,,,,,49,
,,"Business and Commerce, General-050100",9,29,24,31,34,
,,Child Development/Early Care and Education-130500,80,108,67,82,96,
,,Commercial Music-100500,20,38,16,18,23,
,,Computer Information Systems-070200,,,1,,,
,,Fitness Trainer-083520,31,34,18,14,24,
,,Gerontology-130900,6,12,11,7,6,
,,Health Information Technology-122300,,,,,4,
,,Horticulture-010900,4,3,,1,3,
,,Library Technician (Aide)-160200,,,,1,6,
,,Marketing and Distribution-050900,5,3,18,15,18,
,,Music-100400,,,11,32,18,
,,"Nutrition, Foods, and Culinary Arts-130600",,,,1,3,
,,Office Technology/Office Computer Applications-051400,,,40,60,,
,,Printing and Lithography-093600,,,,,2,
,,Radio and Television-060400,56,85,70,65,63,
,,Real Estate-051100,61,82,76,83,66,
,,Retail Store Operations and Management-050650,1,1,,,,
,Certificate requiring 6 to < 18 semester units               Total,,248,232,175,142,190,
,,Coaching-083560,2,2,2,3,2,
,,Commercial Music-100500,41,57,29,34,45,
,,Computer Networking-070810,,,2,,,
,,Corrections-210510,5,11,2,1,1,
,,Cosmetology and Barbering-300700,28,8,1,,,
,,Electronics and Electric Technology-093400,2,11,7,7,7,
,,Emergency Medical Services-125000,74,52,78,51,66,
,,Environmental Studies-030200,2,1,1,2,,
,,Fashion Design-130310,4,3,3,2,3,
,,Fashion Merchandising-130320,,5,3,2,1,
,,Film History and Criticism-061210,1,,,,,
,,"Health Occupations, General-120100",,,2,,3,
,,Horticulture-010900,28,21,17,11,14,
,,Landscape Design and Maintenance-010910,12,20,4,3,15,
,,Management Development and Supervision-050630,13,21,10,16,14,
,,Medical Assisting-120800,23,16,14,9,18,
,,Phlebotomy-120510,1,,,,,
,,Physical Education-083500,11,4,,,,
,,Radio and Television-060400,1,,,,,
,,Small Business and Entrepreneurship-050640,,,,1,1,
,Noncredit Adult Education High School Diploma                Total,,,,9,2,6,
,,Elementary Education (Grades 1-8)-493060,,,9,2,6,
,Noncredit award requiring from 960+ hours                    Total,,,10,13,2,20,
,,Cosmetology and Barbering-300700,,,,1,4,
,,English as a Second Language - Integrated-493087,,10,13,1,16,
,Noncredit award requiring from 480 to < 960 hours            Total,,,,,10,6,
,,Cosmetology and Barbering-300700,,,,10,6,
,Noncredit award requiring from 288 to < 480 hours            Total,,,3,440,61,303,
,,Computer Information Systems-070200,,,,1,,
,,Cosmetology and Barbering-300700,,,,1,1,
,,English as a Second Language - Integrated-493087,,3,440,59,302,
,Noncredit award requiring from 192 to < 288 hours            Total,,1,,,1,82,
,,Certified Nurse Assistant-123030,,,,,65,
,,Computer Information Systems-070200,1,,,,2,
,,English as a Second Language - Integrated-493087,,,,1,15,
,Noncredit award requiring from 144 to < 192 hours            Total,,2,3,68,64,13,
,,Certified Nurse Assistant-123030,2,3,57,47,1,
,,Phlebotomy-120510,,,11,17,12,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,39,12,33,
,,English as a Second Language - Integrated-493087,,,39,11,32,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,,1,1,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,6,4,5,
,,Business Management-050600,,,,4,5,
,,Child Development/Early Care and Education-130500,,,6,,,
,Noncredit award requiring < 48 hours                         Total,,,1,14,1,,
,,Registered Nursing-123010,,1,14,1,,
