,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,Certificate requiring 8 to fewer than 16 semester units      Total,,120,112,131,160,
,,Accounting-050200,,3,4,4,
,,Automotive Technology-094800,,1,,4,
,,Computer Information Systems-070200,,,,1,
,,Computer Programming-070710,4,10,11,16,
,,Computer Support-070820,11,15,14,17,
,,Electro-Mechanical Technology-093500,2,5,10,4,
,,Film Production-061220,14,10,9,14,
,,Gerontology-130900,4,4,,5,
,,"Health Occupations, General-120100",27,2,15,24,
,,"Nutrition, Foods, and Culinary Arts-130600",,1,4,5,
,,Office Technology/Office Computer Applications-051400,16,15,12,1,
,,Radio-060410,1,2,3,2,
,,Real Estate-051100,29,27,29,31,
,,Tax Studies-050210,,7,9,12,
,,Technical Theater-100600,,,1,3,
,,Television (including combined TV/Film/Video)-060420,12,10,10,17,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,8,20,
,,Environmental Control Technology-094600,,,8,20,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,6,39,
,,Certified Nurse Assistant-123030,,,3,20,
,,Phlebotomy-120510,,,,8,
,,Vocational ESL-493100,,,3,11,
,Noncredit award requiring < 48 hours                         Total,,,,4,6,
,,Real Estate-051100,,,4,6,
