,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Business Management-050600,3,9,5,7,18,
,,"Chemistry, General-190500",4,1,1,2,2,
,,Child Development/Early Care and Education-130500,3,12,24,15,20,
,,Computer Infrastructure and Support-070800,15,23,41,,,
,,Computer Networking-070810,,,,27,32,
,,Culinary Arts-130630,6,9,6,6,6,
,,Dental Assistant-124010,5,11,21,11,15,
,,Dental Hygienist-124020,17,18,16,17,16,
,,"Engineering, General (requires Calculus) (Transfer)-090100",3,8,,9,10,
,,Environmental Control Technology-094600,4,3,,5,1,
,,Fire Technology-213300,44,51,35,61,31,
,,"Health Professions, Transfer Core Curriculum-126000",,,9,5,65,
,,Human Services-210400,8,6,4,9,7,
,,"Liberal Arts and Sciences, General-490100",,,,1,,
,,Lodging Management-130720,,2,,,,
,,Office Technology/Office Computer Applications-051400,6,3,1,1,,
,,Paralegal-140200,26,18,18,22,22,
,,"Physics, General-190200",4,3,1,2,,
,,Restaurant and Food Services and Management-130710,,1,1,,1,
,,Television (including combined TV/Film/Video)-060420,7,4,9,4,1,
,Associate of Arts (A.A.) degree                              Total,,594,702,852,962,934,
,,Anthropology-220200,8,6,6,1,1,
,,Art-100200,1,,,,,
,,Biological and Physical Sciences (and Mathematics)-490200,179,204,324,384,332,
,,"Biology, General-040100",2,3,,3,,
,,Business Administration-050500,8,11,3,1,,
,,"Chemistry, General-190500",3,4,7,12,12,
,,Economics-220400,3,7,6,5,3,
,,Ethnic Studies-220300,,,,2,1,
,,History-220500,1,,,,,
,,Humanities and Fine Arts-490310,97,130,141,152,153,
,,"Liberal Arts and Sciences, General-490100",251,292,332,365,408,
,,Other Foreign Languages-119900,10,10,,,,
,,Painting and Drawing-100210,2,2,,,1,
,,Philosophy-150900,,2,2,3,4,
,,Political Science-220700,2,1,,2,,
,,"Psychology, General-200100",7,7,7,3,2,
,,Sign Language-085000,,,12,13,8,
,,Sociology-220800,20,23,12,15,9,
,,Transfer Studies-490110,,,,1,,
,Certificate requiring 30 to < 60 semester units              Total,,710,749,882,896,954,
,,Alcohol and Controlled Substances-210440,23,21,26,24,19,
,,Automotive Technology-094800,19,6,20,18,30,
,,"Biology, General-040100",,1,3,,,
,,Business Management-050600,3,10,4,3,20,
,,Computer Infrastructure and Support-070800,13,22,28,,,
,,Computer Networking-070810,,,,32,36,
,,Culinary Arts-130630,9,8,10,9,9,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,1,7,,,
,,Fire Academy-213350,,45,44,42,14,
,,Fire Technology-213300,47,60,43,63,32,
,,"Liberal Arts and Sciences, General-490100",,,,1,,
,,Paralegal-140200,31,23,26,18,23,
,,Restaurant and Food Services and Management-130710,,,1,,1,
,,Transfer Studies-490110,565,552,670,686,770,
,Certificate requiring 16 to fewer than 30 semester units     Total,,134,81,139,310,299,
,,Alcohol and Controlled Substances-210440,3,3,9,10,4,
,,Automotive Collision Repair-094900,4,6,14,8,9,
,,Automotive Technology-094800,33,11,13,71,113,
,,Child Development/Early Care and Education-130500,,19,51,33,29,
,,Computer Infrastructure and Support-070800,,3,,24,22,
,,Dental Assistant-124010,17,14,27,22,19,
,,English as a Second Language - Integrated-493087,,,8,,,
,,Environmental Control Technology-094600,4,3,2,13,6,
,,Fire Academy-213350,50,1,,,,
,,Fire Technology-213300,,1,1,,,
,,"Health Professions, Transfer Core Curriculum-126000",,,,101,83,
,,Human Services-210400,6,6,6,8,6,
,,Lodging Management-130720,1,2,2,,,
,,Office Technology/Office Computer Applications-051400,4,1,,1,,
,,Other Foreign Languages-119900,9,7,,15,,
,,Sign Language-085000,,,,,6,
,,Small Business and Entrepreneurship-050640,,,,,1,
,,Television (including combined TV/Film/Video)-060420,3,4,6,3,1,
,,Transfer Studies-490110,,,,1,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,12,26,213,114,86,
,,Accounting-050200,,,,,1,
,,Alcohol and Controlled Substances-210440,,,7,29,10,
,,Automotive Technology-094800,12,5,124,13,8,
,,Child Development/Early Care and Education-130500,,20,35,38,28,
,,Emergency Medical Services-125000,,,6,4,10,
,,Legal Office Technology-051410,,,,30,26,
,,Logistics and Materials Transportation-051000,,,,,3,
,,Office Technology/Office Computer Applications-051400,,,30,,,
,,Other Foreign Languages-119900,,1,11,,,
,Certificate requiring 6 to < 18 semester units               Total,,123,,,,30,
,,Automotive Collision Repair-094900,,,,,19,
,,Child Development/Early Care and Education-130500,1,,,,,
,,Emergency Medical Services-125000,119,,,,,
,,English as a Second Language - Integrated-493087,,,,,7,
,,Environmental Control Technology-094600,,,,,4,
,,Office Technology/Office Computer Applications-051400,3,,,,,
,"Other Credit Award, < 6 semester units                       Total",,50,,,,6,
,,Automotive Technology-094800,,,,,4,
,,Emergency Medical Services-125000,35,,,,,
,,Environmental Control Technology-094600,,,,,2,
,,Other Public and Protective Services-219900,15,,,,,
,Noncredit award requiring from 288 to < 480 hours            Total,,,1,2,,,
,,Office Technology/Office Computer Applications-051400,,1,2,,,
,Noncredit award requiring from 144 to < 192 hours            Total,,,2,5,,,
,,English as a Second Language - Integrated-493087,,2,5,,,
,Noncredit award requiring from 96 to < 144 hours             Total,,,6,21,52,41,
,,Automotive Technology-094800,,,,,1,
,,English as a Second Language - Integrated-493087,,6,21,52,40,
