,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Vocational ESL-493100,18,13,14,5,,
,Noncredit award requiring from 48 to < 96 hours              Total,,217,139,113,72,94,
,,Animation-061440,5,,,,,
,,Computer Information Systems-070200,,3,,,,
,,Construction Crafts Technology-095200,22,3,6,1,7,
,,English as a Second Language - Integrated-493087,,,,17,4,
,,"Health Occupations, General-120100",45,27,23,20,21,
,,Leadership Skills Development-493072,59,66,47,,,
,,Office Technology/Office Computer Applications-051400,,,,28,45,
,,Photography-101100,47,17,13,6,17,
,,Unknown-999999,,2,1,,,
,,Word Processing-051470,39,21,23,,,
,Noncredit award requiring < 48 hours                         Total,,330,204,99,258,179,
,,Accounting-050200,,,,27,34,
,,Bookkeeping-050220,,18,15,,,
,,Business Management-050600,,10,,,,
,,Computer Graphics and Digital Imagery-061460,,6,,,,
,,Construction Crafts Technology-095200,,,,7,9,
,,Culinary Arts-130630,,11,,,,
,,General Work Experience-493200,50,25,5,,,
,,Interpersonal Skills-493011,14,24,3,20,2,
,,Landscape Design and Maintenance-010910,70,68,43,73,23,
,,Leadership Skills Development-493072,8,3,1,38,41,
,,Management Development and Supervision-050630,,,,7,1,
,,Marketing and Distribution-050900,,,2,,,
,,Mechanical Drafting-095340,,,,,1,
,,Office Management-051440,64,11,16,,,
,,Office Technology/Office Computer Applications-051400,,,,40,24,
,,Other Information Technology-079900,,,2,,,
,,Software Applications-070210,24,,2,3,1,
,,Unknown-999999,10,10,5,43,43,
,,Word Processing-051470,90,18,5,,,
