,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Medical Office Technology-051420,9,12,4,5,5,
,,Mill and Cabinet Work-095250,5,11,8,10,4,
,,Multimedia-061410,1,2,,,1,
,,Musical Instrument Repair-096200,1,,5,2,1,
,,Office Technology/Office Computer Applications-051400,1,3,1,4,2,
,,Parenting and Family Education-130560,11,9,10,2,5,
,,Public Works-210210,12,,1,1,,
,,Real Estate-051100,2,4,4,4,6,
,,Spanish-110500,2,12,6,2,6,
,,Technical Theater-100600,,1,,,,
,,Water and Wastewater Technology-095800,6,6,5,11,1,
,,Website Design and Development-061430,3,3,4,2,6,
,Certificate requiring 8 to fewer than 16 semester units      Total,,68,117,122,166,201,
,,Accounting-050200,,,,14,17,
,,Advertising-050910,,1,2,1,4,
,,Business Management-050600,,,,2,3,
,,Child Development/Early Care and Education-130500,62,60,54,66,66,
,,Commercial Art-101300,,,3,6,11,
,,Computer Infrastructure and Support-070800,,6,2,12,18,
,,Computer Programming-070710,2,5,2,4,6,
,,Drafting Technology-095300,,6,10,8,12,
,,"Education, General-080100",,,,1,,
,,Film Production-061220,,,1,2,3,
,,Film Studies-061200,,5,9,4,3,
,,Geographic Information Systems-220610,,7,6,7,3,
,,Graphic Art and Design-103000,,,2,2,,
,,Industrial Quality Control-095680,,,1,1,2,
,,International Business and Trade-050800,,,,,1,
,,Machining and Machine Tools-095630,,,1,1,2,
,,Mechanical Drafting-095340,,8,7,9,13,
,,Mill and Cabinet Work-095250,4,6,8,14,10,
,,Multimedia-061410,,,2,1,2,
,,Small Business and Entrepreneurship-050640,,,,,4,
,,The School Age Child-130550,,13,12,9,19,
,,Website Design and Development-061430,,,,2,2,
,Certificate requiring 6 to < 18 semester units               Total,,262,293,303,255,272,
,,Accounting-050200,36,23,20,11,,
,,Applied Photography-101200,2,1,6,2,1,
,,Business Management-050600,1,2,1,,,
,,Child Development/Early Care and Education-130500,6,7,,2,,
,,Computer Graphics and Digital Imagery-061460,,,2,,2,
,,Desktop Publishing-061450,1,,,,,
,,Digital Media-061400,,2,2,3,,
,,Electronic Game Design-061420,1,,2,,,
,,Environmental Control Technology-094600,,1,18,11,20,
,,Geographic Information Systems-220610,5,,,,,
,,Graphic Art and Design-103000,,1,,1,,
,,Music-100400,1,1,,1,,
,,Paralegal-140200,1,,,,,
,,Paramedic-125100,167,210,216,195,221,
,,Public Relations-060600,1,,,,,
,,Real Estate-051100,15,13,11,9,10,
,,The School Age Child-130550,9,,,,,
,,Unknown-999999,,,,,1,
,,Welding Technology-095650,16,32,25,20,17,
,Noncredit award requiring from 480 to < 960 hours            Total,,,24,,,,
,,English as a Second Language - Integrated-493087,,24,,,,
,Noncredit award requiring from 288 to < 480 hours            Total,,135,,,,,
,,English as a Second Language - Integrated-493087,47,,,,,
,,"Information Technology, General-070100",25,,,,,
,,Language Arts-150200,63,,,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,,19,20,14,9,
,,Vocational ESL-493100,,19,20,14,9,
,Noncredit award requiring from 144 to < 192 hours            Total,,,40,91,135,274,
,,Business Management-050600,,,14,5,2,
,,English as a Second Language - Integrated-493087,,,54,50,94,
,,English as a Second Language - Listening and Speaking-493086,,27,16,13,24,
,,English as a Second Language - Writing-493084,,13,7,5,2,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,,62,152,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,32,21,62,
,,English as a Second Language - Listening and Speaking-493086,,,32,21,62,
,Noncredit award requiring < 48 hours                         Total,,,,,5,7,
,,Geographic Information Systems-220610,,,,5,6,
,,Other Health Occupations-129900,,,,,1,
