,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,"Education, General-080100",,,,2,1,
,,Humanities and Fine Arts-490310,403,419,304,227,165,
,,Humanities and Social Sciences-490330,962,949,711,564,434,
,,"Liberal Arts and Sciences, General-490100",518,500,318,257,226,
,,Music-100400,8,9,7,13,27,
,,Physical Education-083500,146,156,128,88,83,
,Certificate requiring 30 to < 60 semester units              Total,,233,282,331,319,428,
,,Accounting-050200,15,13,21,20,29,
,,"Business and Commerce, General-050100",20,20,20,26,27,
,,Business Management-050600,31,46,44,42,40,
,,Child Development/Early Care and Education-130500,36,38,21,22,36,
,,Children with Special Needs-130520,5,,1,,,
,,Coaching-083560,4,5,3,1,3,
,,Cosmetology and Barbering-300700,23,42,118,79,92,
,,Digital Media-061400,9,24,15,17,26,
,,Educational Aide (Teacher Assistant)-080200,6,4,,2,5,
,,Environmental Control Technology-094600,,5,16,28,32,
,,International Business and Trade-050800,,,2,,3,
,,Licensed Vocational Nursing-123020,38,46,36,47,66,
,,Marketing and Distribution-050900,10,7,7,6,9,
,,Office Technology/Office Computer Applications-051400,13,5,6,7,8,
,,Printing and Lithography-093600,,,,,11,
,,Real Estate-051100,8,9,10,9,12,
,,Television (including combined TV/Film/Video)-060420,10,12,10,4,21,
,,Welding Technology-095650,5,6,1,9,8,
,Certificate requiring 16 to fewer than 30 semester units     Total,,298,311,357,426,574,
,,Administration of Justice-210500,18,17,17,16,12,
,,Applied Photography-101200,9,10,9,21,28,
,,Art-100200,,5,6,4,6,
,,Athletic Training and Sports Medicine-122800,6,2,4,,3,
,,Automotive Collision Repair-094900,4,9,15,22,20,
,,Automotive Technology-094800,25,34,35,47,76,
,,Computer Infrastructure and Support-070800,12,17,9,65,56,
,,Computer Networking-070810,57,48,26,6,3,
,,Computer Programming-070710,6,11,16,13,14,
,,Computer Support-070820,,,1,3,4,
,,Corrections-210510,1,,,,,
,,Cosmetology and Barbering-300700,2,1,50,18,72,
,,Culinary Arts-130630,37,47,68,73,82,
,,Desktop Publishing-061450,3,5,4,5,15,
,,Dramatic Arts-100700,2,,4,3,3,
,,Environmental Control Technology-094600,35,19,33,47,47,
,,Fitness Trainer-083520,5,6,5,11,11,
,,"Forensics, Evidence, and Investigation-210540",,,3,6,16,
,,Graphic Art and Design-103000,36,38,23,27,37,
,,"Health Occupations, General-120100",,,,,12,
,,Music-100400,12,8,11,12,18,
,,Office Technology/Office Computer Applications-051400,7,5,4,6,1,
,,Sign Language Interpreting-085010,9,8,6,4,7,
,,Small Business and Entrepreneurship-050640,5,8,3,7,16,
,,Technical Theater-100600,,1,2,3,5,
,,Upholstery Repair - Automotive-094910,1,1,1,1,2,
,,World Wide Web Administration-070900,6,11,2,6,8,
,Certificate requiring 8 to fewer than 16 semester units      Total,,19,66,84,132,157,
,,Animation-061440,,22,11,9,17,
,,Applied Photography-101200,,,12,33,26,
,,"Business and Commerce, General-050100",,,,1,,
,,Business Management-050600,,,,,1,
,,Computer Networking-070810,,,,,4,
,,Computer Programming-070710,17,16,11,29,24,
,,Database Design and Administration-070720,,,1,,2,
,,Environmental Control Technology-094600,,10,27,44,46,
,,International Business and Trade-050800,2,5,5,3,3,
,,"Liberal Arts and Sciences, General-490100",,,6,8,16,
,,Medical Office Technology-051420,,,,1,1,
,,Small Business and Entrepreneurship-050640,,1,,1,,
,,Television (including combined TV/Film/Video)-060420,,12,11,2,14,
,,Welding Technology-095650,,,,1,3,
,Certificate requiring 6 to < 18 semester units               Total,,377,364,365,509,552,
,,Accounting-050200,11,19,23,27,37,
,,Administration of Justice-210500,6,4,1,,,
,,"Business and Commerce, General-050100",2,1,2,3,1,
,,Business Management-050600,4,4,2,2,,
,,Certified Nurse Assistant-123030,89,111,141,195,335,
,,Child Development/Early Care and Education-130500,138,127,117,160,124,
,,Cosmetology and Barbering-300700,9,11,3,,,
,,"Forensics, Evidence, and Investigation-210540",16,13,4,5,,
,,Graphic Art and Design-103000,14,4,1,1,,
,,Home Health Aide-123080,,,,,7,
,,Infants and Toddlers-130590,,1,1,,,
,,"Information Technology, General-070100",3,4,,,,
,,International Business and Trade-050800,,1,,,,
,,Legal Office Technology-051410,4,2,1,1,,
,,Marketing and Distribution-050900,1,1,1,,,
,,Music-100400,,,,1,,
,,Office Management-051440,8,3,7,3,,
,,Office Technology/Office Computer Applications-051400,24,12,8,12,5,
,,Other Business and Management-059900,12,5,8,15,10,
,,Real Estate-051100,20,15,15,32,19,
,,Television (including combined TV/Film/Video)-060420,2,,,,,
,,Welding Technology-095650,14,26,30,52,14,
,"Other Credit Award, < 6 semester units                       Total",,,,,4,5,
,,"Nutrition, Foods, and Culinary Arts-130600",,,,4,5,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,2,2,2,
,,English as a Second Language - Integrated-493087,,,2,2,2,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,16,11,11,
,,English as a Second Language - Integrated-493087,,,16,11,11,
,Noncredit award requiring from 48 to < 96 hours              Total,,86,50,138,129,104,
,,Accounting-050200,,9,20,17,18,
,,Automotive Technology-094800,,,11,,,
,,Computer Networking-070810,51,9,48,62,16,
,,Culinary Arts-130630,,,,,16,
,,Digital Media-061400,,,13,15,13,
,,English-150100,,3,5,3,1,
,,Mathematics Skills-170200,,,,,1,
,,Office Technology/Office Computer Applications-051400,2,,,1,1,
,,Other Business and Management-059900,24,25,33,15,22,
,,Small Business and Entrepreneurship-050640,9,4,8,16,16,
,Noncredit award requiring < 48 hours                         Total,,48,60,88,86,54,
,,Banking and Finance-050400,15,10,17,20,7,
,,"Business and Commerce, General-050100",8,,,,,
,,Customer Service-051800,17,17,18,30,10,
,,Office Management-051440,,5,7,7,4,
,,Other Business and Management-059900,,,5,4,2,
,,Sales and Salesmanship-050940,,,5,,,
,,Small Business and Entrepreneurship-050640,8,28,36,25,31,
