,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Child Development Administration and Management-130580,8,4,5,7,8,
,,Child Development/Early Care and Education-130500,10,14,9,10,16,
,,Dramatic Arts-100700,,,,2,3,
,,English-150100,3,1,5,4,1,
,,Ethnic Studies-220300,,,1,1,,
,,Film Production-061220,7,11,8,6,11,
,,Film Studies-061200,7,11,3,8,10,
,,"Fine Arts, General-100100",,,,1,,
,,Fire Technology-213300,,1,1,,,
,,Human Services-210400,9,14,4,6,11,
,,Humanities and Fine Arts-490310,18,25,25,30,38,
,,Humanities and Social Sciences-490330,105,92,95,93,124,
,,Humanities-490300,,,1,,1,
,,Journalism-060200,1,,,,,
,,"Liberal Arts and Sciences, General-490100",6,7,5,5,,
,,Liberal Studies-490120,2,3,4,,1,
,,Marketing and Distribution-050900,4,4,5,9,8,
,,Music-100400,,3,,,3,
,,Physical Education-083500,9,8,6,7,3,
,,Radio and Television-060400,4,2,4,6,6,
,,Radio-060410,2,,,2,1,
,,Real Estate-051100,2,,5,4,9,
,,Restaurant and Food Services and Management-130710,3,4,2,4,4,
,,Sign Language-085000,13,9,4,2,5,
,,Small Business and Entrepreneurship-050640,7,11,8,8,3,
,,"Social Sciences, General-220100",50,41,39,37,56,
,,Spanish-110500,,,1,,,
,,Speech Communication-150600,3,3,3,2,4,
,,Television (including combined TV/Film/Video)-060420,2,1,,3,3,
,,Women's Studies-220110,,,1,,,
,Certificate requiring 30 to < 60 semester units              Total,,59,94,84,57,67,
,,Accounting-050200,8,17,14,3,5,
,,Administrative Medical Assisting-120820,6,5,1,2,1,
,,"Agriculture Business, Sales and Service-011200",,1,,,1,
,,Alcohol and Controlled Substances-210440,1,1,,2,,
,,Architecture and Architectural Technology-020100,5,9,2,3,2,
,,Automotive Technology-094800,,8,16,9,16,
,,Child Development/Early Care and Education-130500,19,5,10,10,13,
,,Computer Networking-070810,1,1,2,1,1,
,,Computer Programming-070710,5,10,8,8,1,
,,Construction Inspection-095720,1,2,1,,1,
,,Diagnostic Medical Sonography-122700,,8,,1,3,
,,Fire Technology-213300,,2,2,1,1,
,,Human Services-210400,3,5,1,1,1,
,,Medical Assisting-120800,10,14,17,16,13,
,,Veterinary Technician (Licensed)-010210,,6,10,,8,
,Certificate requiring 16 to fewer than 30 semester units     Total,,177,196,217,208,223,
,,Accounting-050200,28,11,10,30,16,
,,Administrative Medical Assisting-120820,17,14,10,7,8,
,,Applied Photography-101200,1,4,3,1,1,
,,Architecture and Architectural Technology-020100,4,5,3,3,2,
,,Automotive Technology-094800,5,21,28,14,38,
,,"Business and Commerce, General-050100",9,10,14,12,13,
,,Child Development/Early Care and Education-130500,23,34,20,18,25,
,,Civil and Construction Management Technology-095700,4,12,8,7,3,
,,Commercial Music-100500,,2,,,2,
,,Computer Infrastructure and Support-070800,12,10,15,9,13,
,,Computer Networking-070810,,,4,6,10,
,,Computer Programming-070710,10,8,6,9,6,
,,Computer Software Development-070700,2,2,3,,,
,,Computer Support-070820,,2,3,6,5,
,,Construction Crafts Technology-095200,2,1,11,5,13,
,,Database Design and Administration-070720,19,7,14,9,9,
,,Health Information Coding-122310,5,6,5,3,5,
,,Horticulture-010900,,,4,6,,
,,Infants and Toddlers-130590,9,8,7,4,4,
,,"Information Technology, General-070100",2,7,8,4,10,
,,Landscape Design and Maintenance-010910,,,1,2,,
,,Management Development and Supervision-050630,1,3,3,2,2,
,,Marketing and Distribution-050900,1,2,3,4,2,
,,Music-100400,,,,1,,
,,"Nutrition, Foods, and Culinary Arts-130600",,2,2,1,3,
,,Office Technology/Office Computer Applications-051400,7,6,4,4,4,
,,Pharmacy Technology-122100,,,,7,2,
,,Photography-101100,,,,1,,
,,Radio and Television-060400,3,5,7,7,5,
,,Real Estate-051100,1,3,5,4,1,
,,Restaurant and Food Services and Management-130710,3,3,,1,1,
,,Small Business and Entrepreneurship-050640,5,3,4,5,2,
,,Television (including combined TV/Film/Video)-060420,1,,,5,4,
,,The School Age Child-130550,3,5,2,2,5,
,,Welding Technology-095650,,,10,9,9,
,Certificate requiring 8 to fewer than 16 semester units      Total,,33,43,174,143,240,
,,Automotive Technology-094800,,15,106,58,118,
,,Construction Crafts Technology-095200,,,,3,2,
,,Emergency Medical Services-125000,1,,,20,72,
,,General Studies-493000,12,4,17,19,14,
,,Geography-220600,5,1,1,1,1,
,,"Nutrition, Foods, and Culinary Arts-130600",3,3,1,2,,
,,Real Estate-051100,5,13,19,22,13,
,,Restaurant and Food Services and Management-130710,4,4,5,1,2,
,,Small Business and Entrepreneurship-050640,,,5,3,1,
,,Speech Communication-150600,3,,2,,2,
,,Website Design and Development-061430,,3,2,1,1,
,,Welding Technology-095650,,,16,13,14,
,Certificate requiring 6 to < 18 semester units               Total,,1,1,1,2,3,
,,"Agriculture Technology and Sciences, General-010100",,,1,,,
,,Child Development/Early Care and Education-130500,1,1,,,,
,,English as a Second Language - Reading-493085,,,,2,3,
