,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Anthropology-220200,1,2,6,5,3,
,,Applied Photography-101200,3,5,8,10,8,
,,Art-100200,46,,,2,4,
,,Astronomy-191100,,,1,1,,
,,"Biology, General-040100",28,24,17,21,19,
,,Business Administration-050500,88,120,115,131,133,
,,"Chemistry, General-190500",25,28,22,22,28,
,,Child Development/Early Care and Education-130500,31,36,35,36,27,
,,Commercial Music-100500,,,1,2,,
,,Dance-100800,,2,2,2,4,
,,Dramatic Arts-100700,7,7,6,6,4,
,,Economics-220400,17,14,11,17,9,
,,English-150100,4,6,6,5,4,
,,Ethnic Studies-220300,5,14,10,5,5,
,,Fashion Design-130310,4,5,3,5,,
,,Fashion Merchandising-130320,12,7,6,4,,
,,Fashion-130300,2,,2,,13,
,,"Fine Arts, General-100100",1,54,53,43,62,
,,"Foreign Languages, General-110100",36,62,31,22,26,
,,Geography-220600,2,,1,1,4,
,,Graphic Art and Design-103000,10,15,18,17,20,
,,"Health Professions, Transfer Core Curriculum-126000",68,6,9,1,1,
,,History-220500,12,10,8,12,5,
,,Journalism-060200,2,1,1,,,
,,"Liberal Arts and Sciences, General-490100",240,,,,,
,,"Media and Communications, General-060100",5,2,3,,1,
,,Music-100400,4,,1,,2,
,,Nursery Technology-010930,1,2,3,5,5,
,,Nursing-123000,,51,5,,,
,,"Nutrition, Foods, and Culinary Arts-130600",8,2,3,2,6,
,,Other Interdisciplinary Studies-499900,"1,097","1,362","1,184","1,110","1,190",
,,Philosophy-150900,1,2,2,3,3,
,,Physical Education-083500,2,2,1,1,1,
,,Political Science-220700,2,8,1,1,,
,,Preshool Age Children-130540,11,11,8,16,16,
,,"Psychology, General-200100",18,25,16,19,22,
,,Radio and Television-060400,,1,1,1,,
,,Radio-060410,4,,3,4,4,
,,Religious Studies-151000,,1,1,1,1,
,,Sign Language-085000,,,,,1,
,,Sociology-220800,51,42,29,19,27,
,,Speech Communication-150600,2,,,,,
,,Television (including combined TV/Film/Video)-060420,11,14,14,16,10,
,Certificate requiring 60+ semester units                     Total,,1,,,,,
,,Fashion-130300,1,,,,,
,Certificate requiring 30 to < 60 semester units              Total,,"2,145","1,893","1,727","1,692","1,775",
,,Accounting-050200,13,3,5,8,3,
,,Agricultural Pest Control Adviser and Operator (Licensed)-010310,,,,1,,
,,Animation-061440,,,,,1,
,,Architectural Drafting-095310,1,3,6,3,4,
,,Automotive Technology-094800,12,3,8,6,25,
,,Business Management-050600,3,1,3,2,5,
,,Child Development/Early Care and Education-130500,3,,,5,,
,,Commercial Art-101300,5,4,,8,3,
,,Commercial Music-100500,8,7,1,13,4,
,,Computer Graphics and Digital Imagery-061460,3,,,,,
,,Computer Information Systems-070200,5,13,8,4,1,
,,Computer Networking-070810,1,,,,,
,,Computer Programming-070710,,,,1,1,
,,Cosmetology and Barbering-300700,127,127,103,97,126,
,,Desktop Publishing-061450,,1,,2,1,
,,Drafting Technology-095300,2,,2,,1,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,,1,1,
,,Fashion Design-130310,1,,2,,,
,,Fashion Production-130330,1,1,,,,
,,Fashion-130300,1,,1,4,2,
,,"Fine Arts, General-100100",,,1,3,4,
,,Graphic Art and Design-103000,4,,,,,
,,Horticulture-010900,,,,5,,
,,Interior Design and Merchandising-130200,8,9,10,6,9,
,,Landscape Design and Maintenance-010910,,,,2,,
,,"Liberal Arts and Sciences, General-490100",,481,,,,
,,Manufacturing and Industrial Technology-095600,6,5,,3,6,
,,Marketing and Distribution-050900,2,1,1,,3,
,,Nursery Technology-010930,,,,3,,
,,Other Fine and Applied Arts-109900,,,,1,,
,,Other Interdisciplinary Studies-499900,"1,392",,,,,
,,Paralegal-140200,48,10,31,25,16,
,,Real Estate-051100,,1,,,,
,,Technical Theater-100600,21,,1,6,20,
,,Transfer Studies-490110,478,"1,223","1,544","1,483","1,539",
,Certificate requiring 16 to fewer than 30 semester units     Total,,93,59,126,161,297,
,,Accounting-050200,,,6,9,14,
,,Applied Photography-101200,1,,8,1,12,
,,Automotive Technology-094800,1,12,26,7,38,
,,Banking and Finance-050400,,,,2,1,
,,Biotechnology and Biomedical Technology-043000,5,,8,9,18,
,,Business Administration-050500,,,1,10,16,
,,Business Management-050600,,,,8,9,
,,Child Development/Early Care and Education-130500,6,1,3,,,
,,Commercial Art-101300,,1,,,1,
,,Computer Information Systems-070200,12,8,11,7,4,
,,Construction Crafts Technology-095200,3,2,14,12,29,
,,Construction Inspection-095720,1,6,3,8,8,
,,Desktop Publishing-061450,2,,1,3,3,
,,Dietetic Services and Management-130620,,,,4,2,
,,Drafting Technology-095300,5,1,2,2,2,
,,Dramatic Arts-100700,1,,,,,
,,English as a Second Language - Integrated-493087,,,,,5,
,,Fashion-130300,1,,,,,
,,Fitness Trainer-083520,6,1,3,3,6,
,,"Forensics, Evidence, and Investigation-210540",,,9,,10,
,,Interior Design and Merchandising-130200,6,5,9,3,7,
,,International Business and Trade-050800,,,,,3,
,,Manufacturing and Industrial Technology-095600,5,2,1,1,14,
,,Marketing and Distribution-050900,3,,,3,8,
,,"Media and Communications, General-060100",1,,1,1,,
,,Other Fine and Applied Arts-109900,,,,23,8,
,,Paralegal-140200,,,6,3,9,
,,Physical Education-083500,2,,,2,4,
,,Printing and Lithography-093600,1,2,,,2,
,,Radio and Television-060400,2,,,1,1,
,,Radio-060410,1,,,1,,
,,Real Estate-051100,,4,6,9,13,
,,Small Business and Entrepreneurship-050640,2,1,,1,2,
,,Sociology-220800,,,,2,,
,,Technical Theater-100600,12,,3,20,23,
,,Television (including combined TV/Film/Video)-060420,3,4,1,1,8,
,,Website Design and Development-061430,1,2,,1,2,
,,Welding Technology-095650,9,7,4,4,15,
,,World Wide Web Administration-070900,1,,,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,11,6,30,84,162,
,,Architecture and Architectural Technology-020100,,,7,5,15,
,,Banking and Finance-050400,,,,2,1,
,,Biotechnology and Biomedical Technology-043000,,,,24,30,
,,Business Management-050600,,,,2,9,
,,Coaching-083560,2,1,2,,7,
,,Computer Information Systems-070200,,,,7,8,
,,Computer Infrastructure and Support-070800,,,,1,4,
,,Computer Programming-070710,,,,,1,
,,Electronic Game Design-061420,,,,,2,
,,English as a Second Language - Integrated-493087,,,,,4,
,,Fashion-130300,,,3,,,
,,International Business and Trade-050800,,,,2,2,
,,Manufacturing and Industrial Technology-095600,,,,1,15,
,,Marketing and Distribution-050900,,,,1,2,
,,"Nutrition, Foods, and Culinary Arts-130600",5,3,5,2,4,
,,Piloting-302020,,,8,10,15,
,,Real Estate-051100,,,,11,36,
,,Small Business and Entrepreneurship-050640,,,,,2,
,,"Social Sciences, General-220100",4,2,5,15,3,
,,World Wide Web Administration-070900,,,,1,2,
,Certificate requiring 6 to < 18 semester units               Total,,,,,5,9,
,,Dance-100800,,,,1,1,
,,Digital Media-061400,,,,4,3,
,,Fitness Trainer-083520,,,,,1,
,,Machining and Machine Tools-095630,,,,,4,
