,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Child Development/Early Care and Education-130500,65,45,55,66,50,
,,Children with Special Needs-130520,15,10,11,10,9,
,,Commercial Music-100500,,,,9,7,
,,Computer Infrastructure and Support-070800,,,2,2,5,
,,Computer Networking-070810,,,,,2,
,,Corrections-210510,,7,5,1,4,
,,Creative Writing-150700,,,,2,3,
,,Emergency Medical Services-125000,,,,,30,
,,Environmental Technology-030300,,4,3,2,5,
,,Fitness Trainer-083520,1,,1,2,2,
,,"Forensics, Evidence, and Investigation-210540",,13,14,17,33,
,,Graphic Art and Design-103000,21,16,30,18,8,
,,Health Education-083700,,2,4,1,,
,,Heavy Equipment Maintenance-094720,,,,1,1,
,,Infants and Toddlers-130590,7,3,5,4,4,
,,Intercollegiate Athletics-083550,,2,2,1,,
,,Other Education-089900,8,14,,3,4,
,,Police Academy-210550,,,,,80,
,,Probation and Parole-210520,,6,13,5,10,
,Certificate requiring 6 to < 18 semester units               Total,,,12,,,,
,,Automotive Technology-094800,,7,,,,
,,Child Development/Early Care and Education-130500,,4,,,,
,,Children with Special Needs-130520,,1,,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,8,291,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,8,291,,
,Noncredit award requiring from 96 to < 144 hours             Total,,106,35,141,14,,
,,English as a Second Language - Integrated-493087,106,35,57,5,,
,,Real Estate-051100,,,84,9,,
,Noncredit award requiring from 48 to < 96 hours              Total,,,98,194,63,,
,,Administrative Medical Assisting-120820,,5,49,6,,
,,Human Services-210400,,,30,,,
,,Office Technology/Office Computer Applications-051400,,9,,3,,
,,Real Estate-051100,,84,115,20,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,,34,,
,Noncredit award requiring < 48 hours                         Total,,,,2,112,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,2,112,,
