,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Mechanical Drafting-095340,,,,1,,
,,Pharmacy Technology-122100,17,19,12,13,19,
,,Spanish-110500,11,5,5,6,6,
,,Special Education-080900,,,2,,5,
,,Welding Technology-095650,10,10,14,23,33,
,Certificate requiring 8 to fewer than 16 semester units      Total,,6,12,2,18,5,
,,Architecture and Architectural Technology-020100,2,6,,12,3,
,,Electrical-095220,,4,,2,,
,,General Studies-493000,1,,,,,
,,Graphic Art and Design-103000,,1,,,,
,,Mechanical Drafting-095340,3,1,2,4,2,
,Certificate requiring 6 to < 18 semester units               Total,,634,598,517,900,824,
,,Agricultural Power Equipment Technology-011600,1,7,,2,2,
,,Architecture and Architectural Technology-020100,6,6,6,44,30,
,,Automotive Technology-094800,31,163,24,212,185,
,,Certified Nurse Assistant-123030,174,49,81,65,90,
,,Child Development/Early Care and Education-130500,232,270,223,380,310,
,,Commercial Music-100500,,,1,,,
,,Computer Networking-070810,3,,,,,
,,Construction Crafts Technology-095200,1,6,5,14,8,
,,Construction Inspection-095720,,,,6,12,
,,Culinary Arts-130630,1,1,2,1,,
,,Dairy Science-010230,,,4,3,3,
,,Emergency Medical Services-125000,104,65,73,54,131,
,,Environmental Control Technology-094600,,1,,,,
,,Equine Science-010240,,,,1,,
,,Fashion Design-130310,13,4,10,11,11,
,,Fashion-130300,19,7,16,12,8,
,,Fire Academy-213350,30,,46,50,,
,,Floriculture / Floristry-010920,,,1,,,
,,Food Processing and Related Technologies-011300,1,1,1,1,,
,,Graphic Art and Design-103000,1,1,,11,,
,,Landscape Design and Maintenance-010910,1,3,1,2,7,
,,Leadership Skills Development-493072,1,,6,,2,
,,Mechanical Drafting-095340,,,,1,,
,,Plant Science-010300,2,2,3,3,3,
,,Spanish-110500,,1,,,1,
,,Speech Communication-150600,13,9,14,18,20,
,,Water and Wastewater Technology-095800,,2,,9,1,
,"Other Credit Award, < 6 semester units                       Total",,6,9,,26,29,
,,Electrical Systems and Power Transmission-093440,,,,26,29,
,,Emergency Medical Services-125000,1,,,,,
,,Industrial Systems Technology and Maintenance-094500,5,9,,,,
,Noncredit award requiring from 288 to < 480 hours            Total,,78,58,131,51,66,
,,English as a Second Language - Integrated-493087,78,58,131,51,66,
