,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,"Engineering, General (requires Calculus) (Transfer)-090100",5,12,9,2,2,
,,Fire Technology-213300,43,30,31,29,19,
,,Industrial Electronics-093420,3,1,11,4,10,
,,Industrial Systems Technology and Maintenance-094500,8,18,7,6,7,
,,Management Development and Supervision-050630,5,4,4,3,5,
,,Registered Nursing-123010,40,1,39,39,44,
,,Small Business and Entrepreneurship-050640,5,14,7,11,12,
,,Travel Services and Tourism-300900,,1,7,4,,
,,Welding Technology-095650,6,10,4,7,7,
,Associate of Arts (A.A.) degree                              Total,,796,796,725,774,792,
,,Art-100200,3,13,4,4,9,
,,Biological and Physical Sciences (and Mathematics)-490200,317,360,329,365,371,
,,Classics-150400,1,2,1,,,
,,Commercial Music-100500,6,6,7,5,5,
,,Dramatic Arts-100700,7,4,4,,6,
,,Graphic Art and Design-103000,10,16,17,11,15,
,,Humanities and Fine Arts-490310,162,145,138,126,155,
,,Journalism-060200,,2,1,,1,
,,Music-100400,2,,1,,1,
,,Other Humanities-159900,,,,,1,
,,Sign Language-085000,9,16,14,12,11,
,,Transfer Studies-490110,279,232,209,251,217,
,Certificate requiring 30 to < 60 semester units              Total,,621,436,437,434,581,
,,Child Development/Early Care and Education-130500,10,21,19,21,29,
,,Commercial Music-100500,1,4,1,,3,
,,Computer Infrastructure and Support-070800,,,,4,3,
,,Electronics and Electric Technology-093400,14,7,10,16,20,
,,Graphic Art and Design-103000,1,1,2,3,1,
,,Industrial Electronics-093420,,1,9,7,16,
,,Industrial Systems Technology and Maintenance-094500,3,10,5,13,4,
,,Licensed Vocational Nursing-123020,23,32,,20,27,
,,Transfer Studies-490110,568,353,390,338,469,
,,Welding Technology-095650,1,7,1,12,9,
,Certificate requiring 16 to fewer than 30 semester units     Total,,98,117,93,186,162,
,,Accounting-050200,8,18,7,22,17,
,,Administration of Justice-210500,8,6,11,6,8,
,,Appliance Repair-093510,1,1,,,,
,,Art-100200,,,,,1,
,,Automotive Technology-094800,7,13,11,12,15,
,,Computer Infrastructure and Support-070800,1,,,,,
,,Computer Networking-070810,3,4,1,9,8,
,,Creative Writing-150700,,,,4,3,
,,Electronics and Electric Technology-093400,2,,5,10,18,
,,Fire Academy-213350,,,2,1,1,
,,Fire Technology-213300,20,14,14,10,22,
,,Management Development and Supervision-050630,4,3,1,5,5,
,,Police Academy-210550,21,36,27,74,48,
,,Sign Language-085000,8,12,5,9,3,
,,Small Business and Entrepreneurship-050640,1,5,3,7,9,
,,Spanish-110500,11,2,2,6,4,
,,Travel Services and Tourism-300900,3,3,4,11,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,10,16,14,20,21,
,,Administration of Justice-210500,9,10,13,10,13,
,,Computer Networking-070810,1,6,1,10,7,
,,Photography-101100,,,,,1,
,Certificate requiring 6 to < 18 semester units               Total,,62,101,105,108,123,
,,Automotive Technology-094800,5,4,9,2,3,
,,Child Development/Early Care and Education-130500,25,54,45,59,79,
,,Commercial Music-100500,2,4,2,2,,
,,Computer Infrastructure and Support-070800,,,2,3,7,
,,Emergency Medical Services-125000,,,16,9,9,
,,English as a Second Language - Intermediate-493080,7,10,13,8,11,
,,Fire Technology-213300,12,15,6,5,10,
,,"Foreign Languages, General-110100",1,,,,,
,,Industrial Systems Technology and Maintenance-094500,,,4,2,,
,,"Information Technology, General-070100",9,5,3,4,3,
,,Travel Services and Tourism-300900,1,7,4,13,1,
,,Welding Technology-095650,,2,1,1,,
,"Other Credit Award, < 6 semester units                       Total",,2,2,2,1,7,
,,Automotive Collision Repair-094900,1,2,2,1,7,
,,"Foreign Languages, General-110100",1,,,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,,1,,
,,Construction Crafts Technology-095200,,,,1,,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,325,13,66,
,,Aeronautical and Aviation Technology-095000,,,7,9,,
,,English as a Second Language - Integrated-493087,,,108,3,30,
,,English as a Second Language - Listening and Speaking-493086,,,84,1,5,
,,English as a Second Language - Reading-493085,,,73,,18,
,,English as a Second Language - Writing-493084,,,53,,13,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,2,1,,
,,Academic Guidance-493013,,,2,1,,
,Noncredit award requiring < 48 hours                         Total,,,,,,1,
,,English as a Second Language - Integrated-493087,,,,,1,
