,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Fashion Merchandising-130320,3,4,3,,,
,,Fashion Production-130330,,3,,,,
,,Fashion-130300,,,,9,5,
,,"Foreign Languages, General-110100",1,,4,1,,
,,Geography-220600,,1,,1,,
,,Graphic Art and Design-103000,3,,,,,
,,History-220500,4,3,5,2,6,
,,Human Services-210400,89,50,39,28,37,
,,Humanities-490300,680,628,536,,,
,,Infants and Toddlers-130590,5,2,3,2,5,
,,International Business and Trade-050800,1,2,5,3,4,
,,"Liberal Arts and Sciences, General-490100",206,171,297,919,"1,134",
,,Library Technician (Aide)-160200,3,7,8,7,13,
,,Marketing and Distribution-050900,,,,,3,
,,"Media and Communications, General-060100",,,,1,,
,,Music-100400,1,,3,1,1,
,,Office Technology/Office Computer Applications-051400,1,1,3,1,3,
,,Other Interdisciplinary Studies-499900,25,15,,,,
,,Paralegal-140200,41,34,29,51,60,
,,Philosophy-150900,,,1,1,,
,,Photography-101100,1,2,2,3,7,
,,Physical Education-083500,4,,1,6,2,
,,Political Science-220700,1,2,9,7,5,
,,Preshool Age Children-130540,28,34,22,11,20,
,,"Psychology, General-200100",17,14,17,30,37,
,,Sign Language Interpreting-085010,,,,,2,
,,Small Business and Entrepreneurship-050640,,,,,1,
,,Sociology-220800,4,3,4,5,9,
,,Speech Communication-150600,4,7,4,6,34,
,,Speech/Language Pathology and Audiology-122000,1,,,1,,
,,Technical Theater-100600,4,,,,,
,,Television (including combined TV/Film/Video)-060420,,,,1,,
,,The School Age Child-130550,,2,,,,
,Certificate requiring 60+ semester units                     Total,,23,39,1,,,
,,Paralegal-140200,23,39,1,,,
,Certificate requiring 30 to < 60 semester units              Total,,"1,318","1,211","1,561","1,938","1,554",
,,Accounting-050200,2,5,1,3,2,
,,Administration of Justice-210500,,,1,,2,
,,Civil and Construction Management Technology-095700,,2,1,1,,
,,Computer Graphics and Digital Imagery-061460,,,1,,,
,,Dance-100800,,,1,1,,
,,"Engineering Technology, General (requires Trigonometry)-092400",2,,,,,
,,Fashion Design-130310,,2,4,4,,
,,Fashion Merchandising-130320,1,3,,,,
,,Fashion Production-130330,3,1,1,,,
,,Fashion-130300,,,,4,5,
,,Infants and Toddlers-130590,5,3,1,11,2,
,,Machining and Machine Tools-095630,63,69,29,24,33,
,,Paralegal-140200,22,,35,53,71,
,,Police Academy-210550,,,453,747,314,
,,Preshool Age Children-130540,25,30,25,44,45,
,,The School Age Child-130550,,1,1,1,2,
,,Transfer Studies-490110,"1,194","1,095","1,007","1,045","1,078",
,,Website Design and Development-061430,1,,,,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,395,380,774,732,760,
,,Accounting-050200,41,83,76,79,52,
,,Animation-061440,,,,,1,
,,Applied Photography-101200,,,,,5,
,,Automotive Technology-094800,18,29,51,102,95,
,,Biomedical Instrumentation-093460,,,1,,,
,,Business Management-050600,10,5,13,11,13,
,,Child Development Administration and Management-130580,,,3,5,3,
,,Child Development/Early Care and Education-130500,7,8,,1,,
,,Civil Drafting-095320,,3,8,7,6,
,,Commercial Art-101300,3,1,1,,,
,,Commercial Music-100500,7,7,6,4,6,
,,Computer Information Systems-070200,5,11,3,12,14,
,,Computer Infrastructure and Support-070800,14,2,8,7,2,
,,Computer Science (Transfer)-070600,6,13,10,6,4,
,,Culinary Arts-130630,,,1,8,5,
,,Desktop Publishing-061450,6,5,6,4,4,
,,Diesel Technology-094700,,,6,17,30,
,,Digital Media-061400,6,3,5,2,4,
,,Drafting Technology-095300,10,,7,38,12,
,,Dramatic Arts-100700,,,1,1,1,
,,Educational Aide (Teacher Assistant)-080200,,1,,1,2,
,,Electro-Mechanical Technology-093500,,2,5,7,6,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,297,94,119,
,,Fashion-130300,,,,14,,
,,Fire Technology-213300,95,94,110,119,120,
,,Fitness Trainer-083520,,,1,3,2,
,,Heavy Equipment Maintenance-094720,3,1,,,,
,,International Business and Trade-050800,,6,6,8,4,
,,Jewelry-100910,,,,1,,
,,"Law, General-140100",17,12,12,26,35,
,,Legal and Community Interpretation-214000,,3,20,39,53,
,,Legal Office Technology-051410,3,1,,,,
,,Library Technician (Aide)-160200,9,12,12,11,25,
,,Manufacturing and Industrial Technology-095600,2,4,,,,
,,Marketing and Distribution-050900,,,,5,5,
,,Mechanical Drafting-095340,,6,13,6,5,
,,"Media and Communications, General-060100",,,17,1,17,
,,Office Management-051440,,1,2,7,9,
,,Office Technology/Office Computer Applications-051400,5,3,7,13,6,
,,Paralegal-140200,,,1,,,
,,Pharmacy Technology-122100,19,23,17,31,41,
,,Photography-101100,1,1,7,10,1,
,,Retail Store Operations and Management-050650,,,2,10,4,
,,Sign Language-085000,14,10,14,6,10,
,,Technical Theater-100600,2,,,,1,
,,Television (including combined TV/Film/Video)-060420,,3,3,3,24,
,,Website Design and Development-061430,,,,,2,
,,Welding Technology-095650,92,27,22,13,12,
,Certificate requiring 8 to fewer than 16 semester units      Total,,201,189,236,488,586,
,,Accounting-050200,13,8,,,,
,,Automotive Technology-094800,1,,,25,49,
,,Banking and Finance-050400,,,,2,4,
,,Biotechnology and Biomedical Technology-043000,2,3,4,17,,
,,Business Management-050600,,,,13,13,
,,Child Development/Early Care and Education-130500,,,1,163,177,
,,Computer Infrastructure and Support-070800,13,12,12,11,32,
,,Culinary Arts-130630,1,1,17,13,8,
,,Database Design and Administration-070720,,,,3,7,
,,Digital Media-061400,,22,,,,
,,Dramatic Arts-100700,,,4,4,,
,,Fitness Trainer-083520,1,1,1,,,
,,Legal and Community Interpretation-214000,10,3,4,9,5,
,,Medical Assisting-120800,156,139,152,175,239,
,,Office Technology/Office Computer Applications-051400,4,,,,,
,,Small Business and Entrepreneurship-050640,,,,2,,
,,Special Education-080900,,,,21,15,
,,Technical Theater-100600,,,,,2,
,,Welding Technology-095650,,,41,30,35,
,Certificate requiring 6 to < 18 semester units               Total,,808,"1,238",915,844,852,
,,Accounting-050200,35,14,22,26,34,
,,Automotive Technology-094800,24,6,4,8,3,
,,Banking and Finance-050400,,1,,1,,
,,Biotechnology and Biomedical Technology-043000,2,5,15,36,27,
,,Business Management-050600,19,23,38,28,21,
,,Child Development/Early Care and Education-130500,,3,148,6,5,
,,Computer Networking-070810,23,45,47,88,41,
,,Computer Programming-070710,,,,5,2,
,,Corrections-210510,7,15,26,16,10,
,,Culinary Arts-130630,,3,,,,
,,Database Design and Administration-070720,2,2,5,13,3,
,,Desktop Publishing-061450,,17,18,7,18,
,,Diesel Technology-094700,9,,3,2,8,
,,Digital Media-061400,,,64,40,20,
,,Drafting Technology-095300,15,13,26,29,22,
,,Dramatic Arts-100700,,,,39,44,
,,"Educational Aide (Teacher Assistant), Bilingual-080210",3,7,1,,,
,,Educational Aide (Teacher Assistant)-080200,22,17,11,20,8,
,,"Engineering, General (requires Calculus) (Transfer)-090100",21,17,53,40,24,
,,Fashion Design-130310,,1,3,4,1,
,,Fashion-130300,6,13,6,6,6,
,,Fire Technology-213300,269,217,197,236,325,
,,Heavy Equipment Maintenance-094720,11,15,17,8,23,
,,Infants and Toddlers-130590,132,144,3,1,,
,,International Business and Trade-050800,29,19,33,15,11,
,,Legal and Community Interpretation-214000,,,,,1,
,,Management Development and Supervision-050630,9,9,2,,,
,,Marketing and Distribution-050900,1,1,1,,,
,,Office Technology/Office Computer Applications-051400,110,44,45,79,139,
,,Other Business and Management-059900,2,1,,,4,
,,Other Information Technology-079900,,,5,10,3,
,,Physical Education-083500,4,1,3,2,2,
,,Police Academy-210550,,356,,,,
,,Small Business and Entrepreneurship-050640,6,1,3,8,1,
,,Special Education-080900,31,23,27,,,
,,Speech Communication-150600,,183,72,71,46,
,,Technical Theater-100600,,2,,,,
,,Unknown-999999,16,19,17,,,
,,Welding Technology-095650,,1,,,,
,"Other Credit Award, < 6 semester units                       Total",,1,3,,,,
,,International Business and Trade-050800,1,3,,,,
,Noncredit award requiring from 960+ hours                    Total,,117,207,260,247,305,
,,English as a Second Language - Integrated-493087,,,,10,15,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,117,207,260,237,290,
,Noncredit award requiring from 480 to < 960 hours            Total,,,,,663,611,
,,Certified Nurse Assistant-123030,,,,,1,
,,English as a Second Language - Integrated-493087,,,,663,610,
,Noncredit award requiring from 288 to < 480 hours            Total,,"1,021",890,"1,056",724,777,
,,Accounting-050200,,5,1,1,51,
,,Biotechnology and Biomedical Technology-043000,,2,,,,
,,Computer Support-070820,,,,3,7,
,,Construction Crafts Technology-095200,85,31,14,47,1,
,,Culinary Arts-130630,,1,3,2,1,
,,English as a Second Language - Integrated-493087,836,785,978,592,587,
,,Environmental Control Technology-094600,,,,2,18,
,,"Information Technology, General-070100",3,4,7,,,
,,Office Technology/Office Computer Applications-051400,97,59,53,77,112,
,,Pharmacy Technology-122100,,3,,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,277,156,272,263,208,
,,Certified Nurse Assistant-123030,62,29,1,40,2,
,,Child Development/Early Care and Education-130500,21,10,5,3,4,
,,Elementary Education (Grades 1-8)-493060,22,4,42,12,28,
,,English as a Second Language - Integrated-493087,100,37,172,172,154,
,,English as a Second Language - Listening and Speaking-493086,45,50,,,,
,,English as a Second Language - Writing-493084,,1,7,3,7,
,,Hospitality-130700,,,5,6,13,
,,"Information Technology, General-070100",,5,18,,,
,,Office Technology/Office Computer Applications-051400,27,20,22,27,,
,Noncredit award requiring from 144 to < 192 hours            Total,,27,42,45,10,17,
,,Elementary Education (Grades 1-8)-493060,,16,,,8,
,,English as a Second Language - Integrated-493087,21,8,30,1,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,6,18,15,9,9,
,Noncredit award requiring from 96 to < 144 hours             Total,,,5,1,,23,
,,English as a Second Language - Integrated-493087,,,1,,13,
,,Other Health Occupations-129900,,,,,10,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,5,,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,,14,52,
,,Truck and Bus Driving-094750,,,,14,52,
