soc_code	category	rank	element
13-1022	abilities	2	Number Facility
13-1022	abilities	3	Oral Expression
13-1022	abilities	4	Oral Comprehension
13-1022	abilities	5	Speed of Closure
13-1022	abilities	6	Deductive Reasoning
13-1022	abilities	7	Written Comprehension
13-1022	abilities	8	Originality
13-1022	technology	1	Cloud-based data access and sharing software
13-1022	technology	2	Accounting software
13-1022	technology	3	Development environment software
13-1022	technology	4	Web page creation and editing software
13-1022	technology	5	Risk management data and analysis software
13-1022	technology	6	Procurement software
13-1022	technology	7	Materials requirements planning logistics and supply chain software
13-1022	technology	8	Point of sale POS software
13-1023	knowledge	1	Economics and Accounting
13-1023	knowledge	2	Transportation
13-1023	knowledge	3	Administration and Management
13-1023	knowledge	4	Law and Government
13-1023	knowledge	5	Production and Processing
13-1023	knowledge	6	Mathematics
13-1023	knowledge	7	Administrative
13-1023	knowledge	8	English Language
13-1023	skills	1	Management of Financial Resources
13-1023	skills	2	Negotiation
13-1023	skills	3	Management of Material Resources
13-1023	skills	4	Persuasion
13-1023	skills	5	Complex Problem Solving
13-1023	skills	6	Active Learning
13-1023	skills	7	Writing
13-1023	skills	8	Reading Comprehension
13-1023	abilities	1	Written Comprehension
13-1023	abilities	2	Written Expression
13-1023	abilities	3	Number Facility
13-1023	abilities	4	Mathematical Reasoning
13-1023	abilities	5	Information Ordering
13-1023	abilities	6	Speech Recognition
13-1023	abilities	7	Inductive Reasoning
13-1023	abilities	8	Speech Clarity
13-1023	technology	1	Process mapping and design software
13-1023	technology	2	Cloud-based data access and sharing software
13-1023	technology	3	Accounting software
13-1023	technology	4	Document management software
13-1023	technology	5	Enterprise system management software
13-1023	technology	6	Sales and marketing software
13-1023	technology	7	Data base reporting software
13-1023	technology	8	Financial analysis software
13-1031	knowledge	1	Customer and Personal Service
13-1031	knowledge	2	Administrative
13-1031	knowledge	3	Medicine and Dentistry
13-1031	knowledge	4	Economics and Accounting
13-1031	knowledge	5	Law and Government
13-1031	knowledge	6	Therapy and Counseling
13-1031	knowledge	7	English Language
13-1031	knowledge	8	Mathematics
13-1031	skills	1	Reading Comprehension
13-1031	skills	2	Negotiation
13-1031	skills	3	Judgment and Decision Making
13-1031	skills	4	Critical Thinking
13-1031	skills	5	Writing
13-1031	skills	6	Active Listening
13-1031	skills	7	Speaking
13-1031	skills	8	Mathematics
13-1031	abilities	1	Written Comprehension
13-1031	abilities	2	Inductive Reasoning
13-1031	abilities	3	Written Expression
13-1031	abilities	4	Speed of Closure
13-1031	abilities	5	Deductive Reasoning
13-1031	abilities	6	Number Facility
13-1031	abilities	7	Oral Expression
13-1031	abilities	8	Oral Comprehension
13-1031	technology	1	Video conferencing software
13-1031	technology	2	Interactive voice response software
13-1031	technology	3	Access software
13-1031	technology	4	Expert system software
13-1031	technology	5	Data base reporting software
13-1031	technology	6	Financial analysis software
13-1031	technology	7	Information retrieval or search software
13-1031	technology	8	Desktop publishing software
13-1032	knowledge	1	Mechanical
13-1032	knowledge	2	Customer and Personal Service
13-1032	knowledge	3	Administrative
13-1032	knowledge	4	Computers and Electronics
13-1032	knowledge	5	Law and Government
13-1032	knowledge	6	English Language
13-1032	knowledge	7	Education and Training
13-1032	knowledge	8	Mathematics
13-1032	skills	1	Writing
13-1032	skills	2	Negotiation
13-1032	skills	3	Speaking
13-1032	skills	4	Time Management
13-1032	skills	5	Persuasion
13-1032	skills	6	Mathematics
13-1032	skills	7	Service Orientation
13-1032	skills	8	Reading Comprehension
13-1032	abilities	1	Written Expression
13-1032	abilities	2	Oral Expression
13-1032	abilities	3	Oral Comprehension
13-1032	abilities	4	Written Comprehension
13-1032	abilities	5	Number Facility
13-1032	abilities	6	Problem Sensitivity
13-1032	abilities	7	Speech Recognition
13-1032	abilities	8	Selective Attention
13-1032	technology	1	Document management software
13-1032	technology	2	Compiler and decompiler software
13-1032	technology	3	Accounting software
13-1041	knowledge	1	Law and Government
13-1041	knowledge	2	Public Safety and Security
13-1041	knowledge	3	Telecommunications
13-1041	knowledge	4	Customer and Personal Service
13-1041	knowledge	5	Administrative
13-1041	knowledge	6	English Language
13-1041	knowledge	7	Computers and Electronics
13-1041	knowledge	8	Psychology
13-1041	skills	1	Social Perceptiveness
13-1041	skills	2	Reading Comprehension
13-1041	skills	3	Active Listening
13-1041	skills	4	Negotiation
13-1041	skills	5	Judgment and Decision Making
13-1041	skills	6	Speaking
13-1041	skills	7	Quality Control Analysis
13-1041	skills	8	Writing
13-1041	abilities	1	Auditory Attention
13-1041	abilities	2	Far Vision
13-1041	abilities	3	Written Comprehension
13-1041	abilities	4	Depth Perception
13-1041	abilities	5	Speech Clarity
13-1041	abilities	6	Speech Recognition
13-1041	abilities	7	Inductive Reasoning
13-1041	abilities	8	Written Expression
13-1041	technology	1	Optical character reader OCR or scanning software
13-1041	technology	2	Computer based training software
13-1051	knowledge	1	Economics and Accounting
13-1051	knowledge	2	Building and Construction
13-1051	knowledge	3	Mathematics
13-1051	knowledge	4	Engineering and Technology
13-1051	knowledge	5	Design
13-1051	knowledge	6	Physics
13-1051	knowledge	7	Computers and Electronics
13-1051	knowledge	8	Mechanical
13-1051	skills	1	Mathematics
13-1051	skills	2	Management of Financial Resources
13-1051	skills	3	Management of Material Resources
13-1051	skills	4	Reading Comprehension
13-1051	skills	5	Operations Analysis
13-1051	skills	6	Negotiation
13-1051	skills	7	Judgment and Decision Making
13-1051	skills	8	Systems Evaluation
13-1051	abilities	1	Mathematical Reasoning
13-1051	abilities	2	Number Facility
13-1051	abilities	3	Inductive Reasoning
13-1051	abilities	4	Written Expression
13-1051	abilities	5	Written Comprehension
13-1051	abilities	6	Oral Expression
13-1051	abilities	7	Oral Comprehension
13-1051	abilities	8	Speed of Closure
13-1051	technology	1	Process mapping and design software
13-1051	technology	2	Accounting software
13-1051	technology	3	Document management software
13-1051	technology	4	Computer aided design CAD software
13-1051	technology	5	License management software
13-1051	technology	6	Expert system software
13-1051	technology	7	Data base reporting software
13-1051	technology	8	Financial analysis software
13-1071	knowledge	1	Personnel and Human Resources
13-1071	knowledge	2	Administrative
13-1071	knowledge	3	Law and Government
13-1071	knowledge	4	Administration and Management
13-1071	knowledge	5	Communications and Media
13-1071	knowledge	6	English Language
13-1071	knowledge	7	Customer and Personal Service
13-1071	knowledge	8	Education and Training
13-1071	skills	1	Writing
13-1071	skills	2	Speaking
13-1071	skills	3	Reading Comprehension
13-1071	skills	4	Service Orientation
13-1071	skills	5	Active Listening
13-1071	skills	6	Negotiation
13-1071	skills	7	Critical Thinking
13-1071	skills	8	Instructing
13-1071	abilities	1	Written Expression
13-1071	abilities	2	Speech Recognition
13-1071	abilities	3	Written Comprehension
13-1071	abilities	4	Speech Clarity
13-1071	abilities	5	Deductive Reasoning
13-1071	abilities	6	Oral Expression
13-1071	abilities	7	Problem Sensitivity
13-1071	abilities	8	Oral Comprehension
13-1071	technology	1	Sales and marketing software
13-1071	technology	2	Data mining software
13-1071	technology	3	Application server software
13-1071	technology	4	Time accounting software
13-1071	technology	5	Data base reporting software
13-1071	technology	6	Video conferencing software
13-1071	technology	7	Data base management system software
13-1071	technology	8	Business intelligence and data analysis software
13-1074	knowledge	1	Food Production
13-1074	knowledge	2	Foreign Language
13-1074	knowledge	3	Personnel and Human Resources
13-1074	knowledge	4	Production and Processing
13-1074	knowledge	5	Law and Government
13-1074	knowledge	6	Economics and Accounting
13-1074	knowledge	7	Mathematics
13-1074	knowledge	8	Mechanical
13-1074	skills	1	Management of Personnel Resources
13-1074	skills	2	Operation and Control
13-1074	skills	3	Negotiation
13-1074	skills	4	Time Management
13-1074	skills	5	Speaking
13-1074	skills	6	Coordination
13-1074	skills	7	Persuasion
13-1074	skills	8	Social Perceptiveness
13-1074	abilities	1	Multilimb Coordination
13-1074	abilities	2	Control Precision
13-1074	abilities	3	Depth Perception
13-1074	abilities	4	Speech Clarity
13-1074	abilities	5	Oral Comprehension
13-1074	abilities	6	Time Sharing
13-1074	abilities	7	Speech Recognition
13-1074	abilities	8	Oral Expression
13-1074	technology	1	Cloud-based data access and sharing software
13-1074	technology	2	Accounting software
13-1074	technology	3	Web page creation and editing software
13-1075	knowledge	1	Personnel and Human Resources
13-1075	knowledge	2	Law and Government
13-1075	knowledge	3	Economics and Accounting
13-1075	knowledge	4	Administration and Management
13-1075	knowledge	5	English Language
13-1075	knowledge	6	Public Safety and Security
13-1075	knowledge	7	Education and Training
13-1075	knowledge	8	Administrative
13-1075	skills	1	Negotiation
13-1075	skills	2	Persuasion
13-1075	skills	3	Writing
13-1075	skills	4	Active Listening
13-1075	skills	5	Speaking
13-1075	skills	6	Social Perceptiveness
13-1075	skills	7	Reading Comprehension
13-1075	skills	8	Critical Thinking
13-1075	abilities	1	Originality
13-1075	abilities	2	Written Expression
13-1075	abilities	3	Fluency of Ideas
13-1075	abilities	4	Oral Expression
13-1075	abilities	5	Written Comprehension
13-1075	abilities	6	Problem Sensitivity
13-1075	abilities	7	Oral Comprehension
13-1075	abilities	8	Memorization
13-1075	technology	1	Application server software
13-1075	technology	2	Cloud-based data access and sharing software
13-1075	technology	3	Human resources software
13-1081	knowledge	1	Transportation
13-1081	knowledge	2	Geography
13-1081	knowledge	3	Economics and Accounting
13-1081	knowledge	4	Sales and Marketing
13-1081	knowledge	5	Administration and Management
13-1081	knowledge	6	Personnel and Human Resources
13-1081	knowledge	7	Production and Processing
13-1081	knowledge	8	Computers and Electronics
13-1081	skills	1	Operations Analysis
13-1081	skills	2	Management of Material Resources
13-1081	skills	3	Systems Analysis
13-1081	skills	4	Coordination
13-1081	skills	5	Management of Financial Resources
13-1081	skills	6	Management of Personnel Resources
13-1081	skills	7	Negotiation
13-1081	skills	8	Systems Evaluation
13-1081	abilities	1	Originality
13-1081	abilities	2	Information Ordering
13-1081	abilities	3	Inductive Reasoning
13-1081	abilities	4	Number Facility
13-1081	abilities	5	Deductive Reasoning
13-1081	abilities	6	Speech Recognition
13-1081	abilities	7	Fluency of Ideas
13-1081	abilities	8	Written Comprehension
13-1081	technology	1	Process mapping and design software
13-1081	technology	2	Cloud-based data access and sharing software
13-1081	technology	3	Accounting software
13-1081	technology	4	Computer aided design CAD software
13-1081	technology	5	Procurement software
13-1081	technology	6	Enterprise system management software
13-1081	technology	7	Materials requirements planning logistics and supply chain software
13-1081	technology	8	Business intelligence and data analysis software
13-1082	technology	1	Content workflow software
13-1082	technology	2	Sales and marketing software
13-1082	technology	3	File versioning software
13-1082	technology	4	Application server software
13-1082	technology	5	Video conferencing software
13-1082	technology	6	Business intelligence and data analysis software
13-1082	technology	7	Enterprise application integration software
13-1082	technology	8	Customer relationship management CRM software
13-1111	knowledge	1	Administration and Management
13-1111	knowledge	2	Economics and Accounting
13-1111	knowledge	3	Sales and Marketing
13-1111	knowledge	4	Sociology and Anthropology
13-1111	knowledge	5	English Language
13-1111	knowledge	6	Personnel and Human Resources
13-1111	knowledge	7	Law and Government
13-1111	knowledge	8	Psychology
13-1111	skills	1	Systems Evaluation
13-1111	skills	2	Systems Analysis
13-1111	skills	3	Operations Analysis
13-1111	skills	4	Writing
13-1111	skills	5	Complex Problem Solving
13-1111	skills	6	Coordination
13-1111	skills	7	Persuasion
13-1111	skills	8	Judgment and Decision Making
13-1111	abilities	1	Fluency of Ideas
13-1111	abilities	2	Written Expression
13-1111	abilities	3	Written Comprehension
13-1111	abilities	4	Inductive Reasoning
13-1111	abilities	5	Problem Sensitivity
13-1111	abilities	6	Deductive Reasoning
13-1111	abilities	7	Speech Recognition
13-1111	abilities	8	Memorization
13-1111	technology	1	Object oriented data base management software
13-1111	technology	2	Configuration management software
13-1111	technology	3	Content workflow software
13-1111	technology	4	Sales and marketing software
13-1111	technology	5	Cloud-based management software
13-1111	technology	6	Data mining software
13-1111	technology	7	Expert system software
13-1111	technology	8	File versioning software
13-1121	knowledge	1	Communications and Media
13-1121	knowledge	2	Customer and Personal Service
13-1121	knowledge	3	Administrative
13-1121	knowledge	4	Telecommunications
13-1121	knowledge	5	Sales and Marketing
13-1121	knowledge	6	Transportation
13-1121	knowledge	7	English Language
13-1121	knowledge	8	Economics and Accounting
13-1121	skills	1	Management of Financial Resources
13-1121	skills	2	Service Orientation
13-1121	skills	3	Management of Material Resources
13-1121	skills	4	Negotiation
13-1121	skills	5	Coordination
13-1121	skills	6	Persuasion
13-1121	skills	7	Social Perceptiveness
13-1121	skills	8	Operations Analysis
13-1121	abilities	1	Fluency of Ideas
13-1121	abilities	2	Originality
13-1121	abilities	3	Written Expression
13-1121	abilities	4	Speech Recognition
13-1121	abilities	5	Written Comprehension
13-1121	abilities	6	Mathematical Reasoning
13-1121	abilities	7	Deductive Reasoning
13-1121	abilities	8	Time Sharing
13-1121	technology	1	Sales and marketing software
13-1121	technology	2	Geographic information system
13-1121	technology	3	Web platform development software
13-1121	technology	4	Customer relationship management CRM software
13-1121	technology	5	Desktop publishing software
13-1121	technology	6	Web page creation and editing software
13-1121	technology	7	Network conferencing software
13-1121	technology	8	Facilities management software
13-1131	knowledge	1	Sales and Marketing
13-1131	knowledge	2	Economics and Accounting
13-1131	knowledge	3	Customer and Personal Service
13-1131	knowledge	4	Communications and Media
13-1131	knowledge	5	Administration and Management
13-1131	knowledge	6	English Language
13-1131	knowledge	7	Psychology
13-1131	knowledge	8	Administrative
13-1131	skills	1	Negotiation
13-1131	skills	2	Persuasion
13-1131	skills	3	Management of Financial Resources
13-1131	skills	4	Writing
13-1131	skills	5	Coordination
13-1131	skills	6	Speaking
13-1131	skills	7	Service Orientation
13-1131	skills	8	Reading Comprehension
13-1131	abilities	1	Fluency of Ideas
13-1131	abilities	2	Speech Clarity
13-1131	abilities	3	Written Expression
13-1131	abilities	4	Speech Recognition
13-1131	abilities	5	Written Comprehension
13-1131	abilities	6	Inductive Reasoning
13-1131	abilities	7	Originality
13-1131	abilities	8	Number Facility
13-1131	technology	1	Customer relationship management CRM software
13-1131	technology	2	Web page creation and editing software
13-1131	technology	3	Instant messaging software
13-1131	technology	4	Data base reporting software
13-1131	technology	5	Desktop publishing software
13-1141	knowledge	1	Personnel and Human Resources
13-1141	knowledge	2	Economics and Accounting
13-1141	knowledge	3	Law and Government
13-1141	knowledge	4	Administration and Management
13-1141	knowledge	5	Mathematics
13-1141	knowledge	6	Administrative
13-1141	knowledge	7	Customer and Personal Service
13-1141	knowledge	8	English Language
13-1141	skills	1	Operations Analysis
13-1141	skills	2	Systems Analysis
13-1141	skills	3	Reading Comprehension
13-1141	skills	4	Negotiation
13-1141	skills	5	Persuasion
13-1141	skills	6	Critical Thinking
13-1141	skills	7	Systems Evaluation
13-1141	skills	8	Mathematics
13-1141	abilities	1	Mathematical Reasoning
13-1141	abilities	2	Written Comprehension
13-1141	abilities	3	Number Facility
13-1141	abilities	4	Oral Expression
13-1141	abilities	5	Deductive Reasoning
13-1141	abilities	6	Originality
13-1141	abilities	7	Flexibility of Closure
13-1141	abilities	8	Speech Clarity
13-1141	technology	1	Time accounting software
13-1141	technology	2	Cloud-based data access and sharing software
13-1141	technology	3	Development environment software
13-1141	technology	4	Web page creation and editing software
13-1141	technology	5	Human resources software
13-1141	technology	6	Data base reporting software
13-1141	technology	7	Data base management system software
13-1141	technology	8	Business intelligence and data analysis software
13-1151	knowledge	1	Education and Training
13-1151	knowledge	2	Personnel and Human Resources
13-1151	knowledge	3	Psychology
13-1151	knowledge	4	Sociology and Anthropology
13-1151	knowledge	5	Communications and Media
13-1151	knowledge	6	Customer and Personal Service
13-1151	knowledge	7	Administration and Management
13-1151	knowledge	8	Sales and Marketing
13-1151	skills	1	Instructing
13-1151	skills	2	Learning Strategies
13-1151	skills	3	Operations Analysis
13-1151	skills	4	Speaking
13-1151	skills	5	Social Perceptiveness
13-1151	skills	6	Active Learning
13-1151	skills	7	Systems Evaluation
13-1151	skills	8	Writing
13-1151	abilities	1	Fluency of Ideas
13-1151	abilities	2	Originality
13-1151	abilities	3	Written Expression
13-1151	abilities	4	Speech Recognition
13-1151	abilities	5	Memorization
13-1151	abilities	6	Speech Clarity
13-1151	abilities	7	Written Comprehension
13-1151	abilities	8	Oral Expression
13-1151	technology	1	Video conferencing software
13-1151	technology	2	Data base management system software
13-1151	technology	3	Video creation and editing software
13-1151	technology	4	Web platform development software
13-1151	technology	5	Customer relationship management CRM software
13-1151	technology	6	Process mapping and design software
13-1151	technology	7	Desktop publishing software
13-1151	technology	8	Medical software
13-1161	knowledge	1	Sales and Marketing
13-1161	knowledge	2	Sociology and Anthropology
13-1161	knowledge	3	Communications and Media
13-1161	knowledge	4	Mathematics
13-1161	knowledge	5	Economics and Accounting
13-1161	knowledge	6	Psychology
13-1161	knowledge	7	Customer and Personal Service
13-1161	knowledge	8	Geography
13-1161	skills	1	Operations Analysis
13-1161	skills	2	Writing
13-1161	skills	3	Mathematics
13-1161	skills	4	Complex Problem Solving
13-1161	skills	5	Reading Comprehension
13-1161	skills	6	Critical Thinking
13-1161	skills	7	Systems Evaluation
13-1161	skills	8	Systems Analysis
13-1161	abilities	1	Fluency of Ideas
13-1161	abilities	2	Mathematical Reasoning
13-1161	abilities	3	Inductive Reasoning
13-1161	abilities	4	Written Expression
13-1161	abilities	5	Category Flexibility
13-1161	abilities	6	Originality
13-1161	abilities	7	Number Facility
13-1161	abilities	8	Information Ordering
13-1161	technology	1	Sales and marketing software
13-1161	technology	2	Data mining software
13-1161	technology	3	Video conferencing software
13-1161	technology	4	Data base management system software
13-1161	technology	5	Business intelligence and data analysis software
13-1161	technology	6	Video creation and editing software
13-1161	technology	7	Geographic information system
13-1161	technology	8	Web platform development software
13-1199	knowledge	1	Telecommunications
13-1199	knowledge	2	Communications and Media
13-1199	knowledge	3	Public Safety and Security
13-1199	knowledge	4	Administration and Management
13-1199	knowledge	5	Geography
13-1199	knowledge	6	Computers and Electronics
13-1199	knowledge	7	Administrative
13-1199	knowledge	8	Education and Training
13-1199	skills	1	Systems Analysis
13-1199	skills	2	Systems Evaluation
13-1199	skills	3	Management of Financial Resources
13-1199	skills	4	Complex Problem Solving
13-1199	skills	5	Management of Material Resources
13-1199	skills	6	Judgment and Decision Making
13-1199	skills	7	Operations Analysis
13-1199	skills	8	Writing
13-1199	abilities	1	Originality
13-1199	abilities	2	Fluency of Ideas
13-1199	abilities	3	Written Expression
13-1199	abilities	4	Inductive Reasoning
13-1199	abilities	5	Flexibility of Closure
13-1199	abilities	6	Problem Sensitivity
13-1199	abilities	7	Information Ordering
13-1199	abilities	8	Category Flexibility
13-1199	technology	1	Content workflow software
13-1199	technology	2	Data base management system software
13-1199	technology	3	Process mapping and design software
13-1199	technology	4	Cloud-based data access and sharing software
13-1199	technology	5	Document management software
13-1199	technology	6	Network operation system software
13-1199	technology	7	LAN software
13-1199	technology	8	Backup or archival software
13-2011	knowledge	1	Economics and Accounting
13-2011	knowledge	2	Law and Government
13-2011	knowledge	3	Mathematics
13-2011	knowledge	4	Administration and Management
13-2011	knowledge	5	Administrative
13-2011	knowledge	6	English Language
13-2011	knowledge	7	Personnel and Human Resources
13-2011	knowledge	8	Customer and Personal Service
13-2011	skills	1	Mathematics
13-2011	skills	2	Management of Financial Resources
13-2011	skills	3	Writing
13-2011	skills	4	Operations Analysis
13-2011	skills	5	Systems Analysis
13-2011	skills	6	Reading Comprehension
13-2011	skills	7	Negotiation
13-2011	skills	8	Persuasion
13-2011	abilities	1	Number Facility
13-2011	abilities	2	Mathematical Reasoning
13-2011	abilities	3	Written Expression
13-2011	abilities	4	Memorization
13-2011	abilities	5	Deductive Reasoning
13-2011	abilities	6	Information Ordering
13-2011	abilities	7	Written Comprehension
13-2011	abilities	8	Speed of Closure
13-2011	technology	1	Data base management system software
13-2011	technology	2	Business intelligence and data analysis software
13-2011	technology	3	Customer relationship management CRM software
13-2011	technology	4	Process mapping and design software
13-2011	technology	5	Medical software
13-2011	technology	6	Cloud-based data access and sharing software
13-2011	technology	7	Accounting software
13-2011	technology	8	Development environment software
13-2022	technology	1	Financial analysis software
13-2023	knowledge	1	Building and Construction
13-2023	knowledge	2	Geography
13-2023	knowledge	3	Law and Government
13-2023	knowledge	4	Economics and Accounting
13-2023	knowledge	5	Computers and Electronics
13-2023	knowledge	6	Administrative
13-2023	knowledge	7	Mathematics
13-2023	knowledge	8	Customer and Personal Service
13-2023	skills	1	Mathematics
13-2023	skills	2	Reading Comprehension
13-2023	skills	3	Critical Thinking
13-2023	skills	4	Active Listening
13-2023	skills	5	Writing
13-2023	skills	6	Active Learning
13-2023	skills	7	Judgment and Decision Making
13-2023	skills	8	Speaking
13-2023	abilities	1	Mathematical Reasoning
13-2023	abilities	2	Number Facility
13-2023	abilities	3	Written Comprehension
13-2023	abilities	4	Inductive Reasoning
13-2023	abilities	5	Category Flexibility
13-2023	abilities	6	Written Expression
13-2023	abilities	7	Oral Comprehension
13-2023	abilities	8	Near Vision
13-2023	technology	1	Tax preparation software
13-2023	technology	2	Map creation software
13-2023	technology	3	Financial analysis software
13-2023	technology	4	Video conferencing software
13-2023	technology	5	Information retrieval or search software
13-2023	technology	6	Geographic information system
13-2023	technology	7	Desktop publishing software
13-2023	technology	8	Accounting software
13-2031	knowledge	1	Economics and Accounting
13-2031	knowledge	2	Law and Government
13-2031	knowledge	3	Administrative
13-2031	knowledge	4	Mathematics
13-2031	knowledge	5	Administration and Management
13-2031	knowledge	6	Communications and Media
13-2031	knowledge	7	Personnel and Human Resources
13-2031	knowledge	8	English Language
13-2031	skills	1	Management of Financial Resources
13-2031	skills	2	Mathematics
13-2031	skills	3	Operations Analysis
13-2031	skills	4	Systems Analysis
13-2031	skills	5	Complex Problem Solving
13-2031	skills	6	Reading Comprehension
13-2031	skills	7	Active Listening
13-2031	skills	8	Judgment and Decision Making
13-2031	abilities	1	Number Facility
13-2031	abilities	2	Mathematical Reasoning
13-2031	abilities	3	Written Expression
13-2031	abilities	4	Written Comprehension
13-2031	abilities	5	Inductive Reasoning
13-2031	abilities	6	Deductive Reasoning
13-2031	abilities	7	Information Ordering
13-2031	abilities	8	Oral Comprehension
13-2031	technology	1	Cloud-based data access and sharing software
13-2031	technology	2	Development environment software
13-2031	technology	3	Time accounting software
13-2031	technology	4	Human resources software
13-2031	technology	5	Data base reporting software
13-2031	technology	6	Financial analysis software
13-2031	technology	7	Business intelligence and data analysis software
13-2031	technology	8	Accounting software
13-2041	knowledge	1	Economics and Accounting
13-2041	knowledge	2	Law and Government
13-2041	knowledge	3	Mathematics
13-2041	knowledge	4	Administrative
13-2041	knowledge	5	English Language
13-2041	knowledge	6	Computers and Electronics
13-2041	knowledge	7	Administration and Management
13-2041	knowledge	8	Customer and Personal Service
13-2041	skills	1	Mathematics
13-2041	skills	2	Active Learning
13-2041	skills	3	Operations Analysis
13-2041	skills	4	Critical Thinking
13-2041	skills	5	Reading Comprehension
13-2041	skills	6	Systems Evaluation
13-2041	skills	7	Speaking
13-2041	skills	8	Service Orientation
13-2041	abilities	1	Number Facility
13-2041	abilities	2	Mathematical Reasoning
13-2041	abilities	3	Inductive Reasoning
13-2041	abilities	4	Written Comprehension
13-2041	abilities	5	Oral Expression
13-2041	abilities	6	Speed of Closure
13-2041	abilities	7	Deductive Reasoning
13-2041	abilities	8	Information Ordering
13-2041	technology	1	Development environment software
13-2041	technology	2	Object or component oriented development software
13-2041	technology	3	Content workflow software
13-2041	technology	4	Financial analysis software
13-2041	technology	5	Business intelligence and data analysis software
13-2041	technology	6	Information retrieval or search software
13-2041	technology	7	Document management software
13-2051	technology	1	Sales and marketing software
13-2051	technology	2	Data base reporting software
13-2051	technology	3	Data base management system software
13-2051	technology	4	Business intelligence and data analysis software
13-2051	technology	5	Customer relationship management CRM software
13-2051	technology	6	Process mapping and design software
13-2051	technology	7	Cloud-based data access and sharing software
13-2051	technology	8	Accounting software
13-2052	knowledge	1	Economics and Accounting
13-2052	knowledge	2	Sales and Marketing
13-2052	knowledge	3	Psychology
13-2052	knowledge	4	Customer and Personal Service
13-2052	knowledge	5	Law and Government
13-2052	knowledge	6	Mathematics
13-2052	knowledge	7	English Language
13-2052	knowledge	8	Communications and Media
13-2052	skills	1	Management of Financial Resources
13-2052	skills	2	Persuasion
13-2052	skills	3	Writing
13-2052	skills	4	Mathematics
13-2052	skills	5	Service Orientation
13-2052	skills	6	Judgment and Decision Making
13-2052	skills	7	Systems Evaluation
13-2052	skills	8	Systems Analysis
13-2052	abilities	1	Number Facility
13-2052	abilities	2	Mathematical Reasoning
13-2052	abilities	3	Written Expression
13-2052	abilities	4	Speech Clarity
13-2052	abilities	5	Speech Recognition
13-2052	abilities	6	Written Comprehension
13-2052	abilities	7	Inductive Reasoning
13-2052	abilities	8	Deductive Reasoning
13-2052	technology	1	Customer relationship management CRM software
13-2052	technology	2	Development environment software
13-2052	technology	3	Object or component oriented development software
13-2052	technology	4	Communications server software
13-2052	technology	5	Compliance software
13-2052	technology	6	Financial analysis software
13-2052	technology	7	Accounting software
13-2052	technology	8	Document management software
13-2053	knowledge	1	Sales and Marketing
13-2053	knowledge	2	Economics and Accounting
13-2053	knowledge	3	Customer and Personal Service
13-2053	knowledge	4	English Language
13-2053	knowledge	5	Administrative
13-2053	knowledge	6	Law and Government
13-2053	knowledge	7	Mathematics
13-2053	knowledge	8	Computers and Electronics
13-2053	skills	1	Writing
13-2053	skills	2	Mathematics
13-2053	skills	3	Reading Comprehension
13-2053	skills	4	Judgment and Decision Making
13-2053	skills	5	Critical Thinking
13-2053	skills	6	Active Listening
13-2053	skills	7	Negotiation
13-2053	skills	8	Persuasion
13-2053	abilities	1	Written Expression
13-2053	abilities	2	Written Comprehension
13-2053	abilities	3	Inductive Reasoning
13-2053	abilities	4	Mathematical Reasoning
13-2053	abilities	5	Number Facility
13-2053	abilities	6	Category Flexibility
13-2053	abilities	7	Originality
13-2053	abilities	8	Flexibility of Closure
13-2053	technology	1	Object or component oriented development software
13-2053	technology	2	Financial analysis software
13-2053	technology	3	Information retrieval or search software
13-2053	technology	4	Document management software
13-2054	technology	1	Content workflow software
13-2054	technology	2	Sales and marketing software
13-2054	technology	3	Data base reporting software
13-2054	technology	4	Data base management system software
13-2054	technology	5	Business intelligence and data analysis software
13-2054	technology	6	Customer relationship management CRM software
13-2054	technology	7	Process mapping and design software
13-2054	technology	8	Cloud-based data access and sharing software
13-2061	knowledge	1	Economics and Accounting
13-2061	knowledge	2	Law and Government
13-2061	knowledge	3	English Language
13-2061	knowledge	4	Mathematics
13-2061	knowledge	5	Administration and Management
13-2061	knowledge	6	Computers and Electronics
13-2061	skills	1	Mathematics
13-2061	skills	2	Systems Evaluation
13-2061	skills	3	Systems Analysis
13-2061	skills	4	Management of Personnel Resources
13-2061	skills	5	Operations Analysis
13-2061	skills	6	Writing
13-2061	skills	7	Complex Problem Solving
13-2061	skills	8	Reading Comprehension
13-2061	abilities	1	Mathematical Reasoning
13-2061	abilities	2	Category Flexibility
13-2061	abilities	3	Written Comprehension
13-2061	abilities	4	Inductive Reasoning
13-2061	abilities	5	Written Expression
13-2061	abilities	6	Deductive Reasoning
13-2061	abilities	7	Number Facility
13-2061	abilities	8	Speed of Closure
13-2061	technology	1	Process mapping and design software
13-2061	technology	2	Cloud-based data access and sharing software
13-2061	technology	3	Compliance software
13-2061	technology	4	Financial analysis software
13-2061	technology	5	Information retrieval or search software
13-2071	knowledge	1	Customer and Personal Service
13-2071	knowledge	2	Economics and Accounting
13-2071	knowledge	3	Therapy and Counseling
13-2071	knowledge	4	Administrative
13-2071	knowledge	5	Sales and Marketing
13-2071	knowledge	6	Sociology and Anthropology
13-2071	knowledge	7	Psychology
13-2071	knowledge	8	Communications and Media
13-2071	skills	1	Service Orientation
13-2071	skills	2	Negotiation
13-2071	skills	3	Persuasion
13-2071	skills	4	Writing
13-2071	skills	5	Mathematics
13-2071	skills	6	Active Learning
